latitude,longitude,time_millisecond,datetime_utc,altitude_m,ascent_m,speed_kph,distance_m,max_altitude_m,max_ascent_m,max_speed_kph,max_distance_m,rc_throttle,gimbal_pitch_degrees,battery_percent,flycState,message
0.307990550017446,36.8793972714031,0,2017-11-14 14:10:46,1768.33855758682,0.0,0.0,0.0,1768.33855758682,0.0,0.0,0.0,1024,0.0,99,Motors_Started,
0.307990546379311,36.8793972672882,100,2017-11-14 14:10:46,1768.33855758682,0.0,0.0,0.0006107960195454719,1768.33855758682,0.0,0.0,0.0006107960195454719,1024,0.0,99,Motors_Started,
0.30799054371636,36.8793972660573,200,2017-11-14 14:10:46,1768.33855758682,0.0,0.0,0.000918912029405184,1768.33855758682,0.0,0.0,0.000918912029405184,1024,0.0,99,Motors_Started,
0.307990540944812,36.8793972649688,300,2017-11-14 14:10:46,1768.33855758682,0.0,0.0,0.00123689003958048,1768.33855758682,0.0,0.0,0.00123689003958048,1024,0.0,99,Motors_Started,
0.30799054699868,36.8793972697731,400,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.000381514012208448,1768.33855758682,0.0,0.0,0.00123689003958048,1024,0.0,99,Motors_Started,
0.307990548795184,36.8793972727469,500,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.00020201100646435202,1768.33855758682,0.0,0.0,0.00123689003958048,1024,0.0,99,Motors_Started,
0.307990556920751,36.8793972364928,600,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.0039573501266352,1768.33855758682,0.0,0.0,0.0039573501266352,1024,0.0,99,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Setting new Maximum Flight Altitude to 120m (394 ft)
0.307990564813475,36.8793972069593,700,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.007352900235292801,1768.33855758682,0.0,0.0,0.007352900235292801,1024,0.0,99,Motors_Started,
0.307990569197514,36.8793971920916,800,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.00907404029036928,1768.33855758682,0.0,0.0,0.00907404029036928,1024,0.0,99,Motors_Started,
0.307990573384637,36.8793971786602,900,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.0106358003403456,1768.33855758682,0.0,0.0,0.0106358003403456,364,0.0,99,Motors_Started,
0.307990580319264,36.8793971731377,1000,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.011435300365929602,1768.33855758682,0.0,0.0,0.011435300365929602,678,0.0,99,Motors_Started,
0.307990585066459,36.8793971691027,1100,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.0120254003848128,1768.33855758682,0.0,0.0,0.0120254003848128,835,0.0,99,Motors_Started,
0.307990590307135,36.8793971714074,1200,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.0119887003836384,1768.33855758682,0.0,0.0,0.0120254003848128,970,0.0,99,Motors_Started,
0.307990593803519,36.8793971730206,1300,2017-11-14 14:10:47,1768.33855758682,0.0,0.0,0.0119752003832064,1768.33855758682,0.0,0.0,0.0120254003848128,1024,0.0,99,Motors_Started,
0.307990554042005,36.8793971786531,1400,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0103239003303648,1768.33855758682,0.0,0.0,0.0120254003848128,1024,0.0,99,Motors_Started,
0.307990526188997,36.8793971829797,1500,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.010183900325884801,1768.33855758682,0.0,0.0,0.0120254003848128,1024,0.0,99,Assisted_Takeoff,
0.30799050434122,36.8793971484591,1600,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.01458500046672,1768.33855758682,0.0,0.0,0.01458500046672,1024,0.0,99,Assisted_Takeoff,
0.307990485755153,36.8793971254792,1700,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0177313005674016,1768.33855758682,0.0,0.0,0.0177313005674016,1024,0.0,99,Assisted_Takeoff,
0.30799047671213,36.8793971501168,1800,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0157597005043104,1768.33855758682,0.0,0.0,0.0177313005674016,1024,0.0,99,Assisted_Takeoff,
0.307990468413197,36.8793971688449,1900,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0145748004663936,1768.33855758682,0.0,0.0,0.0177313005674016,1024,0.0,99,Assisted_Takeoff,
0.307990467176782,36.8793971455708,2000,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0167534005361088,1768.33855758682,0.0,0.0,0.0177313005674016,1024,0.0,99,Assisted_Takeoff,
0.307990464308749,36.8793971319405,2100,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.0182036005825152,1768.33855758682,0.0,0.0,0.0182036005825152,1024,0.0,99,Assisted_Takeoff,
0.307990467333844,36.8793971206717,2200,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.019118300611785603,1768.33855758682,0.0,0.0,0.019118300611785603,1024,0.0,99,Assisted_Takeoff,
0.30799046747155,36.8793971155907,2300,2017-11-14 14:10:48,1768.33855758682,0.0,0.0,0.019608500627472,1768.33855758682,0.0,0.0,0.019608500627472,1024,0.0,99,Assisted_Takeoff,
0.307990471876363,36.8793971124667,2400,2017-11-14 14:10:49,1768.33855758682,0.0,0.0,0.0196951006302432,1768.33855758682,0.0,0.0,0.0196951006302432,1024,0.0,99,Assisted_Takeoff,
0.30799047369461,36.8793971128923,2500,2017-11-14 14:10:49,1768.33855758682,0.0,0.0,0.0195641006260512,1768.33855758682,0.0,0.0,0.0196951006302432,1024,0.0,99,Assisted_Takeoff,
