,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,14.0,      0,57,  3.69
1,B,00m 15s,30.7,      1,54,  5.38
2,C,00m 20s,48.6,      0,52,  6.10
3,D,00m 25s,67.0,      1,47,  7.14
4,E,00m 45s,76.4,      114,35,  2.79
5,F,00m 50s,75.1,      170,69,  6.13
6,G,01m 00s,75.1,      266,55,  7.43
7,H,01m 10s,74.9,      348,47,  8.19
8,I,01m 45s,75.1,      448,37,  7.30
9,J,01m 50s,75.1,      448,35,  6.88
10,K,01m 55s,75.1,      448,30,  6.51
11,L,02m 00s,75.0,      448,33,  6.60
12,M,02m 05s,73.8,      448,38,  5.39
13,N,02m 25s,65.3,      448,53,  7.58
14,O,02m 30s,65.2,      448,45,  6.50
15,P,02m 35s,65.3,      449,53,  7.12
16,Q,02m 40s,65.3,      449,56,  6.69
17,R,02m 50s,65.2,      449,53,  6.78
18,S,02m 55s,65.1,      450,41,  5.93
19,T,03m 05s,65.2,      452,54,  6.06
20,U,03m 10s,65.2,      452,54,  6.78
21,V,03m 15s,65.3,      452,57,  7.06
22,W,03m 20s,65.3,      452,58,  7.50
23,X,03m 35s,65.2,      452,57,  6.55
24,Y,03m 45s,65.1,      452,53,  6.94
25,Z,03m 50s,65.2,      452,50,  6.86
26,a,03m 55s,65.2,      453,47,  7.59
27,b,04m 00s,65.2,      453,56,  7.13
28,c,04m 10s,65.1,      454,52,  6.71
29,d,04m 15s,65.3,      454,54,  7.40
30,e,04m 20s,65.3,      454,55,  7.56
31,f,04m 25s,65.3,      454,55,  7.32
32,g,04m 30s,65.3,      454,53,  6.74
33,h,04m 35s,65.4,      454,56,  8.04
34,i,04m 40s,65.4,      454,54,  7.74
35,j,04m 45s,65.3,      454,55,  8.05
36,k,04m 50s,65.4,      454,59,  8.24
37,l,04m 55s,65.4,      454,57,  7.60
38,m,05m 00s,65.3,      454,57,  6.48
39,n,05m 05s,65.3,      454,54,  6.60
40,o,05m 10s,65.3,      454,51,  7.11
41,p,05m 15s,65.3,      454,54,  6.95
42,q,05m 20s,65.2,      454,52,  6.78
43,r,05m 25s,65.2,      454,53,  6.69
44,s,05m 30s,65.2,      454,44,  6.08
45,t,05m 35s,65.2,      454,48,  7.17
46,u,05m 40s,65.2,      454,48,  7.98
47,v,05m 45s,65.3,      454,47,  8.38
48,w,05m 50s,65.2,      454,46,  7.97
49,x,05m 55s,65.3,      454,47,  7.66
50,y,06m 00s,65.1,      454,45,  6.60
51,z,06m 05s,65.2,      454,43,  7.30
52,A,06m 10s,65.3,      454,49,  8.74
53,B,06m 15s,65.3,      454,48,  9.20
54,C,06m 20s,65.3,      454,48,  9.28
55,D,06m 25s,65.3,      454,51,  9.46
56,E,06m 30s,65.2,      454,47,  8.33
57,F,06m 40s,65.3,      460,53,  8.05
58,G,06m 45s,65.3,      460,52,  9.54
59,H,06m 50s,65.3,      460,51,  9.88
60,I,06m 55s,65.3,      463,52,  9.75
61,J,07m 00s,65.1,      464,52,  9.69
62,K,07m 05s,65.0,      465,45,  6.76
63,L,07m 10s,65.1,      464,48,  8.27
64,M,07m 15s,65.2,      464,50,  6.85
65,N,07m 20s,65.4,      464,53,  8.76
66,O,07m 25s,65.2,      465,52,  6.93
67,P,07m 30s,65.1,      462,54,  7.03
68,Q,07m 35s,65.2,      462,53,  7.61
69,R,07m 40s,65.3,      462,53,  7.62
70,S,07m 55s,65.2,      456,50,  7.14
71,T,08m 00s,65.1,      456,51,  7.32
72,U,08m 05s,65.2,      456,54,  8.47
73,V,08m 10s,65.1,      456,53,  8.11
74,W,08m 15s,65.1,      456,53,  6.71
75,X,08m 20s,65.1,      456,53,  7.34
76,Y,08m 25s,65.1,      456,53,  6.89
77,Z,08m 30s,65.2,      456,53,  6.93
78,a,08m 35s,65.2,      457,56,  6.75
79,b,08m 40s,65.1,      458,44,  6.78
80,c,08m 45s,65.1,      458,49,  6.33
81,d,08m 50s,65.1,      458,48,  5.14
82,e,08m 55s,65.1,      458,43,  3.98
83,f,09m 05s,65.3,      458,47,  3.15
84,g,09m 10s,65.4,      458,32,  4.55
85,h,09m 15s,65.2,      458,17,  2.77
86,i,09m 35s,65.3,      458,51,  6.92
87,j,09m 40s,65.3,      458,53,  8.05
88,k,09m 45s,65.3,      458,51,  6.77
89,l,09m 50s,65.3,      458,48,  6.88
90,m,09m 55s,65.3,      458,47,  7.34
91,n,10m 00s,65.2,      458,48,  7.09
92,o,10m 05s,65.2,      458,48,  6.83
93,p,10m 10s,65.3,      458,50,  7.14
94,q,10m 15s,65.3,      458,50,  7.28
95,r,10m 20s,65.2,      458,52,  7.47
96,s,10m 25s,65.2,      458,44,  7.04
97,t,10m 30s,65.2,      458,38,  6.37
98,u,10m 35s,65.3,      458,41,  5.99
99,v,10m 40s,65.3,      458,39,  5.16
100,w,10m 45s,65.2,      458,33,  5.42
101,x,10m 50s,65.1,      458,26,  5.31
102,y,10m 55s,65.0,      458,27,  6.29
103,z,11m 00s,65.1,      458,18,  5.74
104,A,11m 05s,65.2,      458,29,  7.02
105,B,11m 10s,65.2,      458,34,  6.65
106,C,11m 15s,65.2,      458,26,  6.43
107,D,11m 20s,65.2,      458,24,  5.82
108,E,11m 25s,65.3,      458,24,  6.18
109,F,11m 30s,65.2,      458,42,  5.23
110,G,11m 35s,65.2,      458,30,  5.82
111,H,11m 40s,65.2,      458,43,  6.14
112,I,11m 45s,65.2,      458,36,  5.71
113,J,11m 50s,65.3,      458,44,  6.57
114,K,11m 55s,65.3,      458,38,  6.77
115,L,12m 00s,65.3,      458,43,  6.41
116,M,12m 05s,65.3,      458,51,  7.73
117,N,12m 10s,65.1,      458,48,  6.10
118,O,12m 15s,65.3,      458,50,  6.62
119,P,12m 20s,65.1,      458,43,  5.42
120,Q,12m 25s,65.1,      458,40,  4.92
121,R,12m 30s,65.2,      458,40,  5.71
122,S,12m 35s,65.3,      458,43,  7.49
123,T,12m 40s,65.3,      458,45,  8.12
124,U,12m 45s,65.3,      458,44,  7.89
125,V,12m 50s,65.3,      458,45,  7.49
126,W,12m 55s,65.3,      458,49,  8.63
127,X,13m 00s,65.3,      458,46,  9.27
128,Y,13m 05s,65.2,      458,47,  9.44
129,Z,13m 50s,65.2,      510,45,  8.91
130,a,13m 55s,65.1,      510,45,  7.11
131,b,14m 20s,65.1,      532,45,  5.58
132,c,14m 25s,65.2,      532,39,  6.68
133,d,14m 30s,65.4,      532,40,  8.38
134,e,14m 50s,65.1,      431,32,  7.88
135,f,14m 55s,65.3,      382,33,  7.90
136,g,15m 00s,65.3,      332,34,  6.84
137,h,15m 05s,65.3,      282,32,  8.07
138,i,15m 10s,65.3,      232,30,  7.91
139,j,15m 15s,65.4,      182,35,  8.00
140,k,15m 20s,65.3,      133,28,  7.71
141,l,15m 25s,65.3,      84,27,  8.41
142,m,15m 45s,65.4,      1,43,  8.61
143,n,16m 35s,1.2,      1,43,  3.72
