,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 20s,7.9,      0,210,  0.80
1,B,00m 25s,19.8,      1,154,  1.42
2,C,00m 30s,32.0,      1,180,  1.75
3,D,00m 35s,46.1,      1,162,  2.44
4,E,00m 40s,63.3,      1,179,  2.23
5,F,01m 50s,66.2,      272,155,  3.23
6,G,02m 00s,66.1,      315,166,  1.01
7,H,02m 30s,66.1,      352,195,  2.03
8,I,02m 50s,66.1,      350,179,  1.26
9,J,02m 55s,66.1,      349,190,  1.58
10,K,03m 05s,66.1,      369,155,  2.81
11,L,04m 10s,66.1,      483,179,  4.94
12,M,04m 15s,66.1,      483,173,  4.74
13,N,04m 20s,66.1,      483,179,  4.37
14,O,04m 25s,66.0,      483,185,  4.24
15,P,04m 30s,66.1,      483,187,  4.15
16,Q,04m 35s,66.2,      483,190,  4.06
17,R,04m 40s,66.3,      483,199,  4.27
18,S,04m 45s,66.2,      483,185,  3.75
19,T,04m 50s,66.2,      483,184,  3.90
20,U,04m 55s,66.2,      483,192,  3.86
21,V,05m 00s,66.1,      483,188,  4.08
22,W,05m 05s,66.1,      483,181,  4.09
23,X,05m 10s,66.1,      483,188,  4.10
24,Y,05m 15s,66.1,      483,179,  3.69
25,Z,05m 20s,66.1,      483,195,  3.42
26,a,05m 25s,66.2,      483,204,  3.79
27,b,05m 30s,66.1,      483,201,  4.15
28,c,05m 35s,66.2,      483,194,  3.94
29,d,05m 40s,66.2,      483,197,  3.54
30,e,05m 45s,66.3,      483,212,  4.57
31,f,05m 50s,66.1,      483,196,  4.19
32,g,05m 55s,66.2,      483,194,  4.50
33,h,06m 00s,66.2,      483,193,  4.51
34,i,06m 05s,66.1,      483,193,  4.25
35,j,06m 10s,66.1,      483,193,  4.21
36,k,06m 15s,66.3,      483,190,  3.93
37,l,06m 20s,66.2,      483,187,  4.14
38,m,06m 25s,66.1,      483,190,  4.01
39,n,06m 30s,66.1,      483,192,  4.30
40,o,06m 35s,66.1,      483,198,  4.17
41,p,06m 40s,66.1,      483,200,  4.06
42,q,06m 45s,66.1,      483,198,  4.28
43,r,06m 50s,66.1,      483,203,  4.15
44,s,06m 55s,66.2,      483,193,  3.86
45,t,07m 00s,66.2,      483,194,  3.87
46,u,07m 05s,66.1,      483,193,  3.98
47,v,07m 10s,66.2,      483,210,  4.40
48,w,07m 15s,66.1,      483,214,  4.14
49,x,07m 20s,66.2,      483,211,  4.55
50,y,07m 25s,66.1,      483,214,  4.60
