,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,61.2,      0,77,  5.37
1,B,00m 20s,86.3,      1,83,  3.77
2,C,00m 25s,88.8,      1,79,  3.99
3,D,00m 30s,88.9,      1,97,  2.46
4,E,01m 35s,89.0,      203,45,  3.84
5,F,01m 55s,74.9,      203,51,  4.45
6,G,02m 00s,74.9,      203,50,  4.36
7,H,02m 05s,74.9,      203,49,  4.08
8,I,02m 10s,74.9,      203,47,  4.34
9,J,02m 15s,74.9,      203,46,  4.01
10,K,02m 20s,74.9,      203,41,  3.45
11,L,02m 25s,74.9,      203,45,  3.19
12,M,02m 30s,75.4,      203,46,  3.15
13,N,02m 35s,75.4,      203,49,  4.17
14,O,02m 40s,75.4,      203,48,  4.34
15,P,02m 45s,75.4,      203,59,  5.00
16,Q,02m 50s,75.3,      203,61,  4.29
17,R,02m 55s,75.4,      203,65,  4.42
18,S,03m 00s,75.4,      203,65,  3.94
19,T,03m 05s,75.4,      203,54,  4.28
20,U,03m 10s,75.4,      203,58,  4.64
21,V,03m 15s,75.4,      203,53,  5.08
22,W,03m 20s,75.3,      203,42,  4.77
23,X,03m 25s,75.4,      203,39,  5.86
24,Y,03m 30s,75.4,      203,37,  5.58
25,Z,03m 35s,75.4,      203,35,  4.83
26,a,03m 40s,75.4,      203,31,  4.92
27,b,03m 45s,75.3,      203,29,  5.11
28,c,03m 50s,75.4,      202,28,  5.16
29,d,03m 55s,75.4,      202,31,  5.57
30,e,04m 00s,75.3,      202,34,  4.96
31,f,04m 05s,75.3,      202,34,  4.77
32,g,04m 10s,75.4,      202,46,  3.92
33,h,04m 15s,75.5,      202,54,  4.57
34,i,04m 20s,75.4,      202,43,  4.83
35,j,04m 25s,75.4,      202,47,  5.26
36,k,04m 30s,75.4,      202,51,  4.71
37,l,04m 35s,75.3,      202,44,  5.51
38,m,04m 40s,75.4,      202,54,  4.82
39,n,04m 45s,75.4,      202,51,  4.78
