,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,14.3,      1,170,  4.06
1,B,00m 20s,27.3,      1,168,  5.20
2,C,00m 25s,43.2,      1,171,  4.96
3,D,00m 30s,61.5,      1,173,  4.48
4,E,00m 35s,81.1,      1,174,  5.05
5,F,00m 40s,84.4,      2,172,  5.40
6,G,00m 45s,85.7,      1,170,  5.59
7,H,01m 05s,85.6,      82,169,  4.25
8,I,01m 40s,85.6,      277,180,  5.70
9,J,02m 00s,85.6,      327,178,  6.90
10,K,02m 35s,85.6,      340,175,  4.80
11,L,02m 40s,85.6,      340,173,  6.05
12,M,02m 50s,85.8,      340,166,  5.77
13,N,02m 55s,85.7,      340,160,  5.82
14,O,03m 10s,85.7,      342,160,  6.18
15,P,03m 15s,85.7,      342,155,  6.06
16,Q,03m 25s,85.7,      342,163,  5.97
17,R,03m 30s,85.6,      342,162,  6.00
18,S,03m 35s,85.7,      342,162,  6.29
19,T,03m 40s,85.6,      342,162,  6.54
20,U,03m 45s,85.7,      342,166,  5.03
21,V,04m 15s,75.7,      342,162,  5.52
22,W,04m 20s,75.6,      342,163,  5.63
23,X,04m 25s,75.6,      342,162,  5.52
24,Y,04m 30s,75.6,      342,166,  5.30
25,Z,04m 35s,75.6,      342,166,  5.43
26,a,04m 40s,75.6,      342,163,  5.77
27,b,04m 45s,75.6,      342,161,  5.53
28,c,04m 50s,75.7,      342,164,  5.49
29,d,04m 55s,75.6,      342,165,  5.55
30,e,05m 00s,75.5,      342,162,  5.76
31,f,05m 05s,75.6,      342,161,  6.32
32,g,05m 10s,75.5,      342,163,  5.79
33,h,05m 15s,75.6,      342,165,  6.27
34,i,05m 20s,75.6,      342,162,  6.52
35,j,05m 25s,75.6,      342,167,  6.11
36,k,05m 30s,75.5,      342,167,  6.02
37,l,05m 35s,75.6,      342,168,  5.68
38,m,05m 40s,75.5,      342,170,  5.62
39,n,05m 45s,75.6,      342,165,  5.61
40,o,05m 50s,75.5,      342,170,  5.56
41,p,05m 55s,75.6,      342,170,  5.49
42,q,06m 00s,75.6,      342,168,  5.78
43,r,06m 05s,75.4,      342,166,  5.07
44,s,06m 10s,75.5,      342,163,  5.04
45,t,06m 15s,75.6,      342,155,  5.27
46,u,06m 20s,75.5,      342,154,  5.11
47,v,06m 25s,75.6,      342,154,  5.23
48,w,06m 30s,75.5,      342,156,  5.31
