,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,3.8,      0,170,  1.45
1,B,00m 20s,8.5,      0,175,  2.58
2,C,00m 25s,16.8,      0,167,  3.50
3,D,00m 30s,26.7,      1,167,  2.66
4,E,00m 35s,31.6,      1,165,  3.17
5,F,00m 40s,31.6,      1,161,  3.25
6,G,03m 00s,31.4,      695,173,  3.20
7,H,03m 05s,31.4,      695,173,  3.23
8,I,03m 10s,31.3,      695,170,  3.17
9,J,03m 15s,31.4,      695,179,  2.85
10,K,03m 20s,31.4,      695,173,  2.71
11,L,03m 25s,31.5,      695,177,  2.92
12,M,03m 40s,31.5,      697,178,  3.07
13,N,04m 10s,20.5,      703,178,  2.03
14,O,04m 15s,20.5,      703,175,  2.67
15,P,04m 20s,20.6,      703,177,  2.60
16,Q,04m 25s,20.6,      703,174,  2.95
17,R,04m 40s,20.4,      712,180,  2.13
18,S,04m 45s,20.5,      712,176,  1.84
19,T,04m 50s,20.6,      712,172,  1.89
20,U,04m 55s,20.6,      712,174,  2.71
21,V,05m 00s,20.5,      712,176,  2.70
22,W,05m 05s,20.5,      712,169,  2.96
23,X,05m 10s,20.5,      712,169,  2.70
24,Y,05m 15s,20.5,      712,179,  2.94
25,Z,05m 35s,20.5,      718,175,  1.99
26,a,05m 40s,20.5,      718,182,  1.88
27,b,05m 45s,20.5,      718,204,  2.04
28,c,05m 50s,20.5,      719,156,  1.69
29,d,05m 55s,20.5,      719,175,  1.34
30,e,06m 05s,20.5,      720,194,  1.46
31,f,06m 10s,20.6,      720,189,  1.58
32,g,06m 25s,20.6,      726,259,  0.50
33,h,06m 40s,20.6,      733,182,  2.08
34,i,06m 45s,20.6,      733,180,  2.00
35,j,06m 50s,20.5,      733,182,  1.89
36,k,06m 55s,20.5,      733,214,  1.25
37,l,07m 00s,20.5,      733,187,  0.78
38,m,07m 05s,20.6,      733,216,  1.11
39,n,07m 10s,20.5,      733,188,  1.12
40,o,07m 15s,20.6,      733,199,  0.91
41,p,07m 20s,20.5,      733,192,  1.32
42,q,07m 25s,20.6,      733,180,  1.89
43,r,07m 30s,20.5,      733,182,  1.78
44,s,07m 35s,20.5,      733,181,  1.94
45,t,07m 40s,20.4,      733,179,  1.75
46,u,07m 45s,20.4,      733,179,  1.84
47,v,07m 50s,20.5,      733,173,  1.98
48,w,07m 55s,20.6,      734,177,  2.62
49,x,08m 00s,20.6,      735,178,  2.21
50,y,08m 10s,20.6,      736,169,  2.35
51,z,08m 30s,20.4,      745,175,  2.01
52,A,08m 35s,20.4,      745,175,  2.04
53,B,08m 40s,20.5,      745,168,  1.78
54,C,08m 45s,20.5,      745,170,  2.17
55,D,08m 50s,20.5,      745,169,  2.20
56,E,08m 55s,20.6,      745,170,  2.00
57,F,09m 00s,20.6,      745,167,  2.11
58,G,09m 05s,20.6,      745,171,  1.91
59,H,09m 10s,20.5,      745,172,  1.72
60,I,09m 15s,20.6,      746,168,  1.81
61,J,09m 20s,20.5,      746,170,  1.42
62,K,09m 25s,20.6,      746,171,  1.30
63,L,09m 30s,20.6,      746,163,  1.48
64,M,09m 35s,20.5,      746,162,  1.07
65,N,09m 40s,20.6,      746,160,  0.67
66,O,09m 45s,20.5,      746,141,  0.84
67,P,09m 50s,20.6,      746,155,  0.97
68,Q,09m 55s,20.6,      746,166,  1.11
69,R,10m 00s,20.5,      746,166,  2.24
70,S,10m 05s,20.5,      746,168,  2.73
71,T,10m 10s,20.6,      746,168,  2.48
72,U,10m 15s,20.6,      746,168,  1.99
73,V,10m 20s,20.5,      746,172,  1.97
74,W,10m 25s,20.5,      746,168,  2.03
75,X,10m 30s,20.4,      746,174,  2.06
76,Y,10m 35s,20.5,      746,166,  2.54
77,Z,10m 40s,20.6,      746,169,  2.36
78,a,10m 45s,20.5,      746,167,  2.18
79,b,10m 50s,20.6,      746,165,  2.06
80,c,10m 55s,20.5,      746,168,  2.35
81,d,11m 00s,20.5,      746,170,  2.27
82,e,11m 05s,20.5,      746,172,  2.33
83,f,11m 10s,20.6,      747,175,  2.78
84,g,11m 15s,20.5,      747,177,  2.73
85,h,11m 20s,20.5,      747,175,  2.86
86,i,11m 25s,20.5,      747,180,  2.85
87,j,11m 30s,20.5,      747,179,  2.75
88,k,11m 35s,20.5,      747,179,  2.62
89,l,11m 40s,20.5,      747,178,  2.51
90,m,11m 45s,20.6,      747,176,  2.57
91,n,11m 50s,20.6,      747,176,  3.02
92,o,11m 55s,20.7,      747,178,  2.98
93,p,12m 00s,20.6,      747,172,  2.94
94,q,12m 05s,20.5,      747,171,  2.94
95,r,12m 10s,20.6,      747,172,  2.88
96,s,12m 15s,20.6,      747,172,  2.90
97,t,12m 20s,20.5,      747,169,  3.11
98,u,12m 25s,20.5,      747,173,  2.67
99,v,12m 30s,20.5,      747,170,  2.83
100,w,12m 35s,20.5,      747,164,  2.65
101,x,12m 40s,20.5,      747,163,  2.66
102,y,12m 45s,20.5,      747,166,  3.00
103,z,12m 55s,20.5,      756,184,  1.71
104,A,13m 00s,20.5,      756,173,  2.78
105,B,13m 05s,20.5,      756,168,  2.37
106,C,13m 10s,20.5,      756,167,  2.20
107,D,13m 15s,20.6,      756,170,  2.70
108,E,13m 20s,20.6,      756,166,  2.79
109,F,13m 25s,20.6,      756,171,  2.51
110,G,13m 30s,20.6,      756,176,  2.11
111,H,13m 35s,20.6,      756,174,  1.90
112,I,13m 40s,20.6,      756,167,  2.01
113,J,13m 45s,20.6,      755,168,  2.30
114,K,13m 50s,20.5,      754,172,  1.75
115,L,13m 55s,20.5,      755,173,  1.55
116,M,14m 00s,20.4,      755,177,  1.55
117,N,14m 05s,20.5,      755,177,  1.58
118,O,14m 10s,20.5,      755,171,  1.59
119,P,14m 15s,20.5,      755,175,  1.60
120,Q,14m 20s,20.5,      755,188,  1.43
121,R,14m 25s,20.5,      755,210,  0.99
122,S,14m 30s,20.5,      755,206,  1.17
123,T,14m 35s,20.5,      755,188,  1.34
124,U,14m 40s,20.5,      754,186,  1.35
125,V,14m 45s,20.5,      754,178,  1.17
126,W,14m 50s,20.5,      754,185,  1.12
127,X,14m 55s,20.6,      754,191,  1.22
128,Y,15m 00s,20.5,      754,174,  1.69
129,Z,15m 05s,20.6,      754,184,  2.31
130,a,15m 10s,20.5,      755,181,  2.25
131,b,15m 15s,20.5,      755,184,  1.92
132,c,15m 20s,20.5,      755,177,  1.61
133,d,15m 25s,20.5,      755,184,  1.21
134,e,15m 30s,20.5,      755,193,  1.12
135,f,15m 35s,20.6,      755,197,  1.40
136,g,15m 40s,20.6,      755,185,  1.93
137,h,15m 45s,20.5,      755,180,  1.41
138,i,15m 50s,20.6,      755,177,  1.39
139,j,15m 55s,20.6,      755,186,  0.93
140,k,16m 10s,20.6,      710,172,  1.02
141,l,16m 15s,20.7,      679,163,  0.76
142,m,16m 35s,39.6,      659,183,  2.39
143,n,16m 50s,45.2,      567,147,  3.59
144,o,16m 55s,45.2,      517,148,  3.66
145,p,17m 00s,45.2,      467,148,  3.50
146,q,17m 05s,45.2,      417,139,  3.50
147,r,17m 10s,45.2,      366,135,  3.56
148,s,17m 15s,45.1,      316,142,  3.44
149,t,17m 20s,45.1,      266,140,  3.81
150,u,17m 25s,45.1,      216,146,  3.88
151,v,17m 30s,45.2,      165,148,  3.44
152,w,17m 35s,45.1,      115,145,  4.02
153,x,18m 00s,45.2,      0,166,  3.20
