,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 20s,29.1,      0,146,  2.42
1,B,00m 25s,48.3,      0,174,  2.04
2,C,00m 30s,72.5,      1,202,  0.40
3,D,00m 35s,88.2,      1,173,  1.62
4,E,00m 45s,85.1,      1,161,  2.89
5,F,01m 05s,85.6,      215,192,  1.81
6,G,01m 40s,85.5,      510,174,  4.08
7,H,02m 30s,85.2,      506,165,  6.04
8,I,02m 35s,85.2,      505,165,  6.45
9,J,02m 45s,85.2,      508,172,  6.26
10,K,02m 50s,85.2,      508,165,  5.75
11,L,02m 55s,85.2,      508,165,  5.90
12,M,03m 00s,85.2,      508,166,  5.66
13,N,03m 05s,85.3,      508,173,  5.70
14,O,03m 10s,85.2,      508,169,  5.49
15,P,03m 15s,85.2,      508,164,  5.63
16,Q,03m 20s,85.2,      509,169,  5.46
17,R,03m 25s,85.2,      509,172,  5.55
18,S,03m 30s,85.2,      509,171,  5.91
19,T,03m 35s,85.3,      509,173,  5.67
20,U,03m 40s,85.2,      509,171,  5.64
21,V,03m 45s,85.2,      509,172,  5.45
22,W,03m 50s,85.2,      509,174,  5.52
23,X,03m 55s,85.2,      509,172,  5.46
24,Y,04m 00s,85.3,      509,167,  5.54
25,Z,04m 05s,85.2,      509,164,  5.30
26,a,04m 10s,85.1,      509,161,  5.23
27,b,04m 15s,85.1,      509,159,  5.08
28,c,04m 20s,85.2,      509,161,  5.12
29,d,04m 25s,85.1,      509,158,  4.93
30,e,04m 30s,85.2,      509,155,  5.30
31,f,04m 35s,85.2,      509,148,  5.32
32,g,04m 40s,85.1,      509,154,  4.71
33,h,04m 45s,85.2,      509,155,  4.30
34,i,04m 50s,85.3,      509,163,  4.64
35,j,04m 55s,85.2,      509,167,  4.41
36,k,05m 00s,85.2,      509,166,  4.78
37,l,05m 05s,85.1,      509,165,  4.53
38,m,05m 10s,85.2,      509,173,  4.56
39,n,05m 15s,85.3,      509,167,  4.34
40,o,05m 20s,85.2,      509,163,  4.73
41,p,05m 25s,85.2,      509,164,  4.88
42,q,05m 30s,85.2,      509,162,  4.35
43,r,05m 35s,85.2,      509,159,  4.14
44,s,05m 40s,85.2,      509,151,  4.40
45,t,05m 45s,85.2,      509,145,  4.80
46,u,05m 50s,85.2,      509,147,  4.83
47,v,05m 55s,85.2,      509,150,  5.21
48,w,06m 00s,85.1,      509,145,  5.07
49,x,06m 05s,85.2,      509,146,  5.13
50,y,06m 10s,85.3,      509,143,  5.28
51,z,06m 15s,85.2,      509,145,  4.87
52,A,06m 20s,85.2,      509,151,  4.78
53,B,06m 35s,75.2,      509,151,  4.19
54,C,06m 40s,75.2,      509,151,  4.10
55,D,06m 45s,75.3,      509,151,  4.31
56,E,06m 50s,75.3,      509,151,  4.74
57,F,06m 55s,75.3,      509,153,  4.70
58,G,07m 00s,75.2,      509,153,  4.78
59,H,07m 05s,75.2,      509,155,  4.71
60,I,07m 10s,75.3,      509,153,  4.58
61,J,07m 15s,75.3,      509,153,  4.18
62,K,07m 20s,75.3,      509,160,  4.78
63,L,07m 25s,75.3,      509,159,  4.79
64,M,07m 30s,75.3,      509,158,  4.31
65,N,07m 35s,75.3,      509,153,  4.74
66,O,07m 40s,75.3,      509,153,  4.66
67,P,07m 45s,75.3,      509,151,  4.75
68,Q,07m 50s,75.4,      509,152,  4.78
69,R,07m 55s,75.3,      509,162,  4.81
70,S,08m 00s,75.2,      509,152,  5.00
71,T,08m 05s,75.2,      509,154,  4.97
72,U,08m 10s,75.2,      509,151,  4.76
73,V,08m 15s,75.3,      509,152,  4.93
74,W,08m 20s,75.2,      509,153,  5.04
75,X,08m 25s,75.3,      509,150,  5.04
76,Y,08m 30s,75.3,      509,150,  5.11
77,Z,08m 45s,75.2,      423,145,  1.84
78,a,08m 50s,75.2,      371,137,  2.65
79,b,08m 55s,75.2,      321,141,  2.38
80,c,09m 00s,75.2,      272,138,  2.61
81,d,09m 05s,75.2,      222,133,  2.88
82,e,09m 10s,75.2,      172,129,  2.41
83,f,09m 15s,75.2,      121,125,  3.01
84,g,09m 20s,75.3,      73,152,  3.59
85,h,09m 40s,75.3,      0,193,  3.11
