,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,11m 00s,60.9,      0,349,  6.11
1,B,11m 05s,61.0,      0,344,  6.56
2,C,11m 10s,60.9,      0,342,  6.53
3,D,11m 15s,60.9,      0,344,  6.17
4,E,11m 20s,60.9,      0,342,  6.53
5,F,11m 25s,60.9,      0,342,  6.46
6,G,11m 30s,61.0,      0,342,  6.45
7,H,11m 35s,60.9,      0,341,  6.66
8,I,11m 40s,61.0,      0,341,  6.56
9,J,11m 45s,61.0,      0,341,  6.52
10,K,11m 50s,60.9,      0,342,  6.46
11,L,11m 55s,60.9,      0,342,  6.42
12,M,12m 00s,60.8,      0,344,  6.40
13,N,12m 05s,60.8,      0,346,  6.49
14,O,12m 25s,60.9,      7,347,  6.34
15,P,12m 30s,60.9,      7,346,  6.08
16,Q,12m 35s,60.9,      7,347,  6.43
17,R,12m 40s,60.9,      7,347,  6.30
18,S,12m 45s,61.0,      7,346,  6.38
19,T,12m 50s,60.9,      7,345,  7.17
20,U,12m 55s,60.9,      8,350,  6.45
21,V,13m 00s,60.9,      8,346,  6.22
22,W,13m 05s,60.8,      8,351,  5.76
23,X,13m 10s,60.9,      8,350,  6.17
24,Y,13m 15s,60.9,      8,349,  5.70
25,Z,13m 20s,60.9,      8,350,  5.43
26,a,13m 25s,60.8,      8,347,  5.64
27,b,13m 30s,60.8,      8,345,  5.70
28,c,13m 35s,60.9,      8,346,  5.64
29,d,13m 40s,60.9,      8,347,  6.06
30,e,13m 45s,61.0,      8,347,  6.26
31,f,13m 50s,60.9,      8,350,  5.82
32,g,13m 55s,60.9,      8,350,  5.43
33,h,14m 00s,60.9,      10,346,  5.68
34,i,14m 10s,60.9,      15,354,  5.45
35,j,14m 15s,60.9,      15,355,  5.99
36,k,14m 20s,60.8,      15,350,  6.05
37,l,14m 25s,60.9,      15,352,  5.95
38,m,14m 30s,60.8,      15,352,  6.73
39,n,14m 35s,60.9,      15,350,  5.94
40,o,14m 40s,60.9,      15,344,  6.13
41,p,14m 45s,60.9,      16,341,  7.12
42,q,14m 50s,60.9,      16,349,  6.31
43,r,14m 55s,60.9,      16,353,  6.05
44,s,15m 00s,60.9,      16,350,  6.34
45,t,15m 05s,60.9,      16,346,  6.16
46,u,15m 10s,60.9,      16,341,  6.28
47,v,15m 30s,60.9,      27,347,  5.83
48,w,15m 40s,61.0,      31,358,  6.47
49,x,15m 55s,60.9,      36,351,  6.50
50,y,16m 00s,60.9,      36,347,  6.72
51,z,16m 05s,60.9,      36,348,  6.83
52,A,16m 20s,61.0,      42,350,  7.26
53,B,16m 25s,60.9,      42,342,  6.87
54,C,16m 35s,60.9,      51,345,  6.97
55,D,16m 40s,60.9,      51,347,  7.14
56,E,16m 45s,60.8,      53,340,  6.14
57,F,16m 55s,60.9,      55,350,  6.50
58,G,17m 00s,61.0,      56,352,  6.58
59,H,17m 05s,60.9,      55,354,  6.63
60,I,17m 10s,60.9,      55,352,  6.72
61,J,17m 15s,60.9,      55,350,  6.54
62,K,17m 20s,61.0,      55,347,  6.60
63,L,17m 25s,60.9,      56,348,  6.74
64,M,17m 30s,61.0,      56,347,  6.82
65,N,17m 35s,60.9,      55,350,  6.54
66,O,17m 40s,61.0,      55,347,  6.42
67,P,17m 45s,60.9,      55,348,  6.20
68,Q,17m 50s,60.8,      55,346,  6.31
69,R,17m 55s,60.8,      55,347,  6.12
70,S,18m 00s,60.8,      55,347,  6.17
71,T,18m 05s,60.7,      55,347,  5.95
72,U,18m 10s,60.7,      55,347,  5.77
73,V,18m 15s,60.8,      55,348,  5.94
74,W,18m 20s,60.9,      55,351,  5.66
75,X,18m 25s,60.9,      55,347,  5.81
76,Y,18m 30s,60.9,      55,346,  5.81
77,Z,18m 35s,61.0,      55,346,  5.70
78,a,18m 40s,61.0,      56,348,  5.55
79,b,18m 45s,60.9,      56,347,  5.51
80,c,18m 50s,60.9,      55,347,  5.73
81,d,18m 55s,60.8,      55,347,  5.53
82,e,19m 00s,60.9,      55,347,  5.86
83,f,19m 05s,61.0,      55,344,  5.92
84,g,19m 10s,60.9,      55,344,  6.07
85,h,19m 15s,60.9,      55,350,  5.54
86,i,19m 20s,60.9,      55,339,  5.47
87,j,19m 55s,60.9,      159,112,  6.25
