,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,57.7,      0,23,  2.09
1,B,00m 20s,82.3,      0,16,  2.36
2,C,00m 25s,105.9,      1,25,  2.43
3,D,00m 30s,115.2,      1,41,  2.67
4,E,00m 45s,115.4,      126,272,  1.27
5,F,00m 50s,115.3,      191,347,  1.49
6,G,00m 55s,115.2,      256,349,  1.64
7,H,01m 00s,115.2,      321,357,  1.99
8,I,01m 05s,115.1,      386,332,  1.29
9,J,01m 10s,115.3,      451,339,  1.71
10,K,01m 15s,115.3,      515,21,  2.10
11,L,01m 20s,115.2,      581,340,  1.47
12,M,01m 25s,115.1,      647,324,  1.58
13,N,01m 35s,115.2,      778,354,  1.62
14,O,01m 40s,115.1,      843,349,  1.85
15,P,01m 45s,115.2,      909,326,  2.03
16,Q,01m 50s,115.2,      969,338,  2.05
17,R,01m 55s,115.2,"      1,028",359,  1.98
18,S,02m 55s,115.3,"      1,137",33,  2.59
19,T,03m 00s,115.2,"      1,137",34,  3.51
20,U,03m 05s,115.2,"      1,137",30,  3.03
21,V,03m 10s,115.3,"      1,137",30,  3.44
22,W,03m 15s,115.0,"      1,137",51,  3.75
23,X,03m 40s,105.2,"      1,145",54,  4.23
24,Y,03m 45s,105.0,"      1,145",54,  3.86
25,Z,03m 51s,105.2,"      1,145",49,  3.85
26,a,03m 55s,105.2,"      1,145",43,  3.83
27,b,04m 00s,105.3,"      1,145",42,  3.75
28,c,04m 05s,105.3,"      1,145",38,  4.44
29,d,04m 10s,105.3,"      1,146",52,  4.00
30,e,04m 15s,105.2,"      1,147",36,  3.42
31,f,04m 20s,105.2,"      1,147",37,  3.55
32,g,04m 25s,105.3,"      1,147",34,  3.36
33,h,04m 30s,105.2,"      1,147",39,  3.04
34,i,04m 50s,105.2,"      1,160",53,  3.29
35,j,05m 05s,105.2,"      1,165",48,  3.89
36,k,05m 10s,105.2,"      1,166",53,  4.45
37,l,05m 15s,105.3,"      1,166",49,  4.30
38,m,05m 20s,105.2,"      1,166",55,  4.45
39,n,05m 25s,105.1,"      1,166",59,  4.75
40,o,05m 30s,105.2,"      1,166",58,  5.09
41,p,05m 50s,105.2,"      1,170",49,  4.56
42,q,06m 00s,105.2,"      1,178",49,  4.06
43,r,06m 05s,105.3,"      1,178",55,  5.25
44,s,06m 15s,105.2,"      1,182",64,  5.19
45,t,06m 25s,105.3,"      1,183",46,  4.07
46,u,06m 30s,110.1,"      1,183",40,  3.58
47,v,06m 35s,115.2,"      1,183",30,  3.23
48,w,06m 45s,115.2,"      1,193",48,  3.79
49,x,06m 50s,115.1,"      1,194",53,  4.09
50,y,06m 55s,115.1,"      1,194",58,  4.08
51,z,07m 00s,115.1,"      1,194",57,  3.91
52,A,07m 05s,115.1,"      1,194",61,  4.25
53,B,07m 10s,115.2,"      1,194",58,  3.79
54,C,07m 15s,115.0,"      1,194",61,  3.90
55,D,07m 20s,115.1,"      1,194",58,  3.58
