,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,12.0,      0,57,  3.42
1,B,00m 15s,26.3,      0,59,  3.93
2,C,00m 20s,41.4,      0,58,  4.63
3,D,00m 25s,57.0,      0,55,  4.79
4,E,00m 30s,72.4,      0,52,  4.82
5,F,01m 05s,76.2,      58,66,  2.98
6,G,01m 20s,76.6,      178,67,  5.61
7,H,01m 25s,76.5,      233,77,  4.63
8,I,01m 40s,75.9,      304,60,  5.65
9,J,01m 45s,76.1,      304,59,  5.02
10,K,01m 50s,76.1,      304,57,  5.74
11,L,01m 55s,76.2,      302,57,  5.87
12,M,02m 05s,76.2,      324,54,  3.72
13,N,02m 10s,76.2,      343,57,  4.36
14,O,02m 20s,76.4,      360,50,  6.58
15,P,02m 45s,75.9,      448,50,  6.35
16,Q,02m 50s,76.0,      448,56,  5.69
17,R,02m 55s,76.1,      448,55,  5.52
18,S,03m 00s,76.2,      448,58,  5.32
19,T,03m 05s,76.3,      448,51,  5.94
20,U,03m 10s,76.3,      448,52,  5.52
21,V,03m 15s,76.2,      448,49,  5.84
22,W,03m 20s,76.3,      448,50,  6.07
23,X,03m 25s,76.3,      448,51,  6.03
24,Y,03m 30s,76.3,      448,54,  5.76
25,Z,03m 35s,76.2,      448,55,  5.35
26,a,03m 40s,76.2,      448,60,  5.16
27,b,03m 45s,76.1,      448,63,  4.86
28,c,03m 50s,76.2,      449,64,  4.30
29,d,03m 55s,76.2,      449,60,  4.18
30,e,04m 05s,76.3,      452,53,  4.26
31,f,04m 50s,76.2,      412,38,  3.47
32,g,05m 25s,76.1,      395,44,  4.78
33,h,05m 35s,83.9,      393,53,  6.94
34,i,05m 40s,86.0,      393,62,  7.09
35,j,05m 45s,85.9,      393,55,  6.80
36,k,05m 50s,85.9,      393,55,  6.70
37,l,05m 55s,85.9,      394,50,  6.68
38,m,06m 00s,85.9,      394,53,  6.10
39,n,06m 05s,85.8,      393,53,  6.29
40,o,06m 10s,85.8,      393,53,  6.00
41,p,06m 15s,85.8,      393,56,  5.37
42,q,06m 20s,85.8,      393,56,  5.64
43,r,06m 25s,85.9,      393,53,  5.61
44,s,06m 30s,85.9,      393,55,  5.20
45,t,06m 35s,85.9,      393,53,  5.48
46,u,06m 45s,85.9,      387,79,  3.77
47,v,06m 55s,85.9,      383,52,  5.46
48,w,07m 00s,85.9,      382,69,  3.47
49,x,07m 15s,85.9,      380,72,  3.87
50,y,07m 25s,85.8,      366,55,  2.77
51,z,07m 45s,85.9,      357,28,  3.20
52,A,08m 15s,86.2,      374,51,  5.25
53,B,08m 20s,86.1,      374,59,  5.76
54,C,08m 45s,85.9,      468,51,  2.94
55,D,08m 50s,86.0,      481,61,  3.70
56,E,09m 00s,85.9,      487,55,  5.11
57,F,09m 25s,85.8,      520,49,  7.03
58,G,09m 30s,85.8,      525,56,  3.18
59,H,09m 35s,85.8,      533,53,  4.33
60,I,09m 45s,86.0,      536,67,  5.51
61,J,09m 50s,86.0,      537,85,  4.97
62,K,10m 00s,85.9,      554,80,  4.52
63,L,10m 10s,85.9,      556,81,  4.87
64,M,10m 15s,85.9,      556,91,  4.93
65,N,10m 20s,85.9,      556,94,  5.09
66,O,10m 25s,85.9,      556,88,  4.74
67,P,10m 40s,86.0,      472,96,  5.76
68,Q,10m 45s,86.0,      423,98,  5.58
69,R,10m 50s,85.9,      372,103,  4.40
70,S,10m 55s,86.0,      322,93,  5.40
71,T,11m 00s,86.0,      273,87,  4.96
72,U,11m 05s,85.9,      223,92,  3.30
73,V,11m 10s,85.9,      173,82,  5.49
74,W,11m 15s,86.1,      124,67,  5.83
75,X,11m 40s,85.9,      1,38,  5.46
76,Y,11m 50s,84.6,      1,41,  5.15
