,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,25.6,      0,57,  3.30
1,B,00m 20s,51.1,      1,52,  6.65
2,C,00m 25s,76.7,      1,55,  6.61
3,D,00m 30s,78.0,      1,57,  6.15
4,E,00m 40s,75.0,      1,71,  6.29
5,F,01m 00s,75.0,      69,50,  7.85
6,G,01m 05s,75.0,      91,50,  7.34
7,H,01m 20s,75.0,      155,56,  6.01
8,I,01m 25s,75.0,      174,49,  8.17
9,J,01m 35s,75.0,      210,62,  6.16
10,K,02m 05s,75.0,      217,52,  7.35
11,L,02m 15s,75.1,      179,64,  5.46
12,M,02m 30s,74.9,      147,55,  6.92
13,N,03m 05s,74.8,      82,62,  5.61
14,O,03m 30s,75.0,      146,47,  6.60
15,P,03m 35s,75.0,      169,61,  6.80
16,Q,03m 40s,75.0,      193,56,  6.78
17,R,04m 00s,75.0,      215,59,  6.53
18,S,04m 05s,74.9,      215,60,  5.51
19,T,04m 10s,75.0,      216,56,  6.33
20,U,04m 15s,74.9,      216,56,  5.62
21,V,04m 20s,75.0,      216,54,  6.39
22,W,04m 25s,75.0,      216,54,  6.25
23,X,04m 30s,75.0,      216,55,  6.15
24,Y,04m 55s,75.2,      242,51,  6.26
25,Z,05m 10s,74.9,      223,51,  4.83
26,a,05m 15s,75.1,      223,62,  5.55
27,b,05m 20s,75.1,      223,61,  6.22
28,c,05m 25s,75.1,      223,66,  5.26
29,d,05m 30s,75.0,      223,51,  5.28
30,e,05m 35s,75.0,      223,52,  5.09
31,f,05m 40s,75.1,      223,38,  5.75
32,g,05m 45s,75.0,      223,40,  4.63
33,h,05m 50s,75.1,      223,39,  4.83
34,i,05m 55s,75.0,      223,40,  5.34
35,j,06m 00s,75.1,      223,40,  6.17
36,k,06m 05s,75.2,      223,41,  6.74
37,l,06m 10s,75.1,      223,41,  6.78
38,m,06m 15s,75.2,      223,43,  6.75
39,n,06m 20s,75.2,      223,42,  6.71
40,o,06m 25s,75.1,      223,41,  6.61
41,p,06m 30s,75.1,      223,40,  6.41
42,q,06m 35s,75.1,      223,41,  6.62
43,r,06m 40s,75.1,      223,40,  6.32
44,s,06m 45s,75.1,      223,40,  6.58
45,t,06m 50s,75.1,      223,43,  5.75
46,u,06m 55s,75.0,      223,42,  6.57
47,v,07m 00s,75.1,      223,43,  6.44
48,w,07m 05s,75.1,      223,44,  6.85
49,x,07m 10s,75.1,      223,41,  6.85
50,y,07m 15s,75.1,      223,40,  6.29
51,z,07m 20s,75.1,      223,40,  6.08
52,A,07m 25s,75.0,      223,37,  6.16
53,B,07m 30s,75.1,      223,36,  6.14
54,C,07m 35s,75.1,      223,37,  6.26
55,D,07m 40s,75.1,      223,39,  6.37
56,E,07m 45s,75.0,      223,41,  6.32
57,F,07m 50s,75.0,      223,41,  6.52
58,G,07m 55s,75.1,      223,37,  5.99
