,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,6.4,      0,182,  5.19
1,B,00m 20s,13.1,      0,179,  5.90
2,C,00m 25s,20.5,      0,172,  6.56
3,D,00m 30s,31.7,      0,172,  6.22
4,E,00m 35s,46.4,      0,180,  6.26
5,F,00m 40s,60.3,      0,177,  6.16
6,G,00m 45s,69.1,      0,182,  5.96
7,H,00m 50s,70.2,      0,176,  5.92
8,I,01m 15s,70.2,      84,185,  6.74
9,J,01m 20s,70.2,      102,186,  6.14
10,K,02m 55s,70.2,      273,170,  6.91
11,L,03m 05s,70.1,      272,176,  6.52
12,M,03m 10s,70.4,      272,181,  6.70
13,N,03m 15s,70.5,      272,180,  6.61
14,O,03m 20s,70.5,      272,181,  6.91
15,P,03m 25s,70.5,      272,181,  7.25
16,Q,03m 30s,70.3,      272,181,  6.79
17,R,03m 35s,70.4,      272,177,  7.13
18,S,03m 40s,70.3,      272,175,  6.39
19,T,03m 45s,70.5,      272,176,  7.24
20,U,03m 50s,70.2,      272,173,  7.27
21,V,03m 55s,70.1,      272,175,  7.30
22,W,04m 00s,70.1,      271,179,  6.97
23,X,04m 05s,70.1,      271,177,  6.92
24,Y,04m 10s,70.2,      271,173,  6.86
25,Z,04m 15s,70.2,      271,182,  6.43
26,a,04m 20s,70.3,      272,179,  7.21
27,b,04m 25s,70.3,      272,173,  7.46
28,c,04m 30s,70.4,      272,176,  7.28
29,d,04m 35s,70.4,      272,172,  7.36
30,e,04m 40s,70.5,      272,170,  7.74
31,f,04m 45s,70.5,      272,173,  7.47
32,g,04m 50s,70.5,      273,175,  7.48
33,h,04m 55s,70.5,      273,179,  7.76
34,i,05m 00s,70.5,      273,179,  7.57
35,j,05m 05s,70.3,      273,180,  7.16
36,k,05m 10s,70.3,      272,183,  6.31
37,l,05m 15s,70.3,      273,183,  7.03
38,m,05m 20s,70.3,      273,186,  6.97
39,n,05m 25s,70.4,      272,183,  6.82
40,o,05m 30s,70.4,      272,189,  6.83
41,p,05m 35s,70.3,      272,184,  6.84
42,q,05m 40s,70.3,      272,180,  6.73
43,r,05m 45s,70.3,      272,176,  6.53
44,s,05m 50s,70.3,      272,174,  7.29
45,t,05m 55s,70.2,      272,173,  7.42
46,u,06m 00s,70.3,      272,175,  7.21
47,v,06m 05s,70.2,      272,176,  6.95
48,w,06m 10s,70.3,      272,173,  7.37
49,x,06m 15s,70.2,      272,175,  7.24
50,y,06m 20s,70.2,      272,172,  7.04
51,z,06m 25s,70.2,      272,170,  7.04
52,A,06m 30s,70.1,      272,171,  6.62
53,B,06m 35s,70.3,      272,169,  6.37
54,C,06m 40s,70.3,      272,171,  6.10
55,D,06m 45s,70.3,      272,175,  5.88
56,E,06m 50s,70.2,      272,170,  6.20
57,F,06m 55s,70.2,      272,172,  6.04
58,G,07m 00s,70.3,      272,170,  6.28
59,H,07m 05s,70.2,      272,179,  5.34
60,I,07m 10s,70.2,      272,178,  5.82
61,J,07m 15s,70.3,      272,177,  5.33
