,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,11.5,      1,141,  4.55
1,B,00m 15s,33.0,      1,140,  5.07
2,C,00m 20s,58.2,      1,143,  5.32
3,D,00m 25s,83.3,      1,158,  5.52
4,E,00m 40s,93.2,      113,210,  5.70
5,F,00m 50s,93.1,      229,164,  4.02
6,G,00m 55s,93.1,      284,176,  5.37
7,H,01m 40s,92.8,      357,197,  6.93
8,I,01m 46s,90.6,      357,197,  6.51
9,J,01m 55s,86.5,      357,196,  6.27
10,K,02m 20s,80.1,      366,187,  6.26
11,L,02m 25s,80.1,      366,190,  6.26
12,M,02m 30s,80.1,      366,187,  5.79
13,N,02m 35s,80.1,      366,186,  5.87
14,O,02m 40s,80.2,      366,184,  6.49
15,P,02m 55s,80.1,      374,195,  5.63
16,Q,03m 00s,80.0,      374,193,  5.74
17,R,03m 05s,79.9,      374,204,  4.75
18,S,03m 10s,79.9,      374,205,  4.21
19,T,03m 15s,80.0,      374,202,  3.79
20,U,03m 20s,80.1,      374,201,  3.48
21,V,03m 25s,80.2,      374,191,  3.81
22,W,03m 30s,80.1,      374,181,  2.76
23,X,03m 35s,80.1,      374,180,  4.96
24,Y,03m 40s,80.1,      374,175,  5.12
25,Z,03m 45s,80.1,      375,182,  4.39
26,a,03m 50s,80.1,      375,184,  4.62
27,b,03m 55s,80.1,      375,169,  3.77
28,c,04m 00s,80.0,      375,163,  4.51
29,d,04m 05s,80.0,      374,177,  4.38
30,e,04m 10s,80.0,      375,177,  5.43
31,f,04m 15s,80.1,      375,177,  5.47
32,g,04m 20s,80.2,      375,183,  5.34
33,h,04m 25s,80.2,      375,180,  4.97
34,i,04m 30s,80.2,      375,178,  5.12
35,j,04m 35s,80.2,      375,173,  4.23
36,k,04m 40s,80.1,      375,191,  5.30
37,l,04m 45s,80.1,      378,161,  3.32
38,m,04m 50s,80.2,      378,182,  5.68
39,n,04m 55s,80.2,      378,184,  5.16
40,o,05m 00s,80.2,      378,178,  5.19
