,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 20s,65.6,      0,102,  3.94
1,B,00m 25s,87.5,      0,102,  2.39
2,C,01m 00s,90.7,      226,154,  2.40
3,D,01m 05s,90.7,      278,149,  2.98
4,E,01m 10s,90.6,      327,144,  3.73
5,F,01m 15s,90.7,      378,134,  3.43
6,G,03m 20s,90.7,      511,158,  2.43
7,H,03m 30s,90.7,      510,142,  2.19
8,I,03m 35s,90.7,      510,139,  2.20
9,J,03m 40s,90.6,      511,138,  2.70
10,K,04m 50s,81.1,      519,153,  1.37
11,L,04m 55s,81.0,      519,134,  1.51
12,M,05m 00s,80.8,      519,154,  1.55
13,N,05m 25s,80.8,      520,184,  4.32
14,O,05m 30s,80.9,      520,172,  4.95
15,P,05m 35s,80.9,      520,172,  4.95
16,Q,05m 50s,80.9,      528,178,  3.33
17,R,05m 55s,80.9,      528,180,  3.85
18,S,06m 00s,80.8,      528,174,  4.00
19,T,06m 05s,80.8,      528,177,  4.21
20,U,06m 10s,80.8,      528,175,  4.02
21,V,06m 25s,80.9,      528,133,  2.27
22,W,06m 30s,81.0,      535,145,  3.75
23,X,06m 40s,80.8,      538,112,  2.15
24,Y,06m 45s,80.8,      538,119,  1.71
25,Z,06m 50s,80.9,      538,107,  1.83
26,a,06m 55s,80.9,      538,147,  2.33
27,b,07m 00s,80.9,      538,138,  2.46
28,c,07m 05s,80.9,      538,136,  2.79
29,d,07m 10s,80.9,      538,139,  2.84
30,e,07m 15s,81.0,      538,148,  3.26
31,f,07m 20s,80.9,      538,147,  3.25
32,g,07m 25s,80.9,      538,143,  3.12
33,h,07m 30s,80.9,      538,130,  3.30
34,i,07m 35s,80.6,      538,137,  2.89
35,j,07m 40s,80.7,      538,152,  3.36
36,k,07m 45s,80.9,      538,160,  4.73
37,l,08m 05s,81.0,      556,114,  1.79
38,m,08m 10s,80.8,      556,88,  1.73
39,n,08m 15s,80.8,      556,125,  2.52
40,o,08m 20s,80.9,      556,119,  2.41
41,p,08m 30s,80.9,      556,131,  2.54
42,q,08m 40s,80.9,      556,133,  2.20
43,r,09m 05s,80.7,      561,120,  1.52
44,s,09m 15s,80.9,      561,63,  2.04
45,t,09m 50s,80.8,      529,131,  3.27
46,u,09m 55s,80.8,      529,149,  2.42
47,v,10m 00s,80.8,      528,93,  2.45
48,w,10m 05s,80.9,      528,92,  3.41
49,x,10m 10s,80.9,      528,100,  3.37
50,y,10m 15s,80.8,      529,118,  3.62
51,z,11m 15s,80.9,      409,169,  3.62
52,A,11m 20s,80.8,      409,163,  4.36
53,B,11m 25s,81.0,      409,164,  4.72
54,C,11m 50s,80.8,      406,167,  4.62
55,D,11m 55s,80.9,      406,167,  4.38
56,E,12m 35s,80.8,      358,152,  4.20
57,F,12m 50s,80.8,      354,140,  2.70
58,G,12m 55s,80.8,      354,152,  2.92
59,H,13m 00s,80.7,      354,136,  3.10
60,I,13m 05s,80.8,      354,132,  3.90
61,J,13m 10s,80.8,      354,131,  4.30
62,K,13m 15s,80.8,      354,137,  4.62
63,L,13m 20s,80.8,      354,136,  4.61
64,M,13m 25s,80.8,      354,137,  4.57
65,N,13m 30s,80.8,      354,136,  3.91
66,O,13m 35s,80.8,      354,139,  4.11
67,P,13m 40s,80.8,      354,137,  4.29
68,Q,13m 45s,80.9,      354,147,  4.48
69,R,13m 50s,80.8,      354,146,  4.55
70,S,13m 55s,80.8,      354,146,  4.11
71,T,14m 00s,80.8,      354,147,  3.99
72,U,14m 20s,81.0,      351,175,  3.66
73,V,14m 30s,80.7,      347,148,  3.39
74,W,14m 35s,80.8,      347,177,  1.67
75,X,14m 40s,80.7,      347,145,  1.75
76,Y,14m 45s,80.8,      347,174,  1.47
77,Z,15m 40s,80.8,      271,120,  1.96
78,a,15m 45s,80.8,      270,127,  2.14
79,b,16m 00s,80.8,      248,100,  1.45
80,c,16m 05s,80.8,      248,118,  1.88
81,d,16m 10s,80.8,      248,126,  1.78
82,e,16m 15s,80.8,      248,126,  1.70
83,f,16m 20s,80.8,      248,123,  1.61
84,g,16m 40s,80.9,      239,119,  2.61
85,h,16m 45s,80.9,      239,116,  3.29
86,i,16m 50s,80.9,      239,110,  3.30
87,j,16m 55s,80.9,      239,131,  4.08
88,k,17m 00s,80.8,      239,120,  3.94
89,l,17m 05s,80.9,      239,126,  4.27
90,m,17m 10s,80.9,      239,121,  4.54
91,n,17m 15s,80.8,      239,122,  4.56
92,o,17m 20s,80.9,      239,121,  4.69
93,p,17m 25s,80.9,      239,117,  4.34
94,q,17m 30s,80.9,      239,128,  3.71
95,r,17m 35s,80.8,      239,122,  3.30
96,s,17m 40s,80.9,      239,122,  4.17
97,t,17m 45s,80.9,      239,127,  4.28
98,u,17m 50s,80.9,      239,125,  4.42
99,v,17m 55s,80.8,      239,124,  4.48
100,w,18m 00s,80.9,      239,124,  4.33
101,x,18m 10s,80.8,      234,118,  4.36
102,y,18m 15s,80.9,      234,120,  4.42
103,z,18m 20s,80.9,      234,122,  4.06
104,A,18m 25s,80.9,      234,119,  3.89
105,B,18m 30s,80.9,      234,121,  3.55
106,C,18m 35s,80.9,      234,119,  3.33
107,D,18m 40s,80.9,      234,119,  3.12
108,E,18m 45s,80.9,      234,120,  3.15
109,F,18m 50s,80.8,      234,119,  2.92
110,G,18m 55s,80.8,      233,122,  3.04
111,H,19m 00s,80.8,      233,122,  3.30
112,I,19m 05s,80.8,      233,123,  2.41
113,J,19m 10s,80.8,      233,121,  2.37
114,K,19m 15s,80.7,      233,128,  2.64
115,L,19m 20s,80.8,      233,123,  1.96
116,M,19m 25s,80.8,      234,127,  1.87
117,N,19m 30s,80.8,      234,117,  1.89
118,O,19m 35s,80.8,      234,111,  1.69
119,P,19m 40s,80.8,      234,110,  1.70
120,Q,19m 45s,80.8,      234,111,  1.57
121,R,19m 50s,80.9,      234,111,  1.92
122,S,19m 55s,80.8,      234,115,  2.19
123,T,20m 10s,80.8,      157,100,  3.53
124,U,20m 15s,80.8,      107,99,  2.92
125,V,20m 20s,80.8,      58,105,  2.30
126,W,21m 20s,4.8,      2,180,  1.88
127,X,21m 25s,4.0,      2,193,  1.35
