,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 40s,48.6,      1,78,  6.38
1,B,00m 45s,73.8,      1,68,  6.05
2,C,00m 55s,74.7,      2,60,  6.21
3,D,01m 05s,74.7,      34,71,  3.47
4,E,01m 25s,74.7,      88,75,  5.09
5,F,02m 15s,74.8,      295,66,  5.03
6,G,02m 20s,74.9,      302,63,  5.90
7,H,02m 30s,74.6,      307,71,  6.29
8,I,02m 35s,74.8,      307,72,  6.55
9,J,02m 40s,74.7,      307,64,  6.80
10,K,03m 30s,74.5,      463,71,  5.76
11,L,03m 35s,74.6,      463,80,  5.32
12,M,03m 40s,74.6,      463,85,  6.02
13,N,03m 45s,74.6,      463,76,  6.59
14,O,03m 50s,74.8,      463,67,  8.21
15,P,03m 55s,74.8,      463,72,  8.04
16,Q,04m 00s,74.6,      463,84,  7.18
17,R,04m 30s,74.6,      497,45,  8.31
18,S,04m 35s,74.5,      498,51,  7.77
19,T,04m 40s,74.4,      498,56,  7.14
20,U,04m 45s,74.6,      498,56,  7.40
21,V,05m 10s,74.7,      501,69,  6.15
22,W,05m 15s,74.6,      501,66,  6.21
23,X,05m 20s,74.5,      501,68,  5.28
24,Y,05m 25s,74.4,      501,77,  4.66
25,Z,05m 30s,74.6,      501,76,  4.99
26,a,05m 35s,74.7,      501,68,  5.13
27,b,05m 40s,74.7,      501,63,  5.64
28,c,05m 45s,74.5,      501,56,  4.08
29,d,05m 50s,74.6,      501,49,  5.63
30,e,05m 55s,74.8,      501,75,  6.61
31,f,06m 00s,74.7,      501,76,  6.65
32,g,06m 05s,74.6,      501,82,  6.66
33,h,06m 10s,74.6,      501,65,  6.47
34,i,06m 15s,74.6,      501,65,  6.73
35,j,06m 20s,74.6,      501,70,  6.54
36,k,06m 25s,74.5,      501,58,  6.42
37,l,06m 30s,74.6,      501,87,  5.90
38,m,06m 45s,74.5,      505,53,  6.43
39,n,06m 50s,74.8,      505,62,  5.93
40,o,06m 55s,74.7,      505,64,  5.88
41,p,07m 00s,74.8,      505,78,  6.20
42,q,07m 05s,74.8,      505,70,  6.83
43,r,07m 10s,74.8,      505,70,  7.21
44,s,07m 15s,74.9,      505,65,  7.30
45,t,07m 20s,74.8,      505,66,  7.40
46,u,07m 25s,74.7,      505,68,  6.63
47,v,07m 30s,74.7,      505,63,  6.75
48,w,07m 35s,74.7,      505,54,  6.43
49,x,07m 40s,74.7,      505,64,  6.48
50,y,07m 45s,74.6,      505,75,  6.36
51,z,07m 50s,74.6,      505,75,  6.18
52,A,07m 55s,74.6,      505,74,  6.32
53,B,08m 00s,74.6,      505,80,  6.27
54,C,08m 20s,74.7,      527,72,  6.76
55,D,08m 25s,74.7,      527,70,  6.31
56,E,08m 30s,74.6,      527,69,  5.93
57,F,08m 35s,74.6,      527,84,  5.57
58,G,08m 50s,74.7,      532,75,  7.20
59,H,08m 55s,74.6,      532,77,  7.34
60,I,09m 00s,74.6,      532,90,  6.84
61,J,09m 05s,74.6,      532,81,  6.81
62,K,09m 10s,74.6,      532,77,  7.40
63,L,09m 15s,74.6,      532,76,  7.77
64,M,09m 20s,74.7,      532,71,  8.63
65,N,09m 25s,74.6,      532,75,  7.65
66,O,09m 30s,74.5,      532,85,  7.48
67,P,09m 35s,74.6,      532,75,  8.42
68,Q,09m 40s,74.6,      532,74,  8.13
69,R,09m 50s,74.6,      533,79,  8.21
70,S,09m 55s,74.6,      533,77,  8.39
71,T,10m 00s,74.6,      533,72,  7.93
72,U,10m 10s,74.5,      534,71,  7.43
73,V,10m 15s,74.6,      534,70,  7.01
74,W,10m 20s,74.6,      534,72,  7.26
75,X,10m 25s,74.6,      534,77,  8.01
76,Y,10m 30s,74.6,      534,79,  8.04
77,Z,10m 35s,74.6,      534,85,  7.68
78,a,10m 40s,74.6,      533,85,  7.47
79,b,11m 00s,74.6,      514,79,  7.19
80,c,11m 05s,74.6,      514,75,  6.72
81,d,11m 10s,74.5,      514,67,  6.20
82,e,11m 15s,74.6,      514,80,  5.88
83,f,11m 25s,74.5,      501,92,  4.85
84,g,11m 45s,74.5,      483,90,  5.38
85,h,11m 50s,74.4,      483,98,  6.29
86,i,11m 55s,74.3,      483,100,  5.55
87,j,12m 00s,74.4,      483,99,  4.58
88,k,12m 15s,74.6,      468,92,  6.32
89,l,12m 20s,74.6,      468,96,  5.55
90,m,12m 25s,74.5,      468,91,  5.05
91,n,12m 30s,74.5,      468,77,  5.56
92,o,12m 35s,74.4,      468,80,  5.30
93,p,12m 40s,74.4,      468,91,  5.34
94,q,12m 45s,74.6,      468,88,  6.60
95,r,12m 50s,74.6,      468,85,  7.75
96,s,12m 55s,74.6,      468,77,  7.88
97,t,13m 10s,74.4,      469,74,  6.15
98,u,13m 15s,74.4,      469,69,  6.13
99,v,13m 20s,74.4,      469,70,  6.04
100,w,13m 25s,74.4,      469,65,  6.08
101,x,13m 30s,74.3,      469,61,  6.11
102,y,13m 35s,74.5,      469,65,  6.02
103,z,13m 40s,74.4,      469,65,  6.30
104,A,13m 45s,74.5,      469,66,  6.96
105,B,13m 50s,74.4,      469,67,  7.40
106,C,14m 05s,74.4,      444,65,  6.16
107,D,14m 20s,74.5,      422,67,  7.19
108,E,14m 25s,74.5,      422,67,  6.77
109,F,14m 30s,74.6,      422,74,  6.66
110,G,14m 35s,74.4,      422,72,  6.65
111,H,14m 40s,74.4,      422,70,  5.97
112,I,14m 45s,74.5,      422,72,  5.88
113,J,14m 50s,74.4,      422,69,  5.76
114,K,14m 55s,74.6,      422,74,  5.71
115,L,15m 10s,74.7,      403,70,  5.93
116,M,15m 15s,74.6,      403,67,  6.10
117,N,15m 20s,74.5,      403,74,  6.85
118,O,15m 25s,74.6,      403,69,  6.66
119,P,15m 30s,74.5,      403,68,  5.95
120,Q,15m 35s,74.5,      403,71,  6.02
121,R,15m 40s,74.5,      403,71,  5.88
122,S,15m 45s,74.5,      397,65,  5.28
123,T,16m 00s,74.3,      367,64,  4.88
124,U,16m 15s,74.6,      347,67,  5.59
125,V,16m 20s,74.5,      347,73,  5.59
126,W,16m 35s,74.5,      343,64,  5.46
127,X,16m 45s,74.5,      333,68,  5.78
128,Y,16m 50s,74.5,      333,77,  5.10
129,Z,17m 30s,75.1,      285,59,  6.24
130,a,17m 35s,75.0,      279,78,  3.70
131,b,17m 45s,75.1,      277,77,  4.20
