,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 15s,40.7,      1,82,  0.32
1,B,00m 20s,66.6,      1,135,  0.33
2,C,00m 25s,91.3,      2,261,  0.37
3,D,00m 30s,90.6,      2,229,  0.70
4,E,00m 45s,90.6,      111,325,  2.61
5,F,00m 50s,90.5,      175,320,  2.40
6,G,00m 55s,90.5,      239,315,  2.24
7,H,01m 00s,90.6,      301,304,  2.63
8,I,01m 05s,90.6,      362,309,  2.60
9,J,01m 10s,90.7,      425,310,  2.50
10,K,02m 15s,90.8,      494,304,  1.22
11,L,02m 20s,90.7,      494,303,  1.21
12,M,02m 25s,90.8,      494,305,  1.28
13,N,02m 30s,90.6,      494,301,  1.24
14,O,02m 55s,80.1,      496,297,  1.15
15,P,03m 35s,80.1,      486,302,  0.98
16,Q,03m 40s,80.1,      486,278,  0.88
17,R,03m 55s,80.3,      487,318,  2.31
18,S,04m 00s,80.2,      487,303,  1.19
19,T,04m 05s,80.2,      487,302,  1.24
20,U,04m 10s,80.1,      487,304,  1.20
21,V,04m 15s,80.0,      487,301,  1.17
22,W,04m 20s,80.0,      487,300,  1.17
23,X,04m 25s,80.1,      487,291,  0.96
24,Y,04m 30s,80.1,      487,289,  0.91
25,Z,04m 35s,80.1,      487,286,  0.83
26,a,04m 40s,80.1,      487,285,  0.66
27,b,04m 45s,80.1,      487,310,  1.04
28,c,04m 50s,80.2,      487,299,  0.97
29,d,04m 55s,80.2,      487,301,  0.91
30,e,05m 00s,80.1,      488,270,  0.71
31,f,05m 05s,80.1,      488,304,  1.00
32,g,05m 10s,80.1,      488,292,  0.80
33,h,05m 15s,80.2,      488,298,  0.74
34,i,05m 20s,80.1,      488,281,  0.73
35,j,05m 25s,80.1,      488,272,  0.70
36,k,05m 30s,80.2,      488,288,  0.75
37,l,05m 35s,80.1,      488,299,  0.88
38,m,05m 40s,80.1,      489,282,  0.82
39,n,05m 45s,80.1,      490,299,  0.97
40,o,05m 50s,80.1,      490,258,  0.67
41,p,06m 05s,80.0,      490,204,  0.63
42,q,06m 10s,80.1,      490,296,  0.98
43,r,06m 15s,80.1,      490,304,  0.95
44,s,06m 20s,80.1,      490,304,  0.95
45,t,06m 25s,80.2,      490,296,  0.85
46,u,06m 30s,80.2,      490,295,  0.86
47,v,06m 35s,80.1,      489,305,  1.34
48,w,06m 50s,80.2,      487,300,  0.97
49,x,06m 55s,80.1,      487,287,  0.85
50,y,07m 00s,80.1,      487,294,  0.92
51,z,07m 05s,80.1,      487,285,  0.78
52,A,07m 10s,80.2,      487,274,  0.73
53,B,07m 15s,80.2,      487,255,  0.65
54,C,07m 20s,80.2,      487,257,  0.67
55,D,07m 25s,80.1,      487,260,  0.69
56,E,07m 30s,80.2,      487,256,  0.67
57,F,07m 35s,80.2,      487,246,  0.74
58,G,07m 40s,80.0,      486,230,  0.87
59,H,07m 45s,80.0,      486,256,  0.74
60,I,07m 50s,80.1,      486,235,  0.84
61,J,07m 55s,80.1,      487,238,  0.73
62,K,08m 00s,80.1,      487,243,  0.67
63,L,08m 05s,80.2,      486,219,  0.75
64,M,08m 10s,80.2,      487,203,  1.01
65,N,08m 15s,80.2,      487,204,  1.01
66,O,08m 20s,80.1,      486,210,  0.88
67,P,08m 25s,80.1,      487,217,  0.66
68,Q,08m 30s,80.2,      487,221,  0.57
69,R,08m 35s,80.2,      487,224,  0.62
70,S,08m 40s,80.1,      487,220,  0.64
71,T,08m 45s,80.1,      486,220,  0.49
72,U,08m 50s,80.1,      486,225,  0.49
73,V,08m 55s,80.0,      486,199,  0.48
74,W,09m 00s,80.0,      486,179,  0.58
75,X,09m 05s,80.1,      486,172,  0.74
76,Y,09m 10s,80.0,      486,186,  0.85
77,Z,09m 15s,80.2,      486,191,  0.88
78,a,09m 20s,80.1,      486,185,  0.88
79,b,09m 25s,80.2,      486,183,  0.72
80,c,09m 30s,80.2,      486,200,  0.59
81,d,09m 35s,80.1,      486,202,  0.70
82,e,09m 40s,80.2,      486,192,  0.62
83,f,09m 45s,80.2,      486,173,  0.89
84,g,09m 50s,80.1,      486,176,  1.09
85,h,09m 55s,80.0,      486,171,  1.29
86,i,10m 00s,80.0,      486,179,  1.27
87,j,10m 05s,80.1,      486,197,  0.89
88,k,10m 10s,80.1,      486,206,  0.88
89,l,10m 15s,80.1,      486,204,  0.92
90,m,10m 20s,80.2,      486,209,  0.79
91,n,10m 25s,80.3,      486,231,  0.60
92,o,10m 30s,80.1,      486,246,  0.59
93,p,10m 35s,80.1,      486,223,  0.77
94,q,10m 40s,80.1,      486,224,  0.81
95,r,10m 45s,80.1,      486,224,  0.71
96,s,10m 50s,80.2,      486,215,  0.86
97,t,10m 55s,80.2,      486,224,  0.86
98,u,11m 00s,80.1,      486,246,  0.71
99,v,11m 05s,80.1,      486,238,  0.75
100,w,11m 10s,80.1,      486,235,  0.77
101,x,11m 15s,80.1,      486,236,  0.74
102,y,11m 20s,80.1,      486,229,  0.77
103,z,11m 25s,80.1,      486,219,  0.93
104,A,11m 30s,80.1,      486,225,  0.80
105,B,11m 45s,80.2,      491,249,  0.63
106,C,12m 05s,80.2,      499,260,  0.50
107,D,12m 10s,80.1,      499,238,  0.68
108,E,12m 15s,80.0,      499,274,  0.60
109,F,12m 20s,80.1,      499,233,  0.72
110,G,12m 25s,80.1,      499,244,  0.64
111,H,12m 30s,80.1,      499,245,  0.63
112,I,12m 35s,80.1,      499,245,  0.70
113,J,12m 40s,80.2,      499,249,  0.67
114,K,12m 55s,80.1,      507,261,  0.74
115,L,13m 00s,80.2,      507,279,  0.80
116,M,13m 05s,80.1,      507,285,  0.82
117,N,13m 10s,80.2,      507,289,  0.86
118,O,13m 15s,80.2,      507,283,  0.78
119,P,13m 20s,80.1,      507,292,  0.89
120,Q,13m 25s,80.1,      507,290,  0.87
121,R,13m 30s,80.1,      507,281,  0.79
122,S,13m 35s,80.1,      507,276,  0.80
123,T,13m 40s,80.1,      507,290,  0.89
124,U,13m 45s,80.1,      507,296,  0.75
125,V,13m 50s,80.2,      507,273,  0.62
126,W,13m 55s,80.1,      508,166,  0.81
127,X,14m 05s,80.0,      511,322,  1.80
128,Y,14m 10s,80.1,      511,247,  0.55
129,Z,14m 15s,80.2,      510,226,  0.70
130,a,14m 20s,80.1,      510,243,  1.32
131,b,14m 30s,80.2,      511,246,  0.68
132,c,14m 35s,80.1,      511,248,  0.71
133,d,14m 40s,80.2,      511,248,  1.04
134,e,14m 45s,80.2,      514,65,  0.31
135,f,14m 50s,80.2,      514,210,  0.86
136,g,14m 55s,80.2,      514,215,  0.79
137,h,15m 00s,80.2,      514,215,  0.80
138,i,15m 05s,80.2,      514,214,  0.80
139,j,15m 10s,80.0,      514,236,  0.59
140,k,15m 15s,80.1,      514,250,  0.59
141,l,15m 20s,80.1,      514,234,  0.60
142,m,15m 25s,80.1,      514,224,  0.72
143,n,15m 30s,80.1,      514,221,  0.76
144,o,15m 35s,80.2,      514,240,  0.62
145,p,15m 40s,80.2,      514,224,  0.76
146,q,15m 45s,80.2,      514,230,  0.71
147,r,15m 50s,80.1,      514,227,  0.77
148,s,15m 55s,80.2,      514,218,  0.81
149,t,16m 00s,80.2,      514,220,  0.76
150,u,16m 05s,80.1,      514,213,  0.87
151,v,16m 10s,80.1,      514,213,  0.90
152,w,16m 15s,80.1,      514,238,  0.78
153,x,16m 20s,80.2,      514,243,  0.77
154,y,16m 25s,80.2,      514,244,  0.82
155,z,16m 30s,80.1,      514,250,  0.79
156,A,16m 35s,80.2,      514,243,  0.88
157,B,16m 40s,80.1,      514,230,  0.99
158,C,16m 45s,80.1,      514,235,  0.83
159,D,16m 50s,80.2,      514,243,  0.76
160,E,16m 55s,80.2,      514,247,  0.78
161,F,17m 00s,80.2,      514,237,  0.92
162,G,17m 05s,80.2,      514,236,  0.90
163,H,17m 10s,80.0,      514,240,  0.69
164,I,17m 15s,80.1,      514,229,  1.00
165,J,17m 20s,80.1,      514,236,  0.84
166,K,17m 25s,80.1,      514,222,  0.97
167,L,17m 30s,80.1,      514,232,  0.94
168,M,17m 35s,80.2,      514,224,  1.00
169,N,17m 40s,80.1,      514,228,  1.05
170,O,17m 45s,80.0,      514,224,  1.08
171,P,17m 50s,80.1,      514,221,  1.08
172,Q,17m 55s,80.2,      514,222,  1.03
173,R,18m 00s,80.2,      514,219,  1.11
174,S,18m 05s,80.1,      514,219,  1.11
175,T,18m 10s,80.1,      514,216,  1.19
176,U,18m 15s,80.1,      514,214,  1.23
177,V,18m 20s,80.1,      514,216,  1.15
178,W,18m 25s,80.2,      514,222,  0.98
179,X,18m 30s,80.2,      514,219,  1.08
180,Y,18m 35s,80.2,      514,221,  0.99
181,Z,18m 40s,80.2,      514,213,  1.03
182,a,18m 45s,80.1,      514,218,  0.90
183,b,18m 50s,80.0,      514,209,  0.97
184,c,18m 55s,80.0,      514,208,  1.00
185,d,19m 10s,80.1,      426,194,  2.69
186,e,19m 15s,80.1,      376,211,  2.03
187,f,19m 20s,80.0,      326,201,  2.03
188,g,19m 25s,80.0,      276,210,  2.01
189,h,19m 30s,80.0,      226,202,  2.43
190,i,19m 35s,80.0,      176,206,  2.36
191,j,19m 40s,79.9,      126,202,  2.07
192,k,19m 45s,79.9,      76,189,  2.15
193,l,19m 50s,80.0,      26,186,  2.67
194,m,20m 00s,80.0,      1,231,  1.21
