,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,6.9,      1,135,  1.40
1,B,00m 15s,23.7,      1,126,  1.33
2,C,00m 20s,47.7,      1,134,  1.34
3,D,00m 25s,73.2,      2,147,  1.93
4,E,00m 40s,80.8,      68,163,  3.27
5,F,00m 45s,80.6,      113,207,  4.12
6,G,00m 50s,80.5,      158,197,  1.89
7,H,01m 15s,80.6,      255,150,  3.67
8,I,01m 30s,80.7,      254,120,  3.79
9,J,01m 35s,80.7,      254,121,  3.57
10,K,01m 40s,79.9,      254,121,  3.50
11,L,02m 00s,70.4,      254,134,  3.05
12,M,02m 05s,70.3,      255,119,  3.46
13,N,02m 10s,70.3,      255,122,  3.57
14,O,02m 15s,70.4,      255,123,  3.34
15,P,02m 20s,70.3,      255,121,  3.59
16,Q,02m 30s,70.4,      253,124,  3.45
17,R,02m 35s,70.5,      253,121,  3.27
18,S,02m 40s,70.5,      253,121,  3.01
19,T,02m 45s,70.4,      253,122,  3.06
20,U,02m 50s,70.4,      253,123,  2.80
21,V,02m 55s,70.4,      253,121,  2.78
22,W,03m 05s,70.4,      254,129,  2.76
23,X,03m 10s,70.4,      254,134,  2.23
24,Y,03m 15s,70.4,      254,137,  1.94
25,Z,03m 20s,70.4,      254,130,  2.42
26,a,03m 25s,70.5,      254,133,  2.32
27,b,03m 30s,70.5,      254,136,  1.96
28,c,03m 35s,70.5,      254,111,  2.97
29,d,03m 40s,70.4,      254,117,  3.04
30,e,03m 45s,70.5,      254,117,  2.54
31,f,03m 50s,70.5,      254,128,  2.25
32,g,04m 00s,70.4,      254,150,  2.17
33,h,04m 10s,70.4,      254,151,  2.19
34,i,04m 20s,70.5,      252,145,  3.01
35,j,04m 25s,70.5,      252,152,  3.33
36,k,04m 30s,70.6,      252,150,  3.21
37,l,04m 35s,70.5,      252,148,  3.37
38,m,04m 40s,70.4,      252,145,  3.29
39,n,04m 45s,70.4,      252,143,  3.15
40,o,04m 50s,70.5,      252,142,  2.98
41,p,04m 55s,70.4,      252,144,  2.94
42,q,05m 00s,70.4,      252,143,  3.00
43,r,05m 05s,70.4,      252,142,  2.89
44,s,05m 10s,70.3,      252,143,  2.87
45,t,05m 15s,70.4,      252,142,  3.09
46,u,05m 20s,70.3,      252,143,  3.09
47,v,05m 25s,70.4,      252,143,  2.85
48,w,05m 30s,70.5,      253,144,  2.78
49,x,05m 35s,70.4,      253,143,  2.70
50,y,05m 40s,70.4,      252,144,  2.93
51,z,05m 45s,70.5,      252,144,  3.18
52,A,05m 50s,70.4,      253,144,  3.17
53,B,05m 55s,70.4,      253,146,  3.11
54,C,06m 00s,70.4,      253,147,  2.94
55,D,06m 05s,70.4,      252,144,  3.40
56,E,06m 10s,70.3,      252,142,  3.40
57,F,06m 15s,70.4,      252,143,  3.40
