,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,27.0,      0,51,  6.19
1,B,00m 20s,78.3,      0,53,  7.13
2,C,00m 35s,84.2,      19,57,  8.20
3,D,00m 40s,84.1,      43,54,  7.65
4,E,00m 45s,84.1,      69,53,  7.44
5,F,00m 50s,84.0,      95,57,  6.82
6,G,00m 55s,84.0,      125,57,  7.88
7,H,01m 00s,84.1,      154,54,  7.44
8,I,01m 20s,84.0,      195,62,  6.08
9,J,01m 25s,84.0,      195,67,  5.21
10,K,01m 30s,85.2,      195,64,  6.65
11,L,01m 35s,85.4,      195,68,  6.80
12,M,01m 40s,85.3,      195,66,  7.46
13,N,01m 45s,85.3,      195,67,  7.03
14,O,01m 50s,85.2,      195,67,  6.94
15,P,01m 55s,85.3,      195,65,  7.78
16,Q,02m 00s,85.3,      195,66,  7.49
17,R,02m 05s,85.3,      195,66,  7.68
18,S,02m 10s,85.3,      195,65,  7.48
19,T,02m 15s,85.2,      195,65,  6.68
20,U,02m 20s,85.2,      195,65,  6.75
21,V,02m 25s,85.2,      196,66,  7.50
22,W,02m 30s,85.2,      196,67,  7.69
23,X,02m 35s,85.2,      196,66,  7.93
24,Y,02m 40s,85.1,      196,67,  7.88
25,Z,02m 45s,85.2,      196,66,  7.93
26,a,02m 50s,85.2,      196,66,  7.95
27,b,02m 55s,85.3,      196,66,  7.70
28,c,03m 00s,85.2,      196,65,  7.76
29,d,03m 05s,85.2,      196,65,  7.80
30,e,03m 10s,85.2,      196,65,  7.81
31,f,03m 15s,85.2,      196,64,  7.90
32,g,03m 20s,85.3,      196,66,  7.94
33,h,03m 25s,85.2,      196,65,  8.06
34,i,03m 30s,85.2,      196,64,  7.99
35,j,03m 35s,85.3,      196,64,  7.70
36,k,04m 20s,85.3,      171,68,  7.15
37,l,05m 05s,85.1,      251,57,  7.34
38,m,06m 15s,85.3,      400,59,  5.63
39,n,06m 50s,85.2,      453,63,  6.96
40,o,07m 15s,85.2,      537,61,  7.43
41,p,07m 20s,85.2,      538,59,  6.21
42,q,07m 25s,85.2,      538,59,  6.10
43,r,07m 30s,85.2,      537,61,  6.46
44,s,07m 35s,85.2,      538,59,  6.10
45,t,07m 40s,85.3,      537,61,  7.23
46,u,08m 10s,85.0,      628,65,  6.99
47,v,08m 15s,85.2,      628,76,  5.80
48,w,08m 20s,85.1,      628,69,  6.82
49,x,08m 25s,85.1,      628,72,  5.95
50,y,08m 30s,85.2,      628,70,  5.48
51,z,08m 35s,85.1,      628,82,  4.62
52,A,08m 40s,85.1,      629,72,  5.55
53,B,08m 45s,85.2,      629,74,  4.53
54,C,08m 50s,85.2,      628,70,  4.53
55,D,09m 05s,85.1,      542,79,  5.84
56,E,09m 10s,85.1,      493,71,  6.26
57,F,09m 15s,85.2,      443,67,  6.87
58,G,09m 20s,85.3,      393,68,  6.17
59,H,09m 25s,85.3,      343,60,  7.25
60,I,09m 30s,85.3,      293,56,  7.02
61,J,09m 35s,85.3,      243,59,  6.94
62,K,09m 40s,85.2,      193,68,  7.06
63,L,09m 45s,85.2,      143,67,  6.83
64,M,09m 50s,85.2,      93,70,  6.88
65,N,10m 10s,85.2,      1,78,  7.91
66,O,10m 15s,85.1,      1,81,  6.08
67,P,10m 20s,84.8,      1,66,  6.65
68,Q,11m 05s,2.6,      1,53,  3.59
69,R,11m 10s,1.9,      1,74,  4.76
