,logLetter,flightTime,altitude,homeDistance,windDirection,windSpeed
0,A,00m 10s,26.1,      1,154,  1.02
1,B,00m 15s,52.0,      0,129,  1.14
2,C,00m 20s,65.4,      1,206,  0.68
3,D,00m 25s,65.3,      0,137,  1.05
4,E,00m 40s,65.4,      44,181,  1.11
5,F,00m 45s,65.6,      79,174,  1.04
6,G,01m 10s,65.6,      171,138,  0.97
7,H,01m 15s,65.6,      171,179,  1.07
8,I,01m 20s,65.7,      171,171,  1.10
9,J,01m 25s,65.6,      171,172,  1.21
10,K,01m 30s,65.5,      171,155,  1.27
11,L,01m 55s,65.4,      182,161,  1.07
12,M,02m 15s,60.9,      183,172,  1.14
13,N,02m 20s,60.9,      183,164,  1.11
14,O,02m 25s,60.9,      183,181,  1.14
15,P,02m 30s,60.8,      183,180,  1.30
16,Q,02m 35s,60.8,      183,183,  1.27
17,R,02m 40s,60.9,      183,186,  1.34
18,S,02m 45s,60.8,      184,192,  1.43
19,T,02m 50s,60.9,      184,190,  1.51
20,U,02m 55s,60.9,      184,173,  1.56
21,V,03m 00s,60.8,      184,180,  1.40
22,W,03m 05s,60.8,      184,184,  0.95
23,X,03m 10s,60.9,      184,203,  1.12
24,Y,03m 15s,61.0,      184,171,  1.22
25,Z,03m 20s,61.0,      184,171,  1.24
26,a,03m 25s,60.9,      184,161,  1.44
27,b,03m 30s,60.9,      184,173,  1.40
28,c,03m 35s,60.9,      184,134,  1.73
29,d,03m 40s,60.9,      184,161,  1.31
30,e,03m 45s,60.9,      184,184,  1.40
31,f,03m 50s,60.9,      184,147,  1.33
32,g,04m 05s,60.8,      184,174,  1.32
33,h,04m 10s,60.9,      184,168,  1.51
34,i,04m 15s,60.8,      184,136,  1.40
35,j,04m 20s,60.8,      184,151,  1.75
36,k,04m 25s,60.8,      184,153,  1.28
37,l,04m 30s,60.9,      184,140,  0.89
38,m,04m 35s,60.9,      184,160,  1.16
39,n,04m 40s,60.9,      184,169,  1.56
40,o,04m 45s,60.8,      182,185,  1.50
41,p,04m 50s,60.9,      182,166,  2.01
42,q,04m 55s,60.8,      182,173,  1.55
43,r,05m 05s,60.8,      179,149,  1.72
44,s,05m 10s,60.9,      179,149,  1.67
45,t,05m 15s,60.9,      179,148,  1.65
46,u,05m 20s,60.9,      179,176,  1.95
47,v,05m 30s,61.0,      174,149,  1.86
48,w,05m 35s,60.9,      174,153,  1.77
49,x,05m 40s,60.9,      174,152,  1.65
50,y,05m 45s,60.9,      174,151,  1.72
51,z,05m 50s,60.8,      174,152,  1.57
52,A,05m 55s,61.0,      174,151,  1.41
53,B,06m 00s,60.9,      174,158,  1.45
54,C,06m 05s,60.9,      174,152,  1.36
55,D,06m 10s,60.9,      174,167,  1.54
56,E,06m 15s,60.9,      174,154,  1.01
57,F,06m 20s,60.9,      174,154,  1.37
58,G,06m 25s,61.0,      174,158,  0.97
59,H,06m 30s,60.9,      174,159,  1.36
60,I,06m 35s,60.9,      174,157,  1.72
61,J,06m 40s,61.0,      174,159,  1.53
62,K,06m 45s,60.9,      174,156,  1.43
63,L,06m 50s,60.9,      174,151,  1.17
64,M,06m 55s,60.9,      174,167,  0.63
65,N,07m 15s,60.9,      168,119,  0.30
66,O,07m 20s,60.9,      168,98,  0.24
67,P,07m 25s,60.9,      168,187,  0.10
68,Q,07m 30s,61.0,      169,307,  0.35
69,R,07m 35s,61.0,      169,180,  0.31
70,S,07m 40s,61.0,      168,187,  0.70
71,T,07m 45s,60.9,      168,180,  0.52
72,U,08m 10s,60.9,      159,216,  0.79
73,V,08m 15s,60.9,      159,207,  0.78
74,W,08m 20s,60.9,      159,231,  0.80
75,X,08m 25s,60.9,      159,222,  0.40
76,Y,08m 30s,60.8,      159,191,  0.58
77,Z,08m 35s,60.9,      159,289,  0.92
78,a,08m 40s,60.8,      159,291,  1.01
79,b,08m 45s,60.8,      159,224,  0.26
80,c,08m 50s,60.8,      159,196,  0.43
81,d,08m 55s,60.8,      159,194,  0.11
82,e,09m 00s,60.8,      159,325,  0.49
83,f,09m 05s,60.9,      159,303,  0.26
84,g,09m 10s,60.8,      159,304,  0.40
85,h,09m 15s,60.8,      159,188,  0.34
86,i,09m 20s,61.0,      159,220,  0.39
87,j,09m 25s,60.9,      159,201,  0.42
88,k,09m 30s,60.9,      159,179,  0.37
89,l,09m 35s,61.0,      159,176,  0.36
90,m,09m 40s,61.0,      159,285,  0.40
91,n,09m 45s,61.1,      159,286,  0.88
92,o,09m 50s,61.0,      159,166,  0.42
93,p,09m 55s,60.9,      159,174,  0.29
94,q,10m 00s,60.8,      159,259,  0.19
95,r,10m 05s,60.8,      159,333,  0.06
96,s,10m 10s,60.8,      159,348,  0.64
97,t,10m 15s,60.8,      159,25,  0.45
98,u,10m 20s,60.9,      159,9,  0.31
99,v,10m 25s,60.9,      159,354,  0.40
100,w,10m 30s,60.9,      159,331,  1.03
101,x,10m 35s,60.9,      159,308,  1.77
102,y,10m 40s,60.9,      159,310,  1.40
103,z,10m 45s,61.0,      159,307,  1.27
104,Not enough valid records were found.,,,,,
