flight,clip_type,bushiness_100m,max_windspeed,mean_windspeed
074-03,second,0.1292342239343007,4.59,4.1353846153846145
075-01,second,0.1596851189323321,6.72,5.956086956521739
075-02,second,0.1749045854155468,4.13,2.9145833333333333
077-01,second,0.2429767970130657,5.62,4.546190476190476
078-01,second,0.1326463182964724,8.09,7.42
078-02,second,0.4231321670514859,7.91,6.571333333333333
079-01,second,0.0997700310402884,8.89,7.469999999999999
080-01,second,0.0983999577056273,3.84,3.4713636363636367
080-02,second,0.1434931350575266,3.11,2.7199999999999998
080-03,second,0.1686280644269454,4.27,3.1012500000000003
081-01,second,0.0328554785040591,5.5,5.069473684210526
081-02,second,0.0259296477562516,7.37,6.71909090909091
081-03,second,0.3406872688542524,5.12,4.495
082-01,second,0.0039821949238704,4.67,3.8454545454545452
082-02,second,0.0036397888636328,6.39,5.8878260869565215
082-03,second,0.0045643829481651,5.34,4.400416666666667
083-01,second,0.0095508652739118,7.18,6.328749999999999
083-02,second,0.004154490557601,4.33,3.528181818181818
083-03,second,0.0171274544846498,3.32,1.942173913043478
084-01,second,0.1645907569991109,3.58,2.5654166666666667
084-02,second,0.1754541983927428,3.86,2.712272727272728
084-03,second,0.1358373700646798,4.11,3.7049999999999996
085-01,second,0.1047666456483512,9.91,7.909999999999999
085-02,second,0.1093342338723747,7.13,6.199166666666667
085-03,second,0.1109302367134203,4.92,4.004583333333334
087-01,second,0.2019981245977831,4.2,3.8816666666666664
087-02,second,0.2117858532537562,5.07,4.710833333333333
087-04,second,0.1931958684022491,2.86,1.7695
087-05,second,0.1562952054473738,3.82,3.3457894736842104
088-01,second,0.0582461623307959,3.57,2.612608695652174
088-02,second,0.1161349208839381,6.29,5.348636363636363
088-03,second,0.1143633748025612,5.67,4.9670000000000005
089-01,second,0.1712569877200916,7.76,6.335
089-02,second,0.1222172462820359,7.53,7.169166666666666
090-01,second,0.1183525292684018,5.89,4.604117647058823
090-02,second,0.2411374375211236,7.26,6.427894736842106
090-03,second,0.1565082695310766,5.67,4.868181818181818
091-01,second,,2.91,2.25375
092-01,second,,5.42,4.606923076923076
093-01,second,,4.87,3.882857142857143
093-02,second,,3.05,1.5339130434782606
093-03,second,,2.31,1.656111111111111
094-01,second,,3.44,2.8958333333333335
094-02,second,,2.69,2.3858823529411763
094-03,second,,2.48,1.9980952380952377
094-04,second,,3.21,2.51625
095-01,second,,3.49,3.218571428571429
095-02,second,,3.54,2.7039999999999997
096-01,second,,4.36,3.6592857142857143
096-02,second,,5.38,4.59375
097-01,second,,4.53,3.578888888888889
098-01,second,,3.36,3.0774999999999997
099-01,second,,4.02,3.656
100-01,second,,4.56,3.2807142857142857
101-01,second,0.0575473381205791,5.45,4.9852380952380955
101-02,second,0.1734986596485137,5.66,4.843181818181819
101-03,second,0.2228234654591398,4.91,4.61923076923077
102-01,second,0.2755362953889024,4.7,3.4226666666666667
102-02,second,0.1211723876049357,4.52,3.7299999999999995
103-01,second,0.1369383583093384,3.19,2.804782608695652
103-02,second,0.1318459857905821,4.41,3.4324999999999997
103-03,second,0.138192455619053,2.81,2.35375
104-01,second,0.0107166340141589,2.84,2.359583333333333
104-02,second,0.0109339060755622,5.06,4.00125
104-03,second,0.0105620087176722,4.91,4.130833333333333
105-01,second,0.1453960199174742,2.67,2.2252380952380952
105-02,second,0.0683728105724785,0.93,0.7284210526315791
106-01,second,0.1537841994789185,2.31,2.1749999999999994
106-02,second,0.1529097819519806,3.17,2.7595238095238095
106-03,second,0.1735780624441806,4.75,4.3881250000000005
107-01,second,0.0706078678120041,5.88,5.196190476190475
107-02,second,0.0732937231917858,4.52,4.16
107-03,second,0.0821952248870244,2.5,1.2645454545454546
108-01,second,0.0840217180837362,1.11,0.52625
109-01,second,0.0090163788040064,6.84,6.034166666666667
109-02,second,0.172022481701964,5.57,4.597368421052631
110-01,second,0.0235902450168343,4.07,2.7134782608695653
110-02,second,0.0203056327587924,4.48,3.865
110-03,second,0.020348890433154,3.87,3.1321739130434785
110-04,second,0.0204782562755446,4.81,4.081304347826087
111-01,second,0.1147082493604865,4.22,3.1437499999999994
111-02,second,0.1282801748032878,6.77,5.631363636363636
111-03,second,0.1502065604255698,5.84,5.505
112-01,second,0.0285732513024724,7.43,4.879166666666666
112-02,second,0.0960543188633216,6.61,5.5125
113-01,second,0.1418856165765359,2.26,1.4583333333333333
113-02,second,0.0713481762392135,2.75,2.6254166666666667
114-01,second,0.1122809590198688,1.76,1.365
114-02,second,0.1225061388745882,3.25,1.5283333333333333
114-03,second,0.1293708783785991,3.92,3.483157894736842
115-01,second,0.0117759520525583,4.1,3.5835
115-02,second,0.0136445715320216,5.08,4.303749999999999
115-03,second,0.0102494233127348,5.23,4.300952380952382
