flight,obs_ascent,launch_dist,clip1_start,clip1_end,ascent_start,ascent_end,approach_start,approach_end,proximity_start,proximity_end,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time
027-01,75.500002416,303.5662144786533,91450.0,211450.0,3400.0,53200.0,53200.0,91450.0,86800.0,211450.0,28.318757657557985,43.6211638864932,0.6375,,08:00:55,08:13:28
028-01,78.70000251840001,294.71307030351227,125350.0,245350.0,3000.0,42800.0,42800.0,125350.0,113000.0,245350.0,14.06588971134674,33.7715720408676,1.3758333333333332,,08:25:34,08:35:21
028-02,75.60000241920001,276.26891083552897,307250.0,427250.0,3500.0,36900.0,36900.0,307250.0,57000.0,427250.0,3.9320361942495134,45.7703621071944,4.505833333333333,,08:32:27,00:00:00
029-01,75.90000242880001,271.9182849995392,99650.0,219650.0,4800.0,32200.0,32200.0,99650.0,69900.0,219650.0,15.910451692767788,36.007170190039204,1.1241666666666668,,12:33:15,12:52:55
029-02,75.8000024256,244.7816112846858,191833.33333333334,311833.3333333334,3700.0,45000.0,45000.0,191833.33333333334,64900.0,311833.3333333334,1.4175936107420883,48.502759845070806,2.4472222222222224,92733.33333333334,12:48:54,00:00:00
030-01,75.60000241920001,240.73322130864761,147600.0,267600.0,11500.0,45900.0,45900.0,147600.0,75900.0,267600.0,18.409971293230168,41.0975659757536,1.695,,06:12:26,06:34:29
030-02,75.8000024256,223.57035775099268,145200.0,265200.0,3700.0,73400.0,73400.0,145200.0,88200.0,265200.0,11.505744760228154,49.4495590612256,1.1966666666666668,50300.0,06:30:50,06:51:27
031-032-01,74.9000023968,215.7894530445886,232366.66666666666,352366.6666666666,9600.0,45700.0,45700.0,232366.66666666666,127700.0,352366.6666666666,11.96325752618572,29.9627751941308,3.111111111111111,,07:15:53,07:37:13
031-032-02,86.000002752,208.77917175379238,106850.0,226850.0,5600.0,34400.0,34400.0,106850.0,48500.0,226850.0,12.060799741433406,48.6251597437372,1.2075,55150.0,07:34:08,07:55:36
031-032-03,84.10000269119999,195.25044800931605,76633.33333333333,196633.3333333333,4400.0,29800.0,29800.0,76633.33333333333,58500.0,196633.3333333333,16.266083476710513,27.4751772535872,0.7805555555555554,,07:45:39,07:56:46
033-01,85.1000027232,340.1478196525287,165450.0,285450.0,12800.0,67100.0,67100.0,165450.0,158300.0,285450.0,17.93683097071808,46.4003615856244,1.6391666666666667,,08:25:18,08:41:46
033-02,85.30000272960001,463.2983388386289,159050.0,279050.0,5800.0,31500.0,31500.0,159050.0,65000.0,279050.0,15.604254102677311,48.9707594576188,2.1258333333333335,54050.0,08:37:58,08:53:42
034-01,74.20000237440001,463.4766789948191,203300.0,323300.0,30100.0,58400.0,58400.0,203300.0,186000.0,323300.0,14.37530516447179,46.7531612935452,2.415,,12:32:24,12:55:06
