flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
033-01,initial,13000.0,161000.0,877000.0,1002000.0,,,,12800.0,161000.0,876100.0,1000900.0,rc_throttle_364,550.0,550.0,450.0,gimbal
033-02,replacement,3000.0,8000.0,812000.0,947000.0,,,,5800.0,11300.0,814600.0,950400.0,ascent_m_0,-3050.0,450.0,325.0,home
034-01,initial,,,1134000.0,1231000.0,,,first gimbal down is before camera was turned on,30100.0,39600.0,1295500.0,1392100.0,rc_throttle_364,-161300.0,200.0,200.0,home
035-01,initial,4000.0,125000.0,1131000.0,1262000.0,,,,17400.0,138700.0,1144400.0,1275900.0,rc_throttle_1024,-13500.0,400.0,200.0,land
036-01,initial,3000.0,8000.0,1056000.0,1221000.0,,,,7700.0,12200.0,1059400.0,1225400.0,rc_throttle_364,-4300.0,900.0,375.0,home
037-01,initial,,210000.0,,,,,,5500.0,234300.0,1082300.0,1205600.0,rc_throttle_1024,-24300.0,0.0,0.0,gimbal
037-02,replacement,2000.0,71000.0,1069000.0,,,,,5800.0,75000.0,1071800.0,1244000.0,rc_throttle_364,-3800.0,1000.0,400.0,home
038-01,initial,7000.0,13000.0,1334000.0,1425000.0,,,,5500.0,11100.0,,1422200.0,rc_throttle_364,1900.0,900.0,433.3333333333333,land
038-02,replacement,,,803000.0,936000.0,,,video started when drone was already over group - check how long drone was in place before video started,5000.0,82100.0,946800.0,1080200.0,ascent_m_0,-144000.0,200.0,200.0,home
039-01,initial,3000.0,108000.0,849000.0,992000.0,,,,5900.0,110400.0,850900.0,993800.0,rc_throttle_364,-2150.0,750.0,400.0,launch
039-02,replacement,12000.0,233000.0,1049000.0,1171000.0,,,,5900.0,226700.0,1041700.0,1165400.0,ascent_m_0,6200.0,1100.0,475.0,home
039-03,replacement,4000.0,189000.0,81000.0,862000.0,,,accidentally engaged GoHome during search for animals,7000.0,191500.0,80700.0,863900.0,rc_throttle_1024,-2200.0,2500.0,975.0,home
040-01,initial,5000.0,88000.0,1033000.0,1131000.0,,,,7800.0,90200.0,,1133800.0,rc_throttle_364,-2800.0,600.0,200.0,gimbal
041-01,initial,5000.0,104000.0,1068000.0,1177000.0,,,,7600.0,106100.0,1069500.0,1179300.0,rc_throttle_1024,-2200.0,700.0,325.0,home
041-02,replacement,5000.0,25000.0,1106000.0,1220000.0,,,didn't lower down,3300.0,24600.0,1104200.0,1219400.0,ascent_m_0,1150.0,750.0,625.0,gimbal
041-03,replacement,2000.0,124000.0,1140000.0,1242000.0,,,,3800.0,126200.0,1141500.0,1244700.0,rc_throttle_364,-2000.0,700.0,400.0,land
041-04,replacement,,,825000.0,914000.0,,,video started when drone was already over group - check how long drone was in place before video started,3700.0,8200.0,1033100.0,1123000.0,ascent_m_0,-208550.0,450.0,450.0,home
041-05,replacement,5000.0,107000.0,779000.0,,,,,8300.0,109100.0,781000.0,874900.0,rc_throttle_364,-2100.0,1200.0,433.3333333333333,launch
042-01,initial,6000.0,59000.0,1169000.0,1267000.0,,,,5600.0,58300.0,1167400.0,1266600.0,rc_throttle_364,500.0,1100.0,375.0,home
042-02,replacement,7000.0,61000.0,1186000.0,1287000.0,,,,3800.0,58500.0,1181200.0,1283900.0,ascent_m_0,3150.0,1650.0,600.0,home
043-01,initial,2000.0,67000.0,1204000.0,1320000.0,,,,14300.0,78600.0,1214800.0,1330400.0,ascent_m_0,-11200.0,1100.0,675.0,launch
044-01,initial,18000.0,43000.0,615000.0,776000.0,,,,4100.0,29200.0,601100.0,763000.0,ascent_m_0,13866.666666666666,866.6666666666279,250.0,land
