flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
088-01,initial,13000.0,81000.0,1122000.0,,,,,8900.0,75900.0,1115400.0,1222600.0,ascent_m_0,5100.0,1500.0,833.3333333333334,home
088-02,replacement,9000.0,76000.0,1186000.0,1299000.0,,,,4700.0,71300.0,1179900.0,1293200.0,ascent_m_0,5250.0,950.0,725.0,launch
088-03,replacement,22000.0,100000.0,1143000.0,1278000.0,,,,3200.0,81700.0,1123700.0,1260500.0,ascent_m_0,18550.0,1050.0,575.0,land
089-01,initial,4000.0,104000.0,1198000.0,1306000.0,,,,7600.0,110900.0,1199000.0,1309800.0,ascent_m_0,-3700.0,3200.0,1525.0,gimbal
089-02,replacement,,75000.0,983000.0,1117000.0,,,,4100.0,83700.0,990400.0,1125300.0,ascent_m_0,-8300.0,900.0,433.3333333333333,home
090-01,initial,7000.0,81000.0,1154000.0,1257000.0,,,,5500.0,78700.0,1151200.0,1255600.0,ascent_m_0,1900.0,900.0,550.0,home
090-02,replacement,7000.0,80000.0,1021000.0,,,,,4400.0,76900.0,1016500.0,1128300.0,ascent_m_0,3100.0,1400.0,633.3333333333334,home
090-03,replacement,3000.0,82000.0,1033000.0,1167000.0,,,,5600.0,84900.0,1033800.0,1169400.0,ascent_m_0,-2500.0,1700.0,575.0,home
091-01,initial,6000.0,40000.0,1120000.0,1249000.0,,,,9400.0,43100.0,1122300.0,1252800.0,ascent_m_0,-3250.0,950.0,450.0,home
092-01,initial,8000.0,102000.0,979000.0,1077000.0,,,,5600.0,99100.0,976400.0,1075400.0,ascent_m_0,2500.0,900.0,375.0,land
093-01,initial,4000.0,127000.0,984000.0,1104000.0,,,,8700.0,132100.0,987300.0,1109100.0,rc_throttle_364,-4966.666666666667,1666.6666666666279,549.9999999999698,home
093-02,replacement,2000.0,90000.0,1017000.0,1119000.0,,,,4900.0,92500.0,1018400.0,1121600.0,rc_throttle_1024,-2550.0,1150.0,400.0,home
093-03,replacement,17000.0,73000.0,1075000.0,1175000.0,,,,4500.0,60400.0,1061700.0,1163100.0,rc_throttle_364,12550.0,750.0,375.0,home
094-01,initial,14000.0,121000.0,1046000.0,1185000.0,,,,11300.0,117400.0,1042800.0,1183100.0,ascent_m_0,2950.0,1050.0,550.0,land
094-02,replacement,9000.0,143000.0,1181000.0,1318000.0,,,,6100.0,139700.0,1176000.0,1313500.0,ascent_m_0,3900.0,1100.0,825.0,home
094-03,replacement,7000.0,77000.0,1029000.0,1171000.0,,,,3300.0,73700.0,1024600.0,1167100.0,ascent_m_0,3800.0,600.0,325.0,home
094-04,replacement,3000.0,86000.0,984000.0,1131000.0,,,,50500.0,132900.0,1029800.0,1178600.0,ascent_m_0,-47200.0,1400.0,600.0,home
095-01,initial,16000.0,107000.0,946000.0,1061000.0,,,,8200.0,98200.0,937000.0,1052800.0,ascent_m_0,8500.0,700.0,450.0,launch
095-02,replacement,28000.0,110000.0,925000.0,1020000.0,,,,3400.0,85700.0,900000.0,995900.0,ascent_m_0,24450.0,550.0,300.0,home
096-01,initial,12000.0,115000.0,883000.0,1037000.0,,,,4000.0,107100.0,875600.0,1029600.0,ascent_m_0,7566.666666666667,433.3333333333321,274.9999999999791,launch
096-02,replacement,27000.0,127000.0,1095000.0,1246000.0,,,,3100.0,102700.0,1069600.0,1222400.0,ascent_m_0,24100.0,1300.0,550.0,home
097-01,initial,21000.0,66000.0,914000.0,1116000.0,,,,4500.0,49600.0,896800.0,1100000.0,ascent_m_0,16450.0,750.0,325.0,home
098-01,initial,,34000.0,969000.0,1202000.0,,,,4000.0,110600.0,1041600.0,1280200.0,ascent_m_0,-76600.0,4000.0,1866.6666666666667,home
099-01,initial,19000.0,198000.0,1022000.0,1189000.0,,,,3800.0,182000.0,1004900.0,1173100.0,rc_throttle_364,15950.0,1150.0,500.0,home
100-01,initial,16000.0,110000.0,998000.0,1193000.0,,,,14900.0,109300.0,996000.0,1192100.0,ascent_m_0,1000.0,1000.0,375.0,home
101-01,initial,3000.0,35000.0,1263000.0,1371000.0,,,,6000.0,37700.0,1264200.0,1372900.0,ascent_m_0,-2300.0,1100.0,650.0,home
101-02,replacement,,61000.0,1076000.0,1188000.0,,,,3700.0,100200.0,1114000.0,1226600.0,rc_throttle_1024,-38600.0,600.0,400.0,gimbal
101-03,replacement,6000.0,285000.0,1113000.0,1244000.0,,,,3800.0,283100.0,1108400.0,1241900.0,ascent_m_0,2150.0,2450.0,700.0,home
102-01,initial,42000.0,110000.0,1210000.0,,,,,7500.0,76200.0,1174300.0,1289200.0,ascent_m_0,34500.0,1200.0,633.3333333333334,home
102-02,replacement,3000.0,127000.0,1165000.0,1252000.0,,,,6800.0,131100.0,1168500.0,1256900.0,ascent_m_0,-3950.0,950.0,425.0,land
103-01,initial,7000.0,79000.0,1038000.0,1134000.0,,,,4900.0,76700.0,1034500.0,1131800.0,ascent_m_0,2250.0,1250.0,375.0,home
103-02,replacement,7000.0,68000.0,1069000.0,1170000.0,,,,4500.0,65400.0,1065000.0,1167200.0,ascent_m_0,2700.0,1300.0,425.0,home
103-03,replacement,3000.0,77000.0,1139000.0,1255000.0,,,,6700.0,79600.0,1140000.0,1258000.0,ascent_m_0,-2800.0,1800.0,775.0,home
104-01,initial,6000.0,95000.0,1012000.0,,,,,3700.0,93300.0,1008300.0,1141500.0,rc_throttle_1024,2300.0,1400.0,666.6666666666666,home
104-02,replacement,,,911000.0,1049000.0,,,video started when drone was already over group - check how long drone was in place before video started,5100.0,103200.0,1019300.0,1159100.0,ascent_m_0,-109200.0,900.0,900.0,home
104-03,replacement,,109000.0,1076000.0,,,,,3800.0,153900.0,1118700.0,1287400.0,rc_throttle_1024,-43800.0,1100.0,1100.0,gimbal
105-01,initial,7000.0,111000.0,1116000.0,1236000.0,,,,4300.0,109000.0,1111400.0,1232800.0,ascent_m_0,2950.0,1650.0,775.0,home
105-02,replacement,12000.0,28000.0,1145000.0,1262000.0,,,,6900.0,22800.0,1137700.0,1255100.0,ascent_m_0,6050.0,1250.0,975.0,home
106-01,initial,110000.0,172000.0,1087000.0,1183000.0,,,,2800.0,65700.0,977600.0,1075000.0,ascent_m_0,107600.0,1800.0,975.0,home
106-02,replacement,5000.0,62000.0,1121000.0,,,,,3400.0,60100.0,1117600.0,1216500.0,ascent_m_0,1900.0,1500.0,600.0,home
106-03,replacement,6000.0,78000.0,806000.0,901000.0,,,,4000.0,76200.0,802000.0,899400.0,ascent_m_0,1900.0,2100.0,650.0,home
107-01,initial,10000.0,203000.0,1042000.0,1135000.0,,,,12400.0,205700.0,1042700.0,1137600.0,ascent_m_0,-2500.0,1800.0,550.0,home
107-02,replacement,6000.0,60000.0,1040000.0,1137000.0,,,,3300.0,57400.0,1036200.0,1135000.0,ascent_m_0,2650.0,1150.0,475.0,home
107-03,replacement,7000.0,71000.0,1139000.0,1241000.0,,,,3900.0,67600.0,1134000.0,1237500.0,ascent_m_0,3450.0,1550.0,500.0,home
108-01,initial,2000.0,163000.0,1039000.0,,,,,4100.0,165100.0,1039500.0,1203000.0,rc_throttle_1024,-2100.0,1600.0,533.3333333333334,home
109-01,initial,2000.0,141000.0,1148000.0,1290000.0,,,,5100.0,144600.0,1150600.0,1294700.0,ascent_m_0,-3350.0,1350.0,650.0,land
109-02,replacement,6000.0,,1142000.0,1292000.0,,,,4200.0,154400.0,1139200.0,1290600.0,rc_throttle_1024,1800.0,1000.0,466.6666666666667,home
110-01,initial,3000.0,142000.0,1049000.0,1220000.0,,,,6600.0,145100.0,1050300.0,1223200.0,ascent_m_0,-3150.0,1850.0,600.0,home
110-02,replacement,16000.0,138000.0,948000.0,1134000.0,,,,3000.0,124500.0,933000.0,1119300.0,ascent_m_0,14100.0,1100.0,800.0,launch
110-03,replacement,12000.0,152000.0,907000.0,1099000.0,,,,15100.0,154500.0,908200.0,1101200.0,ascent_m_0,-2350.0,1150.0,550.0,home
110-04,replacement,29000.0,147000.0,1144000.0,1282000.0,,,,3600.0,122600.0,1118500.0,1256500.0,ascent_m_0,25466.666666666668,1066.666666666657,299.9999999999591,gimbal
111-01,initial,15000.0,80000.0,1122000.0,1225000.0,,,,9100.0,74500.0,1114800.0,1219900.0,ascent_m_0,5700.0,1500.0,625.0,home
111-02,replacement,51000.0,124000.0,1166000.0,1269000.0,,,,4700.0,78400.0,1119200.0,1223300.0,rc_throttle_1024,46000.0,800.0,450.0,home
111-03,replacement,9000.0,88000.0,924000.0,,,,,4800.0,83900.0,917300.0,1020000.0,ascent_m_0,4200.0,2500.0,866.6666666666666,home
112-01,initial,,130000.0,951000.0,1072000.0,,,,4700.0,171000.0,988800.0,1111600.0,ascent_m_0,-39600.0,1800.0,1066.6666666666667,home
112-02,replacement,48000.0,123000.0,1153000.0,1281000.0,,,,4600.0,78600.0,1107400.0,1236700.0,ascent_m_0,44350.0,1250.0,575.0,home
113-01,initial,6000.0,54000.0,1003000.0,1118000.0,,,,4300.0,52000.0,997500.0,1117000.0,ascent_m_0,1850.0,3650.0,1200.0,home
113-02,replacement,12000.0,71000.0,999000.0,,,,,20800.0,79300.0,1006700.0,1089200.0,rc_throttle_1024,-8300.0,600.0,366.6666666666667,home
114-01,initial,25000.0,32000.0,1067000.0,1175000.0,,,,5000.0,12100.0,1045800.0,1154700.0,rc_throttle_1024,20150.0,1050.0,400.0,home
114-02,replacement,8000.0,92000.0,1045000.0,1154000.0,,,,5000.0,88700.0,1039900.0,1149800.0,ascent_m_0,3750.0,1350.0,750.0,home
114-03,replacement,6000.0,92000.0,1063000.0,1196000.0,,,,4200.0,89700.0,1059200.0,1194900.0,ascent_m_0,2050.0,1750.0,800.0,home
115-01,initial,38000.0,219000.0,1009000.0,,,,,4600.0,185000.0,974400.0,1170500.0,rc_throttle_1024,34000.0,600.0,400.0,launch
115-02,replacement,13000.0,139000.0,1071000.0,1283000.0,,,,3400.0,129300.0,1059400.0,1273800.0,ascent_m_0,9650.0,1950.0,625.0,home
115-03,replacement,24000.0,179000.0,1008000.0,,,,,3800.0,160000.0,987400.0,1222300.0,ascent_m_0,20200.0,1200.0,533.3333333333334,gimbal
