flight,clip_type,bushiness_100m
018-01,second,0.05803439474145287
019-01,second,0.016857963575014064
021-01,second,0.21243540622700857
022-01,second,
023-01,second,
024-01,second,
025-01,second,0.00702146345152899
025-02,second,0.021968685030158985
025-03,second,0.016513616440070995
026-01,second,0.07017989478739048
026-02,second,0.07900289534699159
027-01,second,0.12507047346124398
029-01,second,0.018593202053885052
029-02,second,0.014226458023317224
030-01,second,0.2361081503897352
030-02,second,0.2401168195896254
031-032-01,second,0.12965994863169025
031-032-02,second,0.12942353516570634
031-032-03,second,0.13947795546871644
033-01,second,0.020736821983710043
033-02,second,0.019955599729724324
034-01,second,0.03368110237363456
035-01,second,0.017251530944332752
036-01,second,0.0
037-01,second,0.018885784792313412
037-02,second,0.0170259416981373
038-01,second,0.11046158444243084
038-02,second,0.17332117017082516
039-01,second,0.04883883984434437
039-02,second,0.05029875212313868
039-03,second,0.04433838918047652
040-01,second,
041-01,second,0.20584660463592638
041-02,second,0.2305383010105159
041-03,second,0.2327003985719185
041-04,second,0.16571330664157125
041-05,second,0.19003380919549878
042-01,second,0.12625113779622565
042-02,second,0.14571522863611544
043-01,second,0.20415043091598195
045-01,second,0.010646013812246663
045-02,second,0.014737528677366985
045-03,second,0.012450777226858594
046-01,second,0.00929062894593393
047-01,second,0.011697915694064651
047-02,second,0.01175127613402446
048-01,second,0.15450544278769707
049-01,second,0.0867707609385439
049-02,second,0.08382842697344106
050-01,second,0.05111463614860381
050-02,second,0.053018061988303306
050-03,second,0.016638826699720135
051-01,second,0.23156312965640533
051-02,second,0.17281940895189848
052-01,second,0.10291716399225449
052-02,second,0.09941408750089858
053-01,second,0.20398989572373508
053-02,second,0.24562519190201232
054-03,second,0.0016741213619036186
055-01,second,0.14304443770463232
055-02,second,0.16973004444127002
056-01,second,0.05811283916962327
056-02,second,0.07096043322718405
057-01,second,0.14026347952265045
058-01,second,0.12812251309483258
058-02,second,0.12579100263870868
059-01,second,0.0698533988769625
059-02,second,
061-01,second,0.27086336253429316
061-02,second,0.25520657723711615
061-03,second,0.18584031369574963
062-01,second,0.14106193003437653
062-02,second,0.16115897195187243
063-01,second,0.04889472240664186
063-02,second,0.04931476323051678
063-03,second,0.04462657861053547
064-01,second,0.08859173326122045
064-02,second,0.08817437409753154
064-03,second,0.055333020992088165
065-01,second,0.07710082656498417
065-02,second,0.07749488299690549
065-03,second,0.08092390566595538
066-01,second,0.043772800296027786
066-02,second,0.023989841265480386
066-03,second,0.036054022604844874
068-01,second,0.08359882531910263
068-02,second,0.0735578496427434
068-03,second,0.09704519366403096
070-01,second,0.0038682193845847625
070-02,second,0.004077162154368275
070-03,second,0.005371976175994007
