flight,clip_type,clip_start_vid,clip_start_log,launch_lat,launch_lon,clip_start_lat,clip_start_lon,launch-group_bear,clip_start_ascent_adj
001-01,first,254000.0,238100.0,0.0712982061176619,36.9597190631806,0.0705927133516139,36.9624158578108,104.566331017698,81.8000028096
002-01,first,204000.0,185700.0,0.069260889953172,36.9624021011956,0.0668958715673137,36.9652088118152,129.92898158867533,86.3000028256
003-01,first,107000.0,96850.0,0.0692644492478215,36.9623954143999,0.0706154315623839,36.9637678177134,45.643021848390944,84.500002768
004-01,first,0.0,624300.0,0.0607091997939794,36.9426066537212,0.0586390537120272,36.9415064844588,208.1479671445602,76.9000023968
005-01,first,164000.0,146600.0,0.0621055331178673,36.9336233087656,0.0644066047128801,36.9299520014051,301.90541427375763,81.9000025888
006-01,first,145000.0,136900.0,0.0621205161852688,36.9336338018285,0.0642864566371071,36.9306332997083,305.64156063794803,90.7000027744
007-01,first,151000.0,146450.0,0.0637860710939868,36.9221976833989,0.0613062177951788,36.9226583641283,169.4068468227044,93.3000027616
008-01,first,117000.0,104566.66666666669,0.0656895062273718,36.9677207659382,0.0650334963893834,36.9654241451312,254.1598065415185,89.4000027328
009-01,first,126000.0,118150.0,0.0670574093100021,36.965817292227,0.069547777984658,36.9644555469302,331.1676791945194,89.50000283199999
010-01,first,209000.0,216250.0,0.0697281862901696,36.9622651754465,0.0686216121907403,36.9583145405266,254.45208306231652,104.0000032
011-01,first,155000.0,150800.0,0.0603317509717302,36.9454250860028,0.0594517319207483,36.9434346090934,246.2910700492148,100.8000031616
012-01,first,160000.0,163200.0,0.0606052534420595,36.9419011656779,0.0631607714723344,36.9398447403939,320.98828154263464,105.1000032032
013-01,first,102000.0,179450.0,0.355592288340235,36.9193426007016,0.354851324318106,36.9181431830436,238.4648033012705,82.4000027328
014-01,first,208000.0,205950.0,0.369206399489052,36.9087390386624,0.36921005190706,36.9108277154553,89.9004702702036,82.9000027488
015-01,first,165000.0,169600.0,0.359840963403469,36.8940277429413,0.362802632996108,36.893758955954,354.7796638918308,103.20000285440001
016-01,first,124000.0,122366.66666666669,0.303913810220721,36.8942110784731,0.303211542560733,36.8960245390359,111.04002464453728,103.500002736
017-01,first,513000.0,517000.0,0.368327474062397,36.910457119392,0.369821230657503,36.9085996023632,308.61793023525263,80.4000023808
018-01,first,0.0,77400.0,0.359801264423224,36.8939980972101,0.361001374375215,36.8926806194585,312.1398988154954,81.8000024256
019-01,first,348000.0,354250.0,0.357672391222395,36.8938414477832,0.356149319762146,36.8926112885758,219.11492877481757,89.60000277120001
021-01,first,203000.0,180000.0,0.312134026836451,36.8829007450628,0.3082072561337,36.883870210741,166.04216429681466,84.8000024256
022-01,first,0.0,122800.0,0.274939067292446,36.8768544091374,0.270297462489765,36.878319074268,162.37627295965294,79.000002432
023-01,first,146000.0,142850.0,0.320252404731363,36.8777205112554,0.319962855922838,36.8802313082747,96.53481379972207,79.90000242880001
024-01,first,123000.0,121500.0,0.336762723091234,36.8716583417738,0.337071523818619,36.876172095463,86.11234361303502,86.6000023872
025-01,first,204000.0,201400.0,0.352654472646933,36.8960321455987,0.355145419990792,36.8988470913195,48.68472083571775,82.4000027328
025-02,first,222000.0,216800.0,0.352651647486192,36.8960394067151,0.355672265968644,36.8991907206926,46.40476133093672,81.9000027488
025-03,first,260000.0,263400.0,0.352660252263499,36.8960305602456,0.355226076919793,36.9007845443158,61.80341676448106,97.9000031648
026-01,first,100000.0,98400.0,0.363429696039038,36.8965340851936,0.363244101581364,36.8948243076735,263.8458970107332,66.50000238400001
026-02,first,149000.0,167600.0,0.363433179524146,36.8965435733696,0.363419546578624,36.895187882174,269.4276975624078,70.7000024224
027-01,first,95000.0,91450.0,0.355542370226524,36.919351179213,0.357117394118794,36.9215773689226,54.9013986817299,96.500002416
028-01,first,128000.0,125350.0,0.339217159749596,36.9100307862528,0.336844940193092,36.9112062127694,153.48873181186335,93.70000251840001
028-02,first,0.0,307250.0,0.339217479936752,36.9100327919596,0.337042761503803,36.9112285391212,151.03389546746487,90.60000241920001
029-01,first,0.0,99650.0,0.307705973765198,36.8794494429223,0.305264657419741,36.8795311585531,178.0700312691803,62.90000242880001
029-02,first,195000.0,191833.3333333333,0.307689133601423,36.8794440274911,0.305601633147472,36.8801350871693,161.5681744624858,66.8000024256
030-01,first,144000.0,147600.0,0.357805157653912,36.9199599812618,0.355686311068647,36.9195274422275,191.61320381466,71.60000241920001
030-02,first,112000.0,145200.0,0.35780695297152,36.9199432770601,0.355821162585579,36.9196429825052,188.65612279822253,71.8000024256
031-032-01,first,230000.0,232366.66666666663,0.371605891655904,36.9034651832341,0.370112247381298,36.9022295638415,219.78784175612137,69.9000023968
031-032-02,first,104000.0,106850.0,0.371603291558083,36.9034628771114,0.370079266822125,36.9023697710132,215.8318545675993,83.000002752
031-032-03,first,82000.0,76633.33333333333,0.371597056964936,36.9034619921775,0.370143745304245,36.9024799954887,214.224922401064,81.10000269119999
033-01,first,166000.0,165450.0,0.357326423906813,36.8942184534273,0.357520667842334,36.8911689745154,273.6204163567147,84.1000027232
033-02,first,156000.0,159050.0,0.35733249925989,36.8942248289672,0.35789978056853,36.8901017115103,277.782252452216,84.30000272960001
034-01,first,42000.0,203300.0,0.304515203462471,36.8773565768836,0.307943433271653,36.8797191985016,34.752954568481364,97.20000237440001
035-01,first,138000.0,151500.0,0.30515069592415,36.8794113456835,0.306327592861097,36.8825655261398,69.66375374190434,85.4000024128
036-01,first,140000.0,144300.0,0.318045825061427,36.886931090957,0.321595794857293,36.8869834038506,0.8499336743829466,80.9000026848
037-01,first,318000.0,342300.0,0.353320494506787,36.8836847200068,0.349509092675732,36.8849626011942,161.3488267573281,86.7000027424
037-02,first,230000.0,233800.0,0.353317824313549,36.8836872395477,0.34922727254559,36.8851382535053,160.34798648653708,87.1000027232
038-01,first,144000.0,142100.0,0.363354187900079,36.8967325138208,0.364685985734735,36.8985919988358,54.570480510637566,76.6000016192
038-02,first,36000.0,180000.0,0.363357396147076,36.896733698788,0.364764384546541,36.8986385578683,53.73243899806639,76.70000162240001
039-01,first,173000.0,175150.0,0.305150042247361,36.8794036814399,0.306119150541738,36.8843553000935,78.99845448751766,85.9000023968
039-02,first,240000.0,233800.0,0.305146082486313,36.8793887081209,0.306323828327249,36.8842375892994,76.43559521518836,75.60000209920001
039-03,first,236000.0,238200.0,0.305147049414804,36.8793943551694,0.306468272818804,36.8842030489427,74.73449261864592,79.60000209920001
040-01,first,101000.0,103800.0,0.280717696494981,36.8897855523821,0.281707466067938,36.8914045838424,58.731809507536894,81.4000024128
041-01,first,126000.0,128200.0,0.350064526826365,36.9146468035793,0.352842758516433,36.914532139953,357.6207565767515,69.500002736
041-02,first,124000.0,122850.0,0.350051754877908,36.9146518041834,0.352996354890961,36.9144759043839,356.55850065525897,87.8000033856
041-03,first,179000.0,181000.0,0.350068992138548,36.9146584768637,0.352887541315916,36.9146739549477,0.3167514063900404,89.500003376
041-04,first,0.0,208550.0,0.350066444601887,36.9146630558945,0.351169121478406,36.9143927663058,346.1381434753558,98.8000033856
041-05,first,131000.0,133100.0,0.350065633342538,36.9146539837755,0.350889640419554,36.913923459872,318.2508193066394,107.500003696
042-01,first,83000.0,82500.0,0.339520694999349,36.910290375771,0.338548357449701,36.9089064664991,235.0883926507492,68.60000241920001
042-02,first,122000.0,118850.0,0.339523240324939,36.9102672422793,0.337931689334597,36.9083979860499,229.77711479595712,71.2000024064
043-01,first,108000.0,119200.0,0.356699834640989,36.9196071703674,0.354277401714207,36.9189172400925,195.99880109993865,85.500002704
044-01,first,222000.0,208133.3333333333,0.35665334651076,36.8955209043055,0.354796603919931,36.8985150245629,121.6326548500438,82.500002736
045-01,first,190000.0,189150.0,0.35367372898883,36.883673288497,0.34866782745738,36.882627284565,191.879448288338,82.4000027328
045-02,first,178000.0,175950.0,0.353682474925863,36.8836809479113,0.348162830138103,36.8832143369491,184.86441026840305,93.4000028928
045-03,first,129000.0,125900.0,0.353671171190561,36.8836862902759,0.348809994700452,36.8835166689332,182.01183404729315,101.3000032736
046-01,first,127000.0,125600.0,0.349649234319393,36.8976974940326,0.352455889662611,36.8989404722827,24.02942990234008,76.1000027232
047-01,first,107000.0,104900.0,0.356698197484656,36.8968498357407,0.354917181250297,36.8988911098572,130.9147578827948,98.6000031872
047-02,first,175000.0,173300.0,0.356690786535264,36.8968518663759,0.353541739199543,36.9005929363529,129.90005396739917,100.40000321280002
048-01,first,150000.0,147200.0,0.369308369874019,36.9024630153067,0.371790353813482,36.9037408945562,27.398648866673668,81.8000024256
049-01,first,136000.0,134300.0,0.307980748270123,36.8793957133504,0.313177382157303,36.8786165507514,351.4163319425712,80.7000030304
049-02,first,294000.0,288750.0,0.307984495662606,36.879387218603,0.313354772289454,36.8786717126176,352.3604918561345,80.6000030592
050-01,first,119000.0,116750.0,0.307985358990954,36.8793943399502,0.313132594375532,36.8814391550739,21.79825015356729,77.7000027424
050-02,first,272000.0,270650.0,0.307992690791099,36.8793975366782,0.313014297282859,36.8815186192281,23.036725269013456,68.4000024128
050-03,first,192000.0,190000.0,0.307990550017446,36.8793972714031,0.313460350402221,36.8827189828679,31.440175611241436,70.4000024128
051-01,first,246000.0,242650.0,0.328584987794418,36.9070597349705,0.324369558864305,36.9060824529819,193.13727474926895,55.700002422400004
051-02,first,208000.0,205800.0,0.328597770489691,36.9070623549475,0.322765331695525,36.9046033156986,202.99874194126213,53.10000272320001
052-01,first,81000.0,79250.0,0.345830284622497,36.9133784188207,0.343432105018797,36.9115787291431,217.07045574049425,78.500002416
052-02,first,22000.0,146850.0,0.345826891374689,36.9133927225511,0.343447090499044,36.9115234310121,218.3355989661825,78.3000024096
053-01,first,79000.0,76800.0,0.356510412930327,36.9195166567428,0.354606948815424,36.9193182563128,185.99022071008352,95.8000030976
053-02,first,120000.0,119050.0,0.356510615836732,36.919533111814,0.354408361158659,36.9192669486158,187.2637111070374,94.90000306880002
054-03,first,196000.0,194900.0,0.354651255378706,36.8975872578746,0.351664484484156,36.8980942645111,170.30231557244568,106.7000033824
055-01,first,97000.0,95100.0,0.297835847656255,36.8800340600574,0.296682564508362,36.8814029842268,129.92412819946887,82.3000024096
055-02,first,164000.0,162200.0,0.297830024171167,36.8800306331347,0.296495697673201,36.8816134874052,129.94131072877255,93.1000027232
056-01,first,113000.0,109666.66666666669,0.308055157789741,36.87938533959,0.312545567049873,36.8806312158507,15.60602621806093,80.000002752
056-02,first,163000.0,159966.66666666666,0.308060944727566,36.8793883165238,0.312685697935573,36.8809290291146,18.540679467455742,89.40000305280002
057-01,first,123000.0,122050.0,0.337535482694552,36.9089563919775,0.335024425448252,36.9070586463464,217.2651805354124,68.60000209920001
058-01,first,94000.0,91250.0,0.369658540078203,36.9022765343548,0.370790557778675,36.903919586331,55.61324034472286,86.8000024256
058-02,first,113000.0,109300.0,0.369655087204526,36.9022756243038,0.371263745494409,36.9031421039926,28.468922412210777,82.9000023968
059-01,first,109000.0,105950.0,0.363246666130954,36.8963133520246,0.361043844893309,36.8945894822351,218.23217035659297,62.2000024064
059-02,first,123000.0,117350.0,0.363247887580296,36.8963320487131,0.361155260030062,36.8949258605989,214.0778657848053,71.4000027328
061-01,first,123000.0,120333.33333333331,0.337732070708597,36.9091319646768,0.336078542950969,36.9075162892999,224.52852151580024,87.500002576
061-02,first,6000.0,141300.0,0.337741537660507,36.9091318725579,0.335160007170344,36.9075544916914,211.5970374944212,89.4000027008
061-03,first,149000.0,144350.0,0.337736682762847,36.9091308215055,0.335157202337117,36.9077719014402,207.93971802839823,81.2000024064
062-01,first,263000.0,260500.0,0.373306088813285,36.9148113909823,0.374786639965601,36.9168255437759,53.864240289636925,80.60000241920001
062-02,first,26000.0,142300.0,0.373279819973254,36.914809951787,0.375738378076939,36.9163252414768,31.81848020296375,83.4000024128
