milliseconds,wind_direction,windspeed
10000,28,5.23
20000,63,9.0
25000,66,8.44
30000,64,7.36
35000,54,6.06
40000,45,4.8
60000,33,6.77
65000,51,5.85
70000,29,7.29
75000,42,6.73
80000,53,5.9
85000,50,5.49
90000,43,6.07
95000,42,6.76
100000,40,7.48
105000,43,7.43
115000,33,7.81
120000,40,6.87
125000,37,6.92
175000,39,6.62
180000,36,5.88
185000,37,5.88
190000,35,5.78
240000,29,5.81
245000,28,5.76
250000,28,5.84
255000,29,5.55
260000,33,5.11
265000,32,5.74
270000,30,5.58
280000,28,5.74
285000,31,5.18
290000,28,5.38
295000,29,5.26
300000,24,5.22
305000,22,5.15
310000,31,4.97
315000,28,4.85
320000,40,4.13
330000,35,5.26
335000,29,3.63
340000,40,4.97
345000,35,3.25
350000,41,5.12
355000,51,5.49
360000,50,5.39
365000,50,5.52
370000,41,4.63
375000,32,4.73
380000,28,4.71
385000,36,4.77
390000,56,4.75
395000,59,4.49
400000,67,5.46
405000,55,6.56
410000,47,6.45
415000,61,6.07
420000,50,5.47
425000,47,4.69
435000,65,4.78
440000,41,5.01
445000,37,4.34
450000,38,4.5
455000,63,4.17
460000,60,3.48
470000,88,6.21
475000,77,5.35
480000,45,6.09
490000,62,7.15
495000,77,6.71
510000,69,7.68
515000,63,7.67
520000,53,7.48
530000,63,8.01
535000,65,8.22
540000,59,7.64
545000,62,8.03
560000,60,7.76
565000,57,8.26
570000,61,7.74
575000,61,8.11
580000,52,7.64
585000,62,7.14
590000,57,7.73
595000,55,7.6
605000,67,7.73
610000,60,7.51
615000,55,7.7
620000,49,7.5
625000,57,7.56
630000,56,7.93
635000,60,7.47
640000,55,7.33
645000,56,7.33
650000,62,6.55
655000,62,6.94
660000,61,7.3
665000,60,7.11
670000,59,7.34
675000,59,6.86
680000,65,6.55
685000,53,6.69
690000,51,6.64
695000,47,6.44
710000,68,5.88
715000,56,5.86
720000,71,4.95
725000,72,5.16
730000,69,4.33
735000,61,4.76
740000,62,4.5
745000,66,5.23
750000,71,5.09
755000,78,5.02
760000,57,4.89
765000,63,5.22
770000,54,5.38
780000,64,5.34
785000,60,6.37
790000,59,6.18
795000,58,6.99
800000,56,6.52
815000,59,6.94
820000,62,7.23
825000,64,6.62
830000,61,6.48
835000,57,6.81
845000,60,6.31
850000,59,6.49
855000,52,5.86
860000,61,6.16
865000,68,7.44
875000,61,5.93
880000,62,5.81
885000,62,6.04
890000,64,5.97
895000,60,5.93
900000,59,6.33
905000,56,6.34
910000,57,6.2
915000,56,6.25
920000,62,6.17
925000,60,5.9
930000,58,5.91
935000,50,6.07
940000,54,6.16
945000,51,5.88
950000,53,6.12
955000,54,6.29
960000,54,6.9
965000,54,6.93
970000,54,6.45
975000,64,6.59
980000,57,5.48
985000,57,7.42
990000,60,6.53
995000,56,6.77
1000000,51,6.48
1005000,64,6.22
1015000,66,6.71
1020000,61,6.71
1025000,54,6.96
1030000,70,6.86
1035000,54,6.28
1040000,60,6.82
1055000,55,7.68
1060000,57,8.36
1065000,58,8.45
1070000,56,7.68
1075000,46,7.9
1080000,50,8.17
1085000,52,7.17
1090000,52,7.7
1095000,56,9.5
1115000,71,6.63
1165000,303,1.36
