milliseconds,wind_direction,windspeed
15000,56,8.96
20000,49,7.58
25000,53,8.13
35000,63,8.31
45000,40,7.25
50000,42,4.71
55000,43,5.71
85000,50,6.95
90000,47,6.0
95000,67,5.75
100000,66,5.15
105000,77,5.2
110000,81,4.67
115000,62,4.78
120000,71,4.92
125000,69,4.87
130000,59,5.71
135000,67,4.6
140000,52,5.95
145000,67,5.31
150000,56,4.93
155000,66,4.83
160000,59,5.41
165000,60,7.09
170000,58,6.79
175000,52,5.97
180000,51,6.39
185000,44,6.52
190000,30,6.43
195000,40,5.98
210000,61,7.48
215000,62,6.96
220000,38,8.5
225000,38,8.85
230000,45,7.23
235000,30,7.75
240000,32,6.92
245000,28,7.13
250000,24,6.41
255000,17,6.18
260000,22,7.82
265000,29,7.36
270000,35,7.39
275000,33,8.89
280000,28,7.41
285000,36,7.54
290000,35,8.65
295000,41,7.92
300000,38,6.92
305000,48,6.91
310000,46,5.76
315000,58,4.84
325000,52,8.24
330000,54,7.74
335000,52,8.25
340000,62,7.11
345000,59,7.87
350000,58,8.16
355000,53,8.46
360000,49,8.11
365000,46,8.63
370000,44,9.13
375000,49,9.08
380000,48,9.14
385000,45,9.42
390000,47,8.63
395000,47,9.13
400000,44,8.24
405000,46,8.5
410000,46,8.36
415000,50,9.19
420000,49,8.14
425000,57,8.34
430000,51,8.23
435000,55,7.95
440000,52,8.03
445000,50,7.83
450000,51,7.61
455000,45,7.79
460000,51,7.23
465000,44,6.84
470000,47,6.68
475000,50,7.7
480000,45,7.37
485000,47,7.02
490000,49,7.56
495000,50,7.66
500000,55,8.08
505000,55,8.6
510000,49,8.46
515000,50,7.41
520000,53,7.67
525000,53,7.3
530000,55,7.62
535000,58,7.27
540000,49,7.22
545000,49,7.01
550000,42,6.58
555000,44,7.0
560000,46,6.43
565000,45,5.72
570000,39,6.97
575000,47,7.05
580000,40,6.8
585000,46,7.27
590000,49,6.72
595000,37,6.25
600000,50,7.86
605000,54,7.36
610000,57,7.86
615000,63,7.43
620000,62,7.52
625000,65,7.25
630000,69,7.07
635000,73,7.9
640000,67,7.62
645000,65,8.07
650000,68,8.18
655000,64,8.51
660000,53,8.33
665000,38,8.55
670000,40,8.64
675000,43,8.33
680000,40,8.4
685000,42,7.88
690000,42,6.92
695000,40,6.98
700000,40,6.49
705000,37,6.53
710000,47,5.93
715000,48,6.57
720000,49,6.89
725000,44,6.32
730000,49,5.73
825000,44,7.9
830000,45,7.8
835000,45,7.82
840000,45,7.24
845000,43,7.47
850000,44,7.25
855000,42,7.19
860000,50,6.54
865000,49,6.29
870000,50,7.57
875000,48,7.07
880000,46,7.13
885000,47,7.14
890000,48,6.87
895000,48,6.97
900000,44,7.33
905000,44,7.44
910000,43,7.49
915000,45,7.54
920000,44,7.72
925000,43,7.5
930000,44,7.57
935000,44,7.57
940000,45,7.48
945000,43,7.46
950000,44,7.38
955000,43,7.84
960000,47,7.89
965000,46,7.47
970000,43,7.25
980000,40,7.48
985000,41,6.62
990000,43,7.52
995000,47,7.33
1000000,47,6.98
1005000,46,7.0
1010000,45,6.85
1015000,43,7.53
1025000,42,7.41
1030000,40,6.95
1035000,40,6.93
1040000,39,7.72
1045000,41,7.84
1050000,41,7.61
1055000,40,6.7
1060000,42,7.3
1065000,46,6.67
1070000,42,6.7
1075000,45,6.65
1080000,45,6.61
1090000,52,6.2
1095000,51,6.25
1100000,65,6.14
1105000,54,6.16
1110000,52,6.16
1115000,67,5.86
1120000,69,5.72
1125000,47,5.37
1130000,53,4.92
1145000,53,4.32
1150000,44,5.22
1155000,42,4.92
1160000,51,5.01
1165000,48,4.95
1180000,71,4.35
1190000,75,6.9
1215000,42,6.16
1220000,52,5.67
1265000,53,4.11
