milliseconds,wind_direction,windspeed
10000,121,1.1
15000,147,0.52
20000,149,1.55
40000,276,1.58
45000,270,1.75
50000,271,1.81
60000,151,2.37
65000,152,1.96
71000,152,2.17
85000,151,2.29
100000,148,1.98
105000,146,2.23
110000,147,2.11
115000,145,1.88
120000,144,1.76
125000,144,1.55
130000,145,1.46
135000,153,1.12
140000,147,1.2
145000,147,1.68
150000,149,1.6
155000,148,1.75
160000,147,1.55
165000,147,1.38
170000,156,1.04
175000,152,1.5
180000,158,1.65
185000,157,1.54
190000,166,1.29
195000,153,1.48
200000,156,1.54
205000,163,1.68
210000,157,1.69
215000,158,1.64
220000,156,1.56
225000,151,1.74
230000,148,1.56
235000,153,1.45
240000,157,1.62
245000,164,1.64
250000,168,1.58
255000,166,1.62
260000,159,1.86
265000,159,1.8
270000,158,1.75
275000,151,1.76
280000,150,1.64
285000,154,1.22
290000,152,1.3
295000,150,1.35
300000,148,1.44
305000,143,1.45
310000,145,1.22
315000,143,1.3
320000,150,1.57
325000,149,1.68
330000,151,1.67
335000,151,1.82
340000,152,1.84
345000,159,1.35
350000,173,1.35
355000,154,1.55
360000,151,1.39
365000,167,0.99
370000,163,1.23
375000,158,1.32
380000,151,1.44
385000,150,1.33
390000,149,1.24
395000,148,1.46
400000,147,1.5
405000,147,1.57
410000,148,1.56
415000,150,1.48
420000,150,1.52
425000,152,1.63
430000,149,1.63
435000,148,1.78
440000,144,1.72
445000,145,1.67
450000,148,1.72
455000,145,1.64
460000,146,1.9
465000,146,1.92
470000,147,1.75
475000,146,1.66
480000,145,1.65
485000,144,1.47
490000,155,1.42
495000,152,1.29
500000,159,1.43
505000,153,1.49
510000,155,1.34
515000,155,0.89
520000,165,0.72
525000,154,0.79
530000,143,1.29
535000,152,1.28
540000,151,1.27
545000,147,1.35
550000,142,1.43
555000,149,1.04
560000,142,1.31
565000,149,1.6
570000,148,1.69
575000,148,1.85
580000,149,2.03
585000,148,2.0
590000,145,2.26
595000,148,2.11
600000,151,2.02
605000,158,2.24
610000,155,2.26
615000,152,2.07
620000,149,1.74
625000,144,1.92
630000,144,1.89
635000,142,1.77
640000,141,1.58
645000,142,1.57
650000,140,1.46
655000,139,1.32
660000,143,1.26
665000,144,1.03
670000,142,0.99
675000,144,0.9
680000,145,1.03
685000,146,1.1
690000,144,1.32
695000,147,1.47
700000,148,1.63
705000,148,1.41
710000,151,1.2
715000,146,1.22
720000,145,1.66
725000,143,1.63
730000,147,1.67
735000,146,1.89
740000,150,1.72
745000,149,1.61
750000,153,1.72
755000,149,1.87
760000,150,1.93
765000,146,1.71
770000,144,1.72
775000,144,1.69
780000,146,1.77
785000,153,1.49
790000,148,1.58
795000,153,1.65
800000,158,1.49
805000,158,1.48
810000,154,1.78
815000,153,1.79
820000,154,1.79
825000,160,1.56
830000,156,1.53
835000,157,1.63
840000,157,1.67
845000,154,1.67
850000,152,1.92
855000,147,1.94
860000,149,2.18
865000,150,2.2
870000,151,2.19
875000,152,2.25
880000,149,2.1
885000,151,2.29
890000,152,1.87
895000,155,1.78
900000,154,1.65
905000,151,1.97
910000,153,1.77
915000,151,1.81
920000,151,1.82
925000,153,1.93
930000,150,2.18
935000,150,2.13
940000,154,1.99
945000,156,2.07
950000,152,2.34
955000,156,2.37
960000,157,2.19
965000,155,2.32
970000,157,2.02
975000,158,2.0
980000,159,1.87
985000,157,1.79
990000,159,1.35
995000,163,1.46
1000000,159,1.31
1015000,165,0.86
1020000,156,2.1
1025000,147,2.02
1030000,151,1.94
1035000,149,1.95
1040000,154,1.77
1045000,147,2.84
1050000,153,2.32
1055000,152,2.73
1060000,154,3.53
1065000,158,2.7
