milliseconds,wind_direction,windspeed
15000,181,7.66
20000,179,6.97
25000,172,7.81
30000,169,8.6
35000,161,7.51
40000,166,8.11
75000,169,6.86
90000,160,4.58
110000,147,8.34
125000,143,8.09
130000,144,7.35
135000,140,7.04
140000,135,7.16
145000,142,7.02
150000,146,6.71
155000,145,6.59
160000,150,6.43
166000,151,7.16
180000,149,7.91
185000,159,7.54
190000,163,6.85
195000,160,7.24
200000,160,7.74
205000,157,8.05
210000,155,7.67
215000,155,8.01
220000,159,7.64
225000,166,7.3
230000,161,7.04
235000,156,7.45
240000,164,7.28
245000,159,7.13
250000,156,6.66
255000,155,6.95
260000,150,7.15
265000,151,7.25
270000,158,6.54
275000,148,6.84
280000,158,7.71
285000,164,6.76
290000,160,6.75
295000,159,6.59
300000,168,6.9
305000,171,7.12
310000,166,7.71
315000,150,7.25
320000,147,7.04
325000,153,6.82
330000,155,7.66
335000,156,7.04
340000,171,6.49
345000,170,6.81
350000,191,6.24
355000,173,6.7
360000,164,6.92
365000,161,6.66
370000,179,6.0
375000,195,5.43
380000,185,5.79
385000,157,5.54
395000,164,6.43
400000,148,6.76
405000,163,6.44
410000,166,6.89
415000,169,6.51
420000,167,6.54
425000,173,5.85
430000,168,6.23
435000,161,6.25
440000,142,5.63
445000,157,5.91
450000,150,5.37
455000,143,5.03
460000,157,5.85
465000,167,5.77
470000,165,6.16
475000,157,6.24
480000,153,6.41
485000,146,6.25
490000,154,6.3
495000,150,6.02
500000,149,5.97
505000,155,5.91
510000,158,6.54
515000,154,6.1
520000,159,6.61
525000,159,6.92
530000,175,6.59
535000,152,5.9
540000,166,6.0
545000,155,5.81
550000,152,6.0
555000,159,6.84
560000,172,6.43
565000,171,6.6
570000,179,6.05
575000,181,5.7
580000,183,5.34
585000,168,5.19
590000,165,5.46
600000,170,4.49
610000,154,5.57
615000,161,5.32
620000,169,5.36
625000,185,4.91
630000,188,3.64
640000,159,5.71
645000,175,5.7
650000,166,6.18
665000,142,6.7
670000,139,6.57
675000,147,5.67
680000,145,5.85
685000,150,5.55
700000,183,4.64
705000,163,5.02
710000,159,6.0
715000,158,6.48
720000,156,7.2
725000,158,7.52
730000,147,6.92
735000,163,6.55
740000,165,6.38
745000,163,7.0
750000,163,6.94
755000,161,6.45
760000,168,7.14
765000,166,7.52
770000,162,7.39
775000,163,7.39
780000,158,7.26
785000,156,7.13
790000,160,7.15
795000,160,7.34
800000,159,7.6
805000,159,7.47
810000,155,7.23
815000,151,7.67
820000,156,7.73
825000,155,7.15
830000,154,7.22
835000,154,7.14
840000,154,6.9
845000,155,6.52
850000,158,6.47
855000,151,6.95
860000,152,6.84
865000,156,7.01
870000,161,6.99
875000,163,7.13
880000,163,7.04
885000,162,6.91
890000,154,6.78
895000,152,6.2
900000,154,6.79
905000,154,6.65
910000,153,6.79
915000,159,7.03
920000,152,6.95
925000,155,6.8
930000,156,6.65
935000,156,6.7
940000,151,6.7
945000,151,6.73
950000,152,6.38
955000,151,6.14
960000,152,6.48
965000,159,6.48
970000,158,6.35
975000,155,6.13
980000,156,6.23
985000,158,6.22
990000,162,6.17
995000,161,5.99
1000000,161,5.87
1005000,160,5.77
1010000,162,5.61
1015000,160,5.56
1020000,161,6.12
1025000,161,6.32
1030000,158,6.03
1035000,157,6.25
1040000,165,6.03
1045000,152,6.09
1050000,150,6.49
1055000,156,6.24
1060000,155,6.03
1065000,161,6.28
1070000,161,6.1
1075000,160,5.75
1080000,163,5.52
1095000,147,1.85
1100000,135,2.75
1120000,145,5.53
