milliseconds,wind_direction,windspeed
10000,44,4.86
15000,40,4.2
20000,33,4.05
35000,3,4.16
60000,44,5.37
130000,42,5.62
135000,40,5.48
140000,42,5.47
145000,40,5.51
150000,38,5.69
155000,34,6.02
160000,36,5.79
180000,34,5.65
185000,34,5.59
190000,32,5.54
195000,32,5.43
200000,32,5.57
205000,27,5.9
210000,24,6.09
215000,27,5.9
235000,16,5.16
240000,19,4.66
245000,16,4.41
250000,10,4.66
255000,16,4.81
260000,21,4.59
265000,21,4.46
270000,20,4.72
275000,11,4.99
280000,18,4.81
285000,25,5.11
290000,23,4.85
310000,36,4.46
315000,43,4.49
320000,37,4.7
325000,45,4.2
340000,50,5.33
345000,51,5.35
360000,44,5.11
365000,53,6.28
370000,51,6.4
375000,48,6.85
380000,48,6.84
395000,49,6.27
400000,50,6.43
405000,43,7.23
410000,47,6.8
415000,49,6.58
430000,52,6.51
435000,54,6.58
440000,53,6.7
445000,55,6.56
450000,56,6.39
455000,54,6.36
460000,57,6.59
465000,50,5.5
470000,42,6.64
475000,46,6.13
510000,52,4.85
575000,58,5.44
590000,55,5.55
595000,61,5.15
600000,61,5.27
605000,53,5.63
610000,54,5.49
620000,44,5.38
630000,37,6.28
650000,34,4.52
695000,67,6.29
720000,45,5.3
765000,43,5.76
770000,46,5.23
780000,59,5.68
785000,60,5.81
790000,60,5.69
820000,66,7.21
845000,66,6.04
850000,68,5.88
855000,61,5.81
870000,59,6.35
880000,58,6.57
905000,45,5.86
920000,55,7.07
925000,55,6.01
930000,55,6.52
935000,54,6.59
940000,55,5.58
955000,52,6.21
975000,41,6.26
980000,40,6.27
985000,39,6.76
990000,36,6.51
995000,40,6.54
1000000,38,6.45
1005000,37,6.76
1020000,53,4.86
1040000,81,5.89
1045000,81,6.21
1070000,72,4.64
1075000,75,4.96
1080000,76,3.68
1085000,74,4.52
1090000,86,3.48
1095000,83,4.63
1100000,83,4.86
1105000,72,4.01
1110000,84,4.6
1135000,88,5.45
1145000,62,3.57
1195000,60,3.87
