milliseconds,wind_direction,windspeed
10000,51,6.19
20000,53,7.13
35000,57,8.2
40000,54,7.65
45000,53,7.44
50000,57,6.82
55000,57,7.88
60000,54,7.44
80000,62,6.08
85000,67,5.21
90000,64,6.65
95000,68,6.8
100000,66,7.46
105000,67,7.03
110000,67,6.94
115000,65,7.78
120000,66,7.49
125000,66,7.68
130000,65,7.48
135000,65,6.68
140000,65,6.75
145000,66,7.5
150000,67,7.69
155000,66,7.93
160000,67,7.88
165000,66,7.93
170000,66,7.95
175000,66,7.7
180000,65,7.76
185000,65,7.8
190000,65,7.81
195000,64,7.9
200000,66,7.94
205000,65,8.06
210000,64,7.99
215000,64,7.7
260000,68,7.15
305000,57,7.34
375000,59,5.63
410000,63,6.96
435000,61,7.43
440000,59,6.21
445000,59,6.1
450000,61,6.46
455000,59,6.1
460000,61,7.23
490000,65,6.99
495000,76,5.8
500000,69,6.82
505000,72,5.95
510000,70,5.48
515000,82,4.62
520000,72,5.55
525000,74,4.53
530000,70,4.53
545000,79,5.84
550000,71,6.26
555000,67,6.87
560000,68,6.17
565000,60,7.25
570000,56,7.02
575000,59,6.94
580000,68,7.06
585000,67,6.83
590000,70,6.88
610000,78,7.91
615000,81,6.08
620000,66,6.65
665000,53,3.59
670000,74,4.76
