milliseconds,wind_direction,windspeed
10000,188,3.88
35000,142,4.21
40000,123,4.12
45000,120,3.51
50000,138,3.88
55000,124,4.72
60000,122,4.08
65000,129,3.9
75000,133,5.01
90000,103,4.07
105000,100,2.5
110000,88,2.47
115000,120,2.72
135000,84,1.79
140000,103,1.75
150000,104,1.0
155000,106,1.21
165000,96,1.51
170000,134,1.98
185000,127,1.53
190000,157,1.74
195000,152,1.7
200000,169,1.5
205000,144,1.42
210000,173,2.19
215000,176,1.75
220000,167,2.43
225000,172,2.27
230000,170,1.94
235000,157,1.88
240000,160,1.93
245000,170,1.88
250000,164,1.75
255000,165,1.66
260000,177,2.02
265000,164,2.02
300000,173,2.57
305000,171,2.95
310000,170,2.98
315000,176,3.17
320000,179,3.08
330000,178,3.3
345000,175,4.0
350000,183,3.82
355000,186,4.24
360000,191,3.63
365000,184,3.58
370000,179,3.43
375000,184,3.8
380000,193,3.88
385000,195,3.63
400000,190,3.08
405000,177,2.67
410000,179,2.73
415000,180,2.2
420000,178,2.41
425000,178,3.75
430000,181,3.58
435000,176,3.19
445000,171,3.93
455000,177,3.7
460000,177,4.73
470000,169,4.4
480000,186,4.39
485000,182,4.61
495000,172,5.06
500000,176,5.29
510000,175,4.83
515000,170,4.15
520000,172,4.04
525000,171,3.63
535000,174,3.94
540000,176,3.8
545000,174,4.61
550000,161,4.14
555000,168,4.56
560000,156,3.19
565000,169,4.3
570000,160,3.66
575000,167,3.81
580000,172,3.28
585000,161,3.0
590000,165,3.45
595000,172,3.71
600000,182,4.18
605000,178,4.83
610000,174,4.4
615000,180,3.74
620000,183,3.88
625000,171,4.09
630000,188,4.12
635000,175,4.24
640000,177,4.61
645000,180,4.72
650000,173,4.24
655000,171,4.27
660000,165,4.17
665000,174,4.55
670000,174,4.98
675000,169,4.75
680000,174,5.17
685000,177,5.14
690000,175,4.79
695000,173,4.62
700000,174,4.52
705000,167,4.52
710000,174,4.59
715000,173,4.47
720000,175,4.62
725000,177,4.79
730000,176,4.89
735000,175,4.46
740000,177,4.53
745000,175,4.43
750000,169,4.09
755000,153,4.12
760000,162,4.23
765000,172,4.48
770000,167,5.09
775000,168,4.95
780000,173,4.97
785000,170,5.01
790000,164,4.83
795000,175,4.74
800000,172,4.99
805000,174,5.05
810000,172,4.63
815000,171,4.93
820000,175,4.99
825000,173,5.05
830000,178,4.97
835000,178,4.92
840000,174,5.83
845000,178,4.97
850000,177,4.36
855000,179,4.71
860000,180,4.94
865000,176,5.19
875000,181,5.14
880000,178,5.52
885000,181,4.75
890000,174,5.19
895000,175,5.03
900000,175,4.79
905000,173,4.83
910000,171,4.69
915000,176,4.99
920000,180,4.87
925000,175,4.39
930000,173,4.19
935000,175,4.47
940000,180,4.42
945000,179,4.13
950000,177,3.82
955000,175,3.76
960000,175,3.8
965000,181,3.96
970000,175,4.35
975000,173,4.04
980000,175,3.87
985000,179,3.56
990000,179,3.63
995000,179,4.29
1000000,177,4.3
1005000,174,3.87
1010000,181,4.24
1015000,182,4.66
1020000,182,4.57
1025000,180,4.7
1030000,180,4.6
1035000,181,4.69
1040000,179,4.51
1045000,179,4.62
1050000,176,4.66
1055000,178,4.51
1060000,176,4.32
1065000,180,4.35
1070000,177,4.06
1075000,172,4.46
1080000,175,4.85
1085000,176,4.12
1090000,181,3.86
1095000,176,3.84
1100000,179,4.1
1105000,169,3.77
1110000,179,3.75
1115000,175,3.31
1120000,180,4.09
1125000,179,4.28
1130000,173,3.96
1135000,163,3.91
1140000,170,3.68
1145000,177,4.2
1150000,177,4.21
1155000,177,4.38
1160000,177,4.48
1175000,198,3.88
1180000,192,3.2
1185000,197,3.14
1190000,186,5.08
1195000,183,4.91
1200000,196,4.98
1205000,184,4.51
1210000,184,2.73
1235000,200,4.8
