milliseconds,wind_direction,windspeed
10000,223,3.15
15000,219,3.03
25000,237,3.54
30000,235,3.75
45000,173,0.51
50000,156,0.89
55000,171,2.32
60000,198,2.45
65000,186,1.32
70000,177,1.1
75000,171,1.38
80000,181,1.96
85000,173,2.07
90000,163,1.58
95000,190,1.51
100000,202,1.08
130000,257,3.53
160000,211,4.36
165000,213,4.46
170000,207,4.64
200000,204,4.15
215000,203,4.1
225000,198,3.9
230000,198,3.87
235000,194,3.49
240000,197,3.7
245000,198,3.81
250000,199,3.98
255000,199,3.95
260000,198,3.73
265000,200,3.97
280000,191,3.42
285000,191,3.39
290000,193,3.45
295000,194,3.41
300000,196,3.69
305000,197,3.83
310000,196,3.74
315000,196,3.61
320000,199,3.71
325000,203,4.14
330000,204,4.07
335000,206,4.3
340000,201,4.16
345000,201,4.23
350000,200,4.13
355000,199,4.13
360000,198,3.9
365000,197,3.72
370000,198,3.69
375000,198,3.62
380000,197,3.66
385000,197,3.52
390000,198,3.53
395000,196,3.29
400000,197,3.44
405000,197,3.62
410000,198,3.53
415000,196,3.56
420000,201,4.35
425000,204,4.09
430000,200,3.59
435000,201,3.88
440000,207,4.17
445000,200,3.9
450000,206,4.32
455000,206,4.47
460000,199,4.78
465000,208,4.21
470000,210,4.06
475000,207,3.99
480000,209,3.95
485000,208,4.0
490000,207,4.05
495000,206,4.36
500000,210,4.24
520000,201,3.76
525000,198,3.86
530000,194,4.08
535000,196,4.13
540000,195,3.94
545000,193,3.89
550000,194,4.14
555000,193,4.21
560000,195,4.33
565000,198,4.32
570000,197,3.85
575000,198,3.73
595000,199,4.28
600000,196,4.38
605000,195,4.36
610000,200,4.49
615000,199,4.63
620000,203,4.85
625000,204,4.81
630000,200,4.42
635000,200,4.47
640000,201,4.38
645000,198,4.06
650000,195,3.88
655000,198,4.14
660000,199,4.36
665000,201,4.05
670000,200,3.86
675000,198,3.78
680000,196,3.98
685000,200,4.18
690000,198,4.19
700000,194,4.22
705000,192,4.06
710000,193,3.87
715000,198,4.27
720000,195,4.31
725000,191,4.01
730000,191,3.55
735000,198,3.75
740000,205,3.27
745000,204,3.15
750000,201,3.6
755000,202,3.81
760000,202,3.91
765000,205,4.02
770000,203,3.52
800000,195,3.67
840000,229,4.59
845000,231,4.97
875000,233,4.44
905000,223,3.85
910000,233,4.18
915000,230,4.22
920000,229,3.72
925000,228,3.6
930000,227,3.75
935000,234,4.11
945000,231,4.63
965000,226,5.17
970000,220,4.54
975000,221,4.12
990000,232,4.13
995000,231,4.07
1045000,185,2.67
1060000,184,3.79
1065000,182,3.66
1075000,198,4.27
1080000,185,4.01
1100000,180,3.54
1115000,184,3.45
1130000,235,2.33
1135000,220,1.85
1140000,240,1.71
1145000,240,1.91
1150000,241,2.44
1155000,203,2.54
1160000,231,1.82
1165000,237,1.86
1170000,217,1.6
1175000,217,1.51
1180000,221,1.61
