milliseconds,wind_direction,windspeed
10000,49,4.25
20000,60,3.5
25000,69,4.37
40000,75,2.82
45000,51,2.41
50000,28,4.6
55000,53,2.93
70000,84,2.98
75000,57,4.36
80000,61,3.61
125000,68,4.56
130000,51,4.68
135000,58,3.97
140000,75,3.86
155000,71,3.61
160000,73,4.73
170000,68,3.86
175000,72,3.59
180000,70,3.54
185000,62,3.61
190000,61,3.71
215000,66,3.12
220000,65,3.18
230000,64,2.73
235000,68,1.55
240000,78,2.86
245000,66,4.36
260000,73,4.68
265000,77,4.81
270000,66,5.4
275000,66,5.71
280000,67,5.16
285000,68,5.47
290000,50,3.68
295000,44,4.3
300000,32,4.46
305000,43,5.22
310000,53,5.64
315000,54,6.83
320000,64,7.11
325000,62,6.92
330000,66,5.84
335000,62,5.65
340000,63,5.88
345000,57,4.87
350000,59,6.75
355000,61,6.65
360000,53,6.88
365000,50,6.42
370000,55,6.49
375000,67,6.63
380000,62,6.56
385000,56,7.14
390000,61,6.86
395000,65,7.38
400000,68,8.0
405000,72,6.95
410000,68,6.86
415000,68,7.15
420000,69,6.47
425000,68,5.85
430000,64,6.46
435000,63,6.81
440000,56,5.69
445000,59,6.5
450000,58,7.18
455000,58,8.12
460000,56,8.26
465000,58,7.88
470000,58,7.9
475000,58,7.39
480000,65,7.06
485000,63,7.27
490000,68,6.77
495000,67,7.06
500000,64,6.91
505000,61,6.37
510000,63,4.96
520000,65,6.71
525000,68,6.66
530000,64,6.39
535000,59,6.22
540000,64,6.03
545000,68,7.32
550000,68,6.58
555000,71,6.05
560000,70,6.28
565000,71,5.86
570000,68,5.54
575000,68,5.16
580000,67,4.96
585000,67,4.46
590000,72,4.0
595000,77,5.21
600000,74,5.13
605000,65,3.94
610000,71,5.89
615000,73,5.72
620000,73,5.85
625000,69,5.1
630000,68,5.42
635000,67,6.21
640000,71,5.56
645000,69,4.59
650000,65,5.23
655000,66,5.58
660000,67,5.09
665000,71,5.66
680000,68,4.73
685000,67,5.0
690000,66,6.68
695000,66,6.62
700000,68,6.43
705000,63,6.59
710000,67,6.5
715000,61,5.96
720000,69,5.94
725000,71,5.48
730000,75,5.5
735000,73,6.13
740000,72,5.96
745000,72,5.75
750000,76,5.67
755000,79,5.28
760000,78,5.29
765000,73,5.03
770000,73,4.59
775000,68,5.01
780000,70,5.58
785000,69,4.94
790000,64,3.41
795000,45,3.56
800000,41,3.76
805000,59,5.34
810000,60,5.32
815000,58,4.72
820000,58,4.49
825000,52,5.45
830000,51,5.2
835000,51,5.66
870000,68,4.59
880000,57,3.24
890000,30,3.02
895000,31,3.55
900000,26,3.45
915000,50,2.6
925000,60,3.46
990000,45,4.46
1050000,60,7.15
1055000,62,5.96
1060000,60,5.38
1085000,46,3.95
1090000,59,2.65
