milliseconds,wind_direction,windspeed
10000,74,1.56
15000,67,3.8
20000,66,3.53
25000,66,4.48
30000,61,3.72
50000,23,5.58
70000,74,3.9
90000,78,3.0
95000,51,3.45
115000,35,6.7
120000,44,6.66
125000,62,5.75
130000,59,5.07
135000,51,4.01
140000,49,5.68
145000,49,5.61
150000,48,5.2
155000,47,5.07
160000,41,4.49
175000,50,5.77
180000,53,5.48
185000,45,5.58
190000,44,5.71
195000,42,5.6
200000,34,4.96
205000,42,4.3
210000,54,4.33
215000,54,5.25
220000,52,5.8
225000,55,5.34
230000,42,6.02
240000,32,5.3
245000,41,5.43
250000,49,5.28
265000,58,4.57
270000,49,4.25
275000,53,4.08
290000,43,4.67
295000,44,4.64
300000,59,4.17
305000,44,4.36
310000,44,4.75
315000,59,4.93
330000,48,4.98
340000,77,4.1
350000,84,4.48
355000,80,6.07
360000,76,5.71
365000,74,5.05
370000,76,5.53
375000,96,5.9
380000,67,5.31
385000,67,4.5
390000,58,4.73
395000,57,4.79
400000,64,5.21
405000,67,5.18
410000,79,5.59
415000,90,5.5
420000,82,4.25
425000,83,4.83
430000,63,5.31
435000,58,5.66
440000,54,6.02
445000,57,5.42
450000,55,5.49
455000,53,5.77
460000,57,5.94
465000,59,5.73
470000,64,6.03
485000,65,5.4
490000,59,5.63
495000,57,5.75
510000,58,4.92
515000,71,5.27
520000,69,5.43
530000,68,5.24
535000,58,5.08
545000,72,4.51
550000,64,4.63
555000,81,4.55
560000,65,4.9
570000,86,4.87
575000,81,5.68
580000,86,5.82
595000,49,6.08
600000,77,4.43
615000,105,4.04
620000,100,4.61
625000,87,4.68
630000,68,5.12
635000,83,6.1
640000,90,5.51
645000,90,5.73
650000,87,6.97
655000,94,4.9
660000,83,4.92
665000,81,4.72
670000,87,4.65
675000,75,4.96
700000,39,6.43
705000,33,6.29
710000,33,6.29
720000,29,3.58
725000,42,7.63
730000,37,7.16
735000,47,6.06
740000,46,6.63
745000,46,6.48
750000,47,5.98
755000,50,6.43
760000,45,5.89
765000,39,5.03
770000,72,3.82
775000,60,5.15
780000,56,5.92
800000,56,6.33
805000,65,6.34
810000,65,6.13
815000,60,6.13
820000,56,5.38
825000,61,5.72
830000,66,6.04
835000,67,6.07
840000,71,6.26
845000,67,6.58
850000,68,6.53
855000,71,6.5
860000,72,6.13
865000,70,6.21
870000,69,6.16
880000,62,6.71
895000,62,6.24
955000,62,5.91
965000,58,6.33
975000,75,4.77
980000,65,5.1
995000,72,5.07
1020000,64,5.39
1025000,59,6.13
1040000,61,4.89
1045000,62,4.8
1050000,60,4.39
1055000,57,4.55
1065000,57,4.16
1070000,57,4.11
1080000,57,4.52
1100000,51,3.6
1115000,79,4.22
1120000,44,3.76
1125000,37,4.61
1130000,50,4.44
1135000,68,4.95
1140000,83,4.74
1145000,68,5.09
1150000,78,5.34
1155000,69,4.81
1160000,79,5.7
1165000,66,4.66
1175000,57,5.68
1190000,63,5.52
1195000,71,4.97
1200000,75,5.65
1215000,43,5.15
1220000,67,6.11
1240000,84,6.63
1290000,60,3.99
