milliseconds,wind_direction,windspeed
15000,85,8.75
20000,83,7.72
25000,86,7.38
30000,86,8.1
55000,99,7.64
70000,86,6.63
75000,83,5.68
80000,74,4.61
85000,53,4.32
90000,50,3.52
95000,46,3.65
100000,87,5.23
125000,81,7.27
130000,88,7.61
150000,80,7.91
200000,71,8.23
205000,72,7.99
210000,71,8.09
240000,69,8.5
245000,69,8.39
250000,69,8.34
255000,69,8.12
260000,70,7.93
265000,71,7.99
270000,69,7.49
285000,71,8.31
300000,70,7.73
305000,71,7.53
310000,74,8.03
315000,74,7.64
320000,85,8.49
330000,69,6.74
335000,77,7.74
340000,72,7.81
345000,72,7.03
350000,74,7.75
355000,93,7.89
360000,88,7.8
365000,86,7.1
370000,81,6.89
375000,75,6.73
380000,80,6.36
385000,75,5.9
390000,84,4.83
405000,72,8.33
410000,73,7.96
415000,72,7.74
420000,73,7.78
425000,74,7.89
430000,73,7.76
435000,72,7.66
440000,73,7.67
445000,73,8.06
460000,74,8.23
465000,78,7.84
470000,77,7.27
490000,86,8.71
495000,82,7.75
500000,81,8.08
505000,81,8.35
520000,91,9.22
525000,92,9.14
530000,92,8.89
535000,94,8.74
540000,92,8.76
545000,94,8.89
550000,93,8.66
555000,94,8.54
560000,91,8.58
565000,92,8.8
570000,93,9.24
575000,95,9.41
580000,96,8.94
590000,96,8.81
595000,95,8.95
600000,94,8.9
605000,95,9.05
610000,94,9.07
615000,92,9.03
620000,92,8.97
625000,91,8.73
630000,95,8.75
635000,91,7.92
640000,90,8.33
645000,91,8.3
650000,91,8.48
655000,95,8.02
660000,93,7.94
665000,90,8.01
670000,90,7.88
675000,96,7.48
685000,95,7.77
690000,95,7.74
695000,98,8.31
700000,94,8.18
705000,86,8.26
710000,89,7.96
715000,86,7.82
720000,90,8.84
725000,84,8.72
730000,96,8.35
735000,92,7.97
740000,89,7.82
745000,90,8.02
750000,88,7.55
755000,90,7.76
760000,86,6.54
765000,90,8.24
775000,82,7.64
780000,65,8.11
785000,69,8.74
790000,64,8.25
795000,66,7.22
800000,75,5.93
805000,68,7.14
810000,61,7.78
815000,66,7.8
820000,74,6.35
830000,57,7.11
835000,64,7.61
840000,65,7.27
845000,62,7.26
850000,63,6.94
855000,63,7.25
860000,63,7.46
865000,65,8.37
870000,66,7.08
875000,78,6.98
880000,84,6.76
895000,71,6.11
900000,78,6.05
905000,61,6.73
910000,72,6.09
915000,68,6.52
925000,67,7.68
930000,66,6.93
935000,56,8.93
940000,56,8.18
945000,60,8.31
950000,61,8.65
955000,67,7.66
965000,58,8.02
970000,60,8.1
975000,59,8.42
995000,54,6.55
1020000,58,7.89
1035000,58,7.4
1065000,63,7.23
1070000,64,7.51
1085000,47,4.66
1090000,56,4.99
1095000,48,5.42
1100000,54,4.99
1105000,63,4.93
1110000,59,5.4
1115000,55,6.17
1120000,58,6.18
1125000,58,6.29
1130000,56,6.54
1205000,96,4.06
1210000,86,2.91
1235000,89,3.67
