milliseconds,wind_direction,windspeed
10000,314,1.57
15000,297,1.56
20000,219,0.77
25000,340,1.42
30000,17,2.87
35000,4,3.02
55000,341,6.08
60000,319,5.18
65000,308,5.4
75000,301,2.28
90000,290,3.75
95000,297,3.58
100000,304,3.79
105000,316,3.99
110000,290,4.31
115000,303,4.37
125000,295,5.93
185000,300,2.77
190000,295,2.48
200000,291,2.47
210000,297,2.47
230000,323,2.24
240000,319,4.55
245000,319,2.93
250000,324,2.48
270000,8,1.63
275000,1,1.41
280000,12,2.06
285000,27,1.73
300000,352,2.38
305000,354,2.54
330000,250,1.71
350000,322,1.24
355000,262,1.83
360000,323,0.96
365000,8,1.62
370000,16,1.31
375000,22,1.52
405000,321,1.18
415000,303,1.3
420000,346,1.36
425000,356,1.42
435000,325,3.03
445000,311,3.64
510000,315,2.8
520000,317,3.83
525000,327,3.72
540000,341,3.39
545000,329,4.2
555000,355,4.55
560000,352,4.3
565000,343,4.3
575000,357,3.81
580000,0,3.64
590000,349,3.83
605000,334,3.35
610000,344,3.13
625000,334,2.78
630000,334,3.16
635000,343,3.2
640000,359,3.28
645000,349,3.22
650000,356,3.28
665000,340,2.9
670000,347,3.01
675000,342,2.82
685000,334,3.08
690000,351,2.75
695000,350,2.77
700000,343,3.15
705000,347,3.36
735000,359,2.62
740000,4,3.09
745000,351,3.4
755000,347,3.03
770000,345,3.21
775000,348,3.3
780000,349,3.14
785000,349,3.22
790000,350,3.19
795000,353,3.13
800000,354,3.14
805000,352,3.25
810000,350,2.97
815000,356,2.8
820000,5,2.78
825000,14,2.59
830000,15,2.54
835000,10,2.99
840000,7,2.85
845000,10,2.59
850000,14,2.7
855000,6,2.37
860000,359,2.46
865000,356,2.25
870000,0,1.94
875000,340,2.04
880000,349,2.1
885000,318,2.95
900000,334,2.28
905000,344,2.29
915000,349,1.97
920000,347,2.09
925000,340,2.04
930000,352,1.75
935000,345,1.85
945000,359,1.76
950000,4,1.91
955000,357,2.01
960000,348,1.84
965000,353,1.75
985000,6,1.73
990000,8,1.68
995000,3,2.12
1005000,353,2.08
1020000,353,1.87
1025000,346,1.82
1040000,346,2.36
1045000,347,2.28
1060000,48,2.52
1075000,93,1.93
1080000,75,2.01
1085000,97,1.81
1090000,85,0.76
1095000,60,1.38
1100000,18,1.38
1105000,8,2.0
1110000,2,1.87
1115000,355,1.82
1120000,27,1.95
1125000,79,1.78
1130000,6,1.57
1135000,6,3.11
1140000,15,3.01
1145000,30,2.89
1150000,19,3.12
1155000,39,1.69
1160000,12,3.18
1165000,20,3.23
1170000,25,3.28
1175000,25,2.98
1180000,20,3.0
1185000,16,4.02
1190000,19,4.14
1195000,19,3.69
1200000,27,3.17
1210000,352,3.79
1275000,15,1.89
