milliseconds,wind_direction,windspeed
10000,167,2.28
15000,169,2.55
30000,242,2.14
35000,236,1.43
40000,221,1.36
45000,199,2.33
50000,203,2.59
65000,193,3.65
70000,204,1.7
75000,193,2.48
90000,174,4.49
95000,178,4.39
100000,177,4.38
115000,174,4.22
120000,168,4.31
135000,168,4.07
140000,165,3.92
145000,155,2.99
150000,159,3.82
155000,163,3.4
160000,164,3.39
165000,164,3.17
170000,170,3.52
175000,164,3.36
180000,170,2.83
185000,171,2.78
190000,173,3.5
200000,166,3.33
205000,160,3.13
210000,164,3.3
215000,164,3.09
220000,165,2.6
225000,168,2.61
230000,169,2.66
235000,172,2.71
240000,169,2.58
245000,172,3.03
250000,171,3.51
255000,167,3.74
260000,169,4.7
265000,163,3.61
270000,168,3.93
275000,149,3.04
280000,162,3.9
285000,162,4.11
290000,163,4.05
295000,168,4.21
300000,167,3.63
305000,166,3.82
310000,158,4.21
315000,169,3.45
320000,170,3.82
325000,164,3.27
330000,163,2.98
335000,164,2.74
340000,166,2.63
345000,155,2.41
350000,164,2.44
355000,167,3.98
360000,160,3.16
365000,169,3.4
370000,158,3.81
375000,158,3.86
380000,168,4.23
385000,169,3.77
395000,169,3.91
400000,166,2.72
405000,166,3.47
410000,161,3.06
415000,163,3.07
420000,162,3.15
425000,165,3.15
430000,167,3.5
435000,169,3.97
440000,169,3.59
445000,169,3.54
450000,167,3.51
455000,169,3.66
460000,167,3.88
470000,165,3.49
475000,166,4.21
480000,167,4.06
485000,169,3.93
490000,169,3.78
495000,170,3.61
500000,170,3.2
505000,169,3.44
510000,163,3.63
515000,166,3.79
520000,169,3.6
530000,173,3.51
535000,169,3.65
540000,171,3.38
545000,176,3.79
550000,172,3.23
555000,172,3.62
560000,170,3.67
565000,162,3.57
575000,168,3.19
580000,166,2.98
585000,165,3.06
590000,161,3.0
595000,166,3.09
600000,163,3.32
605000,166,3.49
610000,169,3.57
615000,168,3.84
620000,169,3.7
625000,166,3.69
630000,169,3.75
635000,170,3.89
640000,169,3.95
645000,170,3.86
650000,171,3.38
655000,171,3.32
660000,172,3.52
665000,174,5.02
670000,182,4.44
675000,184,4.12
680000,167,2.92
685000,167,3.46
690000,169,4.06
695000,171,4.34
700000,170,4.05
705000,170,3.65
710000,174,3.63
715000,172,3.93
720000,170,4.21
725000,169,4.46
735000,171,4.82
740000,171,4.32
745000,173,4.49
750000,166,3.74
755000,166,3.55
760000,168,3.23
765000,170,3.8
770000,169,3.59
775000,169,3.69
780000,171,4.06
785000,165,3.79
790000,169,3.91
795000,172,3.64
800000,171,4.24
805000,167,4.47
810000,170,4.34
815000,169,4.46
820000,170,4.34
825000,172,4.28
830000,174,4.24
835000,173,4.23
840000,174,4.21
845000,173,4.41
850000,175,4.85
855000,172,4.56
860000,174,4.47
865000,182,4.61
870000,170,5.96
875000,170,4.55
880000,168,4.63
885000,169,4.72
890000,171,4.67
895000,173,4.5
900000,172,4.52
905000,172,4.62
910000,179,5.63
915000,170,4.06
920000,178,3.58
925000,183,4.15
930000,182,3.94
945000,178,2.88
950000,183,3.88
960000,182,3.23
965000,182,3.0
970000,178,3.2
975000,172,3.26
980000,171,3.33
985000,172,3.27
990000,171,3.35
995000,171,3.71
1000000,173,3.99
1005000,176,3.78
1010000,173,3.51
1015000,174,3.66
1020000,172,4.14
1025000,172,4.05
1030000,173,4.03
1035000,171,3.87
1065000,219,1.62
1070000,198,1.57
1085000,159,1.36
1090000,165,1.86
1095000,161,2.09
1100000,155,2.33
1105000,158,2.5
1110000,164,2.18
1115000,168,1.88
1120000,165,1.89
1145000,192,2.03
