milliseconds,wind_direction,windspeed
15000,65,4.35
20000,61,3.62
25000,53,4.61
30000,54,4.78
35000,53,6.45
40000,49,4.86
45000,54,4.94
50000,60,4.69
125000,78,5.33
145000,81,5.28
150000,90,5.61
155000,87,5.68
160000,102,5.62
165000,77,6.5
170000,77,7.1
180000,80,5.15
185000,75,5.16
190000,84,5.13
195000,77,4.66
200000,69,6.04
205000,70,5.74
210000,69,6.14
215000,64,6.6
220000,70,5.57
225000,66,6.55
230000,64,6.16
235000,67,6.23
240000,69,5.7
245000,69,6.79
250000,72,5.94
255000,79,5.8
260000,79,5.41
265000,75,5.95
270000,73,6.71
275000,76,7.7
280000,73,7.16
285000,69,7.03
290000,73,7.3
295000,74,7.44
300000,73,7.17
305000,75,6.21
310000,78,6.49
315000,80,6.61
320000,81,6.83
325000,73,6.84
330000,79,6.34
335000,78,6.95
340000,83,6.69
345000,80,6.67
350000,82,6.47
355000,79,6.3
360000,82,5.98
365000,87,6.33
370000,90,6.54
375000,90,5.87
380000,91,6.12
385000,91,6.41
390000,89,6.5
395000,82,6.23
400000,85,5.63
405000,87,5.93
410000,92,5.75
415000,92,5.67
420000,90,5.36
425000,92,5.7
430000,90,5.58
445000,86,7.05
470000,94,7.51
480000,93,7.23
485000,83,7.15
490000,72,7.02
495000,69,6.65
500000,69,6.21
505000,72,5.78
510000,79,5.93
515000,76,5.82
520000,68,5.67
525000,78,5.84
530000,77,6.73
540000,75,6.12
545000,90,6.9
555000,92,7.04
570000,61,8.03
575000,57,8.51
580000,76,9.74
585000,87,9.72
590000,75,8.92
595000,67,8.15
600000,70,8.51
610000,79,9.91
615000,86,8.76
620000,64,8.03
625000,74,7.85
630000,71,8.75
640000,76,7.51
645000,75,7.61
650000,72,7.55
655000,67,6.68
660000,64,6.6
670000,37,4.73
675000,45,4.73
685000,67,5.82
690000,69,6.71
695000,53,6.34
700000,58,6.45
710000,65,5.9
715000,63,5.76
720000,58,5.53
730000,68,7.66
735000,70,7.16
740000,70,7.94
745000,72,7.87
755000,76,7.45
760000,81,7.22
765000,79,6.96
770000,67,6.77
775000,63,6.4
780000,64,7.08
785000,60,6.82
790000,57,6.96
795000,52,6.64
800000,59,6.92
805000,53,6.83
810000,56,6.54
815000,47,6.91
820000,42,7.21
825000,55,8.14
830000,59,8.1
840000,46,7.81
845000,51,7.79
850000,55,8.24
855000,54,8.48
860000,56,7.79
865000,55,7.53
870000,53,7.34
875000,57,7.89
880000,44,6.76
885000,52,6.81
890000,56,7.55
910000,61,8.41
915000,61,9.12
920000,68,8.41
925000,85,8.54
930000,88,8.88
935000,87,8.64
945000,86,7.74
950000,87,7.87
955000,86,7.01
960000,86,8.0
965000,89,8.07
970000,86,7.76
975000,82,7.81
980000,82,7.88
985000,80,8.07
990000,82,8.2
995000,81,8.08
1000000,84,8.05
1005000,87,8.13
1010000,85,8.01
1015000,86,7.76
1020000,89,7.99
1025000,89,8.0
1030000,89,7.96
1035000,89,7.82
1040000,89,7.71
1045000,88,7.3
1050000,90,7.43
1060000,89,7.42
1065000,87,7.54
1070000,80,7.54
1075000,82,8.0
1080000,82,7.91
1085000,82,7.58
1090000,78,7.57
1095000,76,7.13
1100000,79,7.94
1105000,79,7.77
1110000,77,7.51
1115000,81,6.21
1120000,82,6.25
1125000,82,6.24
1130000,82,6.54
1135000,83,6.68
1140000,84,6.93
1145000,84,6.69
1150000,84,6.97
1155000,83,6.59
1160000,86,6.97
1165000,88,7.14
1170000,88,7.1
1175000,86,6.56
1180000,85,6.78
1185000,82,7.11
1190000,70,5.08
1195000,78,5.44
1200000,78,5.56
1205000,79,5.59
1210000,79,5.29
1215000,84,4.76
1220000,81,5.83
1225000,80,6.25
1230000,81,6.35
1235000,83,6.08
1240000,87,6.29
1255000,113,2.97
1260000,120,2.88
1265000,108,3.21
1270000,111,2.72
1275000,110,3.12
