observation,site,date,map_area,flight
ob070,mpala,4/3/18,2018-04-22_airstrip2-2,070-03
ob071,mpala,4/3/18,mpala11_12_13_merge,071-01
ob071,mpala,4/3/18,mpala11_12_13_merge,071-02
ob071,mpala,4/3/18,mpala11_12_13_merge,071-03
ob072,mpala,4/3/18,riverside012,072-01
ob072,mpala,4/3/18,riverside012,072-02
ob073,mpala,4/4/18,riverside5_6_8_11_merge,073-01
ob073,mpala,4/4/18,riverside5_6_8_11_merge,073-02
ob074,mpala,4/4/18,riverside5_6_8_11_merge,074-01
ob074,mpala,4/4/18,riverside5_6_8_11_merge,074-02
ob074,mpala,4/4/18,riverside5_6_8_11_merge,074-03
ob075,mpala,4/4/18,riverside1_2_3_merge,075-01
ob075,mpala,4/4/18,riverside1_2_3_merge,075-02
ob076,mpala,4/4/18,2018-04-22_airstrip2-2,076-01
ob077,mpala,4/4/18,airstrip006,077-01
ob078,mpala,4/4/18,2018_04_26_airstrip_gorge,078-01
ob078,mpala,4/4/18,2018_04_26_airstrip_gorge,078-02
ob078,mpala,4/4/18,2018_04_26_airstrip_gorge,078-03
ob079,mpala,4/4/18,airstrip_gorge001,079-01
ob079,mpala,4/4/18,airstrip_gorge001,079-02
ob080,mpala,4/5/18,2018_04_26_airstrip_gorge,080-01
ob080,mpala,4/5/18,2018_04_26_airstrip_gorge,080-02
ob080,mpala,4/5/18,2018_04_26_airstrip_gorge,080-03
ob081,mpala,4/5/18,airstrip_east2_006_merge,081-01
ob081,mpala,4/5/18,airstrip_east2_006_merge,081-02
ob081,mpala,4/5/18,airstrip_east2_006_merge,081-03
ob082,mpala,4/5/18,2018-04-22_airstrip2-2,082-01
ob082,mpala,4/5/18,2018-04-22_airstrip2-2,082-02
ob082,mpala,4/5/18,2018-04-22_airstrip2-2,082-03
ob083,mpala,4/6/18,airstrip_ne_merge,083-01
ob083,mpala,4/6/18,airstrip_ne_merge,083-02
ob083,mpala,4/6/18,airstrip_ne_merge,083-03
ob084,mpala,4/6/18,riverside5_6_8_11_merge,084-01
ob084,mpala,4/6/18,riverside5_6_8_11_merge,084-02
ob084,mpala,4/6/18,riverside5_6_8_11_merge,084-03
ob085,mpala,4/6/18,riverside009,085-01
ob085,mpala,4/6/18,riverside009,085-02
ob085,mpala,4/6/18,riverside009,085-03
ob086,mpala,4/6/18,riverside010,086-01
ob087,mpala,4/7/18,riverside5_6_8_11_merge,087-01
ob087,mpala,4/7/18,riverside5_6_8_11_merge,087-02
ob087,mpala,4/7/18,riverside5_6_8_11_merge,087-03
ob087,mpala,4/7/18,riverside5_6_8_11_merge,087-04
ob087,mpala,4/7/18,riverside5_6_8_11_merge,087-05
ob088,mpala,4/8/18,riverside4_5_11_merge,088-01
ob088,mpala,4/8/18,riverside4_5_11_merge,088-02
ob088,mpala,4/8/18,riverside4_5_11_merge,088-03
ob089,mpala,4/8/18,riverside1_2_3_merge,089-01
ob089,mpala,4/8/18,riverside1_2_3_merge,089-02
ob090,mpala,4/8/18,baculi_whole_area,090-01
ob090,mpala,4/8/18,baculi_whole_area,090-02
ob090,mpala,4/8/18,baculi_whole_area,090-03
ob091,opc,4/11/18,NAN,091-01
ob092,opc,4/11/18,NAN,092-01
ob093,opc,4/11/18,NAN,093-01
ob093,opc,4/11/18,NAN,093-02
ob093,opc,4/11/18,NAN,093-03
ob094,opc,4/12/18,NAN,094-01
ob094,opc,4/12/18,NAN,094-02
ob094,opc,4/12/18,NAN,094-03
ob094,opc,4/12/18,NAN,094-04
ob095,opc,4/12/18,NAN,095-01
ob095,opc,4/12/18,NAN,095-02
ob096,opc,4/12/18,NAN,096-01
ob096,opc,4/12/18,NAN,096-02
ob097,opc,4/12/18,NAN,097-01
ob098,opc,4/12/18,NAN,098-01
ob099,opc,4/13/18,NAN,099-01
ob100,opc,4/13/18,NAN,100-01
ob101,mpala,4/14/18,ebee_highdam,101-01
ob101,mpala,4/14/18,ebee_highdam,101-02
ob101,mpala,4/14/18,ebee_highdam,101-03
