flight,temperature_c,wind_speed_ms,wind_direction,cloud_cover_%,humidity_%
094-04,19.4,0.5,40,83,73
095-01,20.8,1.3,48,90,66
095-02,20.9,1.6,52,92,66
096-01,22,1,54,87,66
096-02,22.5,1.2,59,90,62
097-01,23.1,1.8,55,90,59
098-01,22.6,2.4,74,95,60
099-01,19.7,0.9,184,85,64
100-01,20.7,0.9,172,87,60
101-01,22.2,2.9,39,100,62
101-02,22,3,39,100,63
101-03,21.8,3,43,100,63
102-01,21.6,2.9,54,100,64
102-02,21.3,2.8,61,100,65
103-01,18.1,2.2,235,100,76
103-02,18.4,2.3,233,100,75
103-03,18.8,2.3,231,100,74
104-01,19,1.9,212,100,73
104-02,19.4,1.8,198,100,72
104-03,19.7,1.8,184,100,70
105-01,17.8,2.3,247,100,78
105-02,18.1,2.4,249,100,78
106-01,18.3,2.4,248,100,77
106-02,18.6,2.5,246,100,76
106-03,19,2.6,245,100,75
107-01,19.8,2.7,233,100,73
107-02,20.1,2.7,222,100,71
107-03,20.5,2.9,213,100,70
108-01,20.9,2.4,220,100,68
109-01,21.3,3.3,321,100,66
109-02,21.5,3.1,310,100,66
110-01,17.6,1,251,100,78
110-02,17.9,1.4,255,100,77
110-03,18.1,1.7,257,100,76
110-04,18.3,2,258,100,76
111-01,20.1,2.4,260,100,70
111-02,20.5,2.4,260,100,68
111-03,20.9,2.4,267,100,67
112-01,21.4,2.5,275,100,65
112-02,21.7,2.6,281,100,64
113-01,18.8,1.3,125,100,71
113-02,19.1,1.3,116,100,70
114-01,19.6,1.4,99,100,69
114-02,20,1.4,92,100,68
114-03,20.4,1.5,85,100,67
115-01,17.7,1.3,210,70,88
115-02,18,1.3,212,70,87
115-03,18.4,1.4,214,69,85
