observation,flight,flight_type,launch,gimbal_down,prev_drone,gohome,landed,first_clip_start,note,exclude,exclude_log
ob051,051-02,replacement,0:05,2:08,3:10,14:18,16:59,3:28,,,
ob052,052-01,initial,0:06,1:12,NAN,19:13,21:00,1:21,,,
ob052,052-02,replacement,NAN,NAN,0:00,15:14,16:58,0:22,video started when drone was already over group - check how long drone was in place before video started,,
ob053,053-01,initial,0:05,0:58,NAN,20:49,22:39,1:19,,,
ob053,053-02,replacement,0:05,1:05,1:39,16:56,19:21,2:00,,,
ob054,054-01,initial,0:08,1:19,NAN,NAN,NAN,1:45,drone log cuts out before launch. Video cuts out midway through flight,,TRUE
ob054,054-02,replacement,NAN,NAN,NAN,NAN,NAN,2:06,"something is wrong with log; over the course of the flight, the video ""catches up"" to the log such that there are huge discrepancies between the keypoints. I have therefore removed the video keypoints (launch: 0:08, gimbal_down: 1:11, home: 19:09, landing: 21:01) and will exclude this log from analyses.",,
ob054,054-03,replacement,0:06,2:31,NAN,16:14,NAN,3:16,"something is wrong with previous flight's log, so I have removed the prev_drone time (3:10)",,
ob055,055-01,initial,0:08,22:44,NAN,21:43,23:18,1:37,,,
ob055,055-02,replacement,0:05,1:00,2:17,19:45,21:25,2:44,,,
ob056,056-01,initial,0:07,1:30,NAN,19:11,21:24,1:53,,,
ob056,056-02,replacement,0:06,1:36,2:12,18:43,21:10,2:43,,,
ob057,057-01,initial,0:07,0:30,NAN,17:54,19:54,2:03,,,
ob058,058-01,initial,0:06,1:15,NAN,18:28,19:55,1:34,,,
ob058,058-02,replacement,0:06,0:32,1:38,17:00,18:47,1:53,,,
ob059,059-01,initial,0:07,1:34,NAN,18:36,20:17,1:49,,,
ob059,059-02,replacement,0:09,1:05,1:49,17:47,19:36,2:03,,,
ob060,060-01,initial,0:07,1:18,NAN,4:00,6:14,2:46,,,TRUE
ob061,061-01,initial,0:08,1:54,NAN,20:15,21:59,2:03,,,
ob061,061-02,replacement,NAN,NAN,0:01,15:09,16:54,0:06,video started when drone was already over group - check how long drone was in place before video started,,
ob061,061-03,replacement,0:09,1:30,2:12,20:35,22:07,2:29,,,
ob062,062-01,initial,0:09,1:54,NAN,18:17,20:09,4:23,,,
ob062,062-02,replacement,NAN,NAN,0:02,16:25,18:18,0:26,video started when drone was already over group - check how long drone was in place before video started,,
ob062,062-03,replacement,NAN,2:06,2:54,6:23,8:04,3:15,unclear if gimbal is actually fully down at 2:06 - no gimbal down point found in log,,
ob063,063-01,initial,0:03,1:49,NAN,19:54,21:36,5:35,,,
ob063,063-02,replacement,0:11,2:10,3:03,19:10,20:48,3:26,gimbal may be down at 1:57 - hard to say since it was malfunctioning; 2:10 seems to line up well with the log.,,
ob063,063-03,replacement,0:02,1:06,2:13,18:35,20:30,2:38,,,
ob064,064-01,initial,0:20,2:06,NAN,19:39,21:43,2:38,,,
ob064,064-02,replacement,NAN,1:15,3:06,15:25,17:30,3:39,,,
