observation,flight,site,species,group_size_spp,group_size_total,young_present,note,exclude,group_behavior
ob075,075-01,mpala,imp,33,33,True,,,0.0
ob076,076-01,mpala,pz,8,8,False,,,3.0
ob077,077-01,mpala,buf,15,15,False,,,3.0
ob078,078-01,mpala,buf,46,46,True,,,2.0
ob079,079-01,mpala,buf,14,14,False,,,1.0
ob080,080-01,mpala,imp,44,44,True,,,0.0
ob081,081-01,mpala,gg,3,19,False,,,
ob081,081-01,mpala,pz,5,19,False,,,1.0
ob081,081-01,mpala,eland,11,19,False,,,2.0
ob082,082-01,mpala,pz,27,27,True,,,1.0
ob083,083-01,mpala,gz,9,9,False,,,1.0
ob084,084-01,mpala,imp,11,11,True,,,0.0
ob085,085-01,mpala,buf,31,31,True,,,1.0
ob086,086-01,mpala,gz,10,44,False,,,0.0
ob086,086-01,mpala,kudu,9,44,True,,,0.0
ob086,086-01,mpala,imp,25,44,True,,,0.0
ob087,087-01,mpala,imp,1,16,False,,,
ob087,087-01,mpala,gz,15,16,True,"some walking, but appears to result from aggressive/displacement interactions",,0.0
ob088,088-01,mpala,gz,18,18,True,,,0.0
ob089,089-01,mpala,imp,6,11,False,,,0.0
ob089,089-01,mpala,waterbuck,5,11,False,,,0.0
ob090,090-01,mpala,gz,4,5,False,,,2.0
ob090,090-01,mpala,giraffe,1,5,False,,,
ob091,091-01,opc,pz,5,18,True,,,0.0
ob091,091-01,opc,buf,13,18,False,,,2.0
ob092,092-01,opc,pz,13,3,False,,,3.0
ob093,093-01,opc,pz,18,18,False,,,0.0
ob094,094-01,opc,buf,7,7,False,,,1.0
ob095,095-01,opc,pz,8,8,False,,,1.0
ob096,096-01,opc,imp,38,38,False,,,0.0
ob097,097-01,opc,buf,90,90,True,,,3.0
ob098,098-01,opc,buf,150,150,True,,,2.0
ob099,099-01,opc,gg,18,18,False,,,0.0
ob100,100-01,opc,pz,4,8,False,,,2.0
ob100,100-01,opc,tg,4,8,False,,,0.0
ob101,101-01,mpala,pz,2,12,False,,,0.0
ob101,101-01,mpala,imp,10,12,False,,,0.0
ob102,102-01,mpala,pz,6,6,False,,,3.0
ob103,103-01,mpala,imp,31,31,True,,,0.0
ob104,104-01,mpala,pz,10,10,False,,,2.0
ob105,105-01,mpala,buf,42,42,True,,,1.0
ob106,106-01,mpala,imp,21,22,True,,,0.0
ob106,106-01,mpala,warthog,1,22,False,,,0.0
ob107,107-01,mpala,imp,31,31,True,,,0.0
ob108,108-01,mpala,gz,5,5,True,,,0.0
ob109,109-01,mpala,pz,5,5,False,,,0.0
ob110,110-01,mpala,gz,1,40,False,,,0.0
ob110,110-01,mpala,pz,25,40,True,"walking, but graze-walking, not flight",,1.0
ob110,110-01,mpala,oryx,13,40,True,"walking, but graze-walking, not flight",,0.0
ob110,110-01,mpala,imp,1,40,False,,,0.0
ob111,111-01,mpala,imp,34,34,True,,,2.0
ob112,112-01,mpala,imp,20,20,True,,,0.0
ob113,113-01,mpala,imp,41,41,True,,,0.0
ob114,114-01,mpala,gz,2,23,False,,,0.0
ob114,114-01,mpala,imp,21,23,True,,,0.0
ob115,115-01,mpala,gz,1,30,False,,,0.0
ob115,115-01,mpala,pz,19,30,True,,,0.0
ob115,115-01,mpala,oryx,10,30,True,,,0.0
