observation,site,date,flight,species,group_size_spp,group_size_total,young_present,group_behavior,obs_ascent,launch_dist,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time,clip_start_ascent_adj,bushiness_100m,max_windspeed,mean_windspeed,temperature_c,wind_speed_ms,cloud_cover_%,humidity_%,group_downwind,other_spp
ob100,opc,4/13/18,100-01,pz,4.0,8.0,False,2.0,120.8000038656,926.4904460250388,38.400761823004856,48.275960032836,1.4866666666666666,,06:25:23,06:45:00,126.8000038656,,4.51,3.615,20.7,0.9,87,60,False,True
ob101,mpala,4/14/18,101-01,imp,10.0,12.0,False,0.0,81.000002592,433.522932418465,12.771471731990657,36.863969480704,3.341666666666667,,11:52:41,12:15:28,97.000002592,0.0495194830194271,7.2,6.268571428571428,22.2,2.9,100,62,True,True
ob101,mpala,4/14/18,101-01,pz,2.0,12.0,False,0.0,81.000002592,433.522932418465,12.771471731990657,36.863969480704,3.341666666666667,,11:52:41,12:15:28,97.000002592,0.0495194830194271,7.2,6.268571428571428,22.2,2.9,100,62,True,True
ob102,mpala,4/14/18,102-01,pz,6.0,6.0,False,3.0,80.1000025632,339.30114787679224,25.144440512894903,45.431962387352,1.2483333333333333,,13:03:20,13:24:42,77.1000025632,0.1407370116534854,5.01,3.9145,21.6,2.9,100,64,False,False
ob103,mpala,4/15/18,103-01,imp,31.0,31.0,True,0.0,75.3000024096,260.6520606388892,11.201468203898736,36.647969659528,1.6908333333333334,,05:05:32,05:24:19,71.3000024096,0.1514885431663466,3.3,2.7078947368421056,18.1,2.2,100,76,False,False
ob104,mpala,4/15/18,104-01,pz,10.0,10.0,False,2.0,120.500003856,466.5408175271572,21.87406132994501,38.87996781168,1.4516666666666669,,06:21:06,06:40:04,119.500003856,0.0038569463974969,3.82,2.6694444444444443,19,1.9,100,73,False,False
ob105,mpala,4/16/18,105-01,buf,42.0,42.0,True,1.0,90.6000028992,460.6410843895965,19.44069748304904,43.955963609316,1.7075,,04:52:46,05:13:14,113.6000028992,0.2118486289564942,3.26,2.32,17.8,2.3,100,78,True,False
ob106,mpala,4/16/18,106-01,imp,21.0,22.0,True,0.0,90.7000029024,257.0947943859481,21.582543283116568,31.175974189736003,0.7033333333333334,,05:20:04,05:37:56,72.7000029024,0.186050506915418,2.83,2.538636363636364,18.3,2.4,100,77,False,True
ob107,mpala,4/16/18,107-01,imp,31.0,31.0,True,0.0,85.80000274560001,274.7065237665476,15.044251159859511,39.77996706658,4.2683333333333335,,06:20:46,06:39:31,84.80000274560001,0.0704633644825085,4.45,4.186111111111111,19.8,2.7,100,73,False,False
ob108,mpala,4/16/18,108-01,gz,5.0,5.0,True,0.0,89.70000287040001,509.6016065185625,14.169609108491589,49.175959287736,2.495,,07:09:14,07:29:12,94.7000028704,0.063329126166467,1.3,0.6866666666666666,20.9,2.4,100,68,False,False
ob109,mpala,4/16/18,109-01,pz,5.0,5.0,False,0.0,120.8000038656,667.7777066661307,12.544397523052796,32.3999731764,3.2525,,08:02:52,08:24:22,115.8000038656,0.0130190909383603,4.34,3.5760869565217392,21.3,3.3,100,66,False,False
ob110,mpala,4/17/18,110-01,gz,1.0,40.0,False,0.0,120.3000038496,900.1587831727003,26.46322708411797,48.347959973228,2.089166666666667,,05:03:27,05:23:44,114.3000038496,0.0175196822400918,3.75,2.783684210526316,17.6,1,100,78,False,True
ob110,mpala,4/17/18,110-01,imp,1.0,40.0,False,0.0,120.3000038496,900.1587831727003,26.46322708411797,48.347959973228,2.089166666666667,,05:03:27,05:23:44,114.3000038496,0.0175196822400918,3.75,2.783684210526316,17.6,1,100,78,False,True
ob110,mpala,4/17/18,110-01,pz,25.0,40.0,True,1.0,120.3000038496,900.1587831727003,26.46322708411797,48.347959973228,2.089166666666667,,05:03:27,05:23:44,114.3000038496,0.0175196822400918,3.75,2.783684210526316,17.6,1,100,78,False,True
ob111,mpala,4/17/18,111-01,imp,34.0,34.0,True,2.0,80.4000025728,230.85003084015773,22.034237632758018,37.151969242272,0.6416666666666667,,06:41:07,07:01:18,86.4000025728,0.1312625123430936,4.53,3.66,20.1,2.4,100,70,True,False
ob112,mpala,4/17/18,112-01,imp,20.0,20.0,True,0.0,80.80000258560001,555.4594948438782,15.35831573075833,48.923959496364,2.2916666666666665,,07:32:57,07:51:24,91.8000025856,0.0287579058206349,7.76,7.354210526315789,21.4,2.5,100,65,True,False
ob113,mpala,4/18/18,113-01,imp,41.0,41.0,True,0.0,74.9000023968,266.7652972220872,31.400734003659696,46.835961224996,0.5058333333333334,,05:16:25,05:34:57,84.9000023968,0.151997995976114,2.37,1.729,18.8,1.3,100,71,True,False
ob114,mpala,4/18/18,114-01,gz,2.0,23.0,False,0.0,65.60000209920001,368.7290678537691,9.270149056753503,25.73997869014,2.5175,,06:03:19,06:22:29,72.60000209920001,0.1130570764769806,1.73,1.3272727272727272,19.6,1.4,100,69,False,True
ob114,mpala,4/18/18,114-01,imp,21.0,23.0,True,0.0,65.60000209920001,368.7290678537691,9.270149056753503,25.73997869014,2.5175,,06:03:19,06:22:29,72.60000209920001,0.1130570764769806,1.73,1.3272727272727272,19.6,1.4,100,69,False,True
ob115,mpala,4/19/18,115-01,gz,1.0,30.0,False,0.0,120.00000384,1011.1560883383052,25.64550309267969,47.591960599112,2.505,,05:32:08,05:51:34,122.00000384,0.0095073917002997,5.51,4.642666666666668,17.7,1.3,70,88,False,True
ob115,mpala,4/19/18,115-01,pz,19.0,30.0,True,0.0,120.00000384,1011.1560883383052,25.64550309267969,47.591960599112,2.505,,05:32:08,05:51:34,122.00000384,0.0095073917002997,5.51,4.642666666666668,17.7,1.3,70,88,False,True
